body_0_w,body_0_x,body_0_y,body_0_z
0.998880,-0.017432,-0.043974,-0.000767
0.998698,-0.013542,-0.048447,-0.008484
0.998228,-0.009640,-0.055939,-0.017832
0.997104,-0.005711,-0.069461,-0.030444
0.995445,-0.000615,-0.084042,-0.045011
0.993219,0.005063,-0.099126,-0.060541
0.990318,0.012426,-0.115831,-0.075499
0.986871,0.019300,-0.132845,-0.089812
0.982913,0.025205,-0.150545,-0.102875
0.978428,0.028959,-0.168438,-0.116052
0.973424,0.031630,-0.186383,-0.129253
0.967516,0.030640,-0.205666,-0.143792
0.961270,0.028352,-0.223924,-0.158160
0.955007,0.023491,-0.240267,-0.172282
0.949415,0.014998,-0.250578,-0.188670
0.943935,0.004688,-0.257815,-0.206146
0.937264,-0.013288,-0.265064,-0.226055
0.929976,-0.032136,-0.272593,-0.244551
0.922230,-0.052729,-0.280896,-0.260403
0.913395,-0.077602,-0.289617,-0.275336
0.903420,-0.104559,-0.298357,-0.289626
0.892681,-0.136988,-0.307778,-0.299378
0.882286,-0.169626,-0.315011,-0.305887
0.873888,-0.202864,-0.318309,-0.306341
0.866955,-0.234748,-0.314757,-0.306938
0.860331,-0.265833,-0.307626,-0.307456
0.859820,-0.286005,-0.296450,-0.301710
0.860367,-0.303523,-0.284349,-0.294598
0.863587,-0.315913,-0.270591,-0.284950
0.867883,-0.326849,-0.256321,-0.272486
0.872460,-0.336962,-0.241720,-0.258536
0.877975,-0.346850,-0.227156,-0.239281
0.883524,-0.356324,-0.211382,-0.218487
0.889594,-0.365140,-0.193310,-0.194747
0.894298,-0.377096,-0.173369,-0.167252
0.897501,-0.390274,-0.152341,-0.137733
0.898116,-0.406722,-0.128950,-0.106474
0.896173,-0.424180,-0.107426,-0.073524
0.890572,-0.444305,-0.089867,-0.037395
0.879411,-0.469201,-0.080494,-0.002639
0.864519,-0.495959,-0.075128,0.031417
0.849416,-0.518556,-0.076626,0.060995
0.830844,-0.542692,-0.081208,0.092677
0.806066,-0.570312,-0.092025,0.128582
0.779566,-0.595592,-0.102797,0.164257
0.751185,-0.618894,-0.113404,0.199576
0.723451,-0.636228,-0.134082,0.232067
0.695887,-0.650387,-0.153860,0.262803
0.670879,-0.660112,-0.172228,0.290707
0.646927,-0.667127,-0.187162,0.318430
0.623090,-0.672348,-0.200250,0.345844
0.603336,-0.673773,-0.189976,0.382001
0.583536,-0.671031,-0.183785,0.418840
0.564686,-0.661094,-0.186092,0.457661
0.546843,-0.650115,-0.188005,0.492917
0.529159,-0.638202,-0.189600,0.526061
0.511800,-0.623428,-0.189888,0.559768
0.498036,-0.605060,-0.190379,0.591285
0.492403,-0.580644,-0.191621,0.619414
0.480992,-0.548817,-0.188130,0.657307
0.465591,-0.512033,-0.181841,0.698556
0.445162,-0.474277,-0.173532,0.739445
0.419141,-0.436656,-0.163375,0.779076
0.383366,-0.400858,-0.150079,0.818425
0.335114,-0.367310,-0.138289,0.856538
0.279607,-0.333744,-0.126822,0.891264
0.212971,-0.297145,-0.114449,0.923715
0.137082,-0.258273,-0.101668,0.950877
0.043937,-0.216320,-0.088629,0.971298
-0.050247,-0.177575,-0.072955,0.980112
-0.144459,-0.139603,-0.055626,0.978033
-0.222471,-0.112948,-0.047101,0.967228
-0.293777,-0.089239,-0.039701,0.950871
-0.353490,-0.072473,-0.034987,0.931970
-0.404878,-0.058426,-0.030210,0.912002
-0.451673,-0.045695,-0.025377,0.890651
-0.502717,-0.039448,-0.017310,0.863377
-0.546176,-0.034759,-0.010577,0.836882
-0.576866,-0.033382,-0.006601,0.816129
-0.603644,-0.032804,-0.003683,0.796571
-0.628243,-0.032615,-0.001293,0.777333
-0.628243,-0.032612,-0.001293,0.777333
-0.628243,-0.032595,-0.001292,0.777333
-0.628245,-0.032551,-0.001290,0.777334
-0.628247,-0.032467,-0.001287,0.777335
-0.628252,-0.032336,-0.001282,0.777337
-0.628258,-0.032148,-0.001274,0.777340
-0.628266,-0.031898,-0.001265,0.777343
-0.628276,-0.031580,-0.001252,0.777348
-0.628289,-0.031190,-0.001237,0.777354
-0.628303,-0.030727,-0.001218,0.777361
-0.628320,-0.030188,-0.001197,0.777368
-0.628339,-0.029575,-0.001172,0.777376
-0.628360,-0.028887,-0.001145,0.777385
-0.628383,-0.028127,-0.001115,0.777395
-0.628408,-0.027298,-0.001082,0.777404
-0.628434,-0.026403,-0.001047,0.777414
-0.628461,-0.025446,-0.001009,0.777424
-0.628489,-0.024434,-0.000969,0.777434
-0.628518,-0.023371,-0.000927,0.777443
-0.628548,-0.022264,-0.000883,0.777452
-0.628577,-0.021119,-0.000837,0.777460
-0.628607,-0.019944,-0.000791,0.777467
-0.628636,-0.018745,-0.000743,0.777473
-0.628665,-0.017531,-0.000695,0.777479
-0.628693,-0.016310,-0.000647,0.777483
-0.628720,-0.015088,-0.000598,0.777486
-0.628745,-0.013874,-0.000550,0.777487
-0.628770,-0.012675,-0.000503,0.777488
-0.628793,-0.011500,-0.000456,0.777487
-0.628815,-0.010355,-0.000411,0.777486
-0.628835,-0.009248,-0.000367,0.777483
-0.628854,-0.008184,-0.000324,0.777480
-0.628871,-0.007172,-0.000284,0.777476
-0.628887,-0.006215,-0.000246,0.777472
-0.628901,-0.005320,-0.000211,0.777467
-0.628914,-0.004490,-0.000178,0.777462
-0.628925,-0.003730,-0.000148,0.777457
-0.628935,-0.003042,-0.000121,0.777452
-0.628944,-0.002428,-0.000096,0.777447
-0.628951,-0.001889,-0.000075,0.777443
-0.628957,-0.001426,-0.000057,0.777439
-0.628962,-0.001036,-0.000041,0.777435
-0.628966,-0.000718,-0.000028,0.777432
-0.628969,-0.000467,-0.000019,0.777430
