joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.485371,-0.688889,-0.158452,0.308754,-0.405429,0.150771,0.117677,-0.074516,0.520000,1.421992,1.348170,-0.554666,0.306933,-0.774391,-0.469848,0.712414,-0.695938,-0.042524,0.156707,-0.539543,0.142154,0.129232,0.646260,0.183460,-0.170457,-0.121353,0.089669,0.041444,-0.167549
-0.522114,-0.745720,-0.178084,0.304676,-0.442467,0.098641,0.086719,-0.051178,0.520000,1.528944,1.438109,-0.730389,0.203559,-0.786397,-0.499486,0.738811,-0.712309,-0.066633,0.145761,-0.634488,0.258846,0.404301,0.841472,0.085262,-0.084229,-0.209506,-0.057202,0.144746,-0.140491
-0.535250,-0.779110,-0.188666,0.304129,-0.475891,0.053820,0.056921,-0.035255,0.520000,1.619561,1.503177,-0.835214,0.148308,-0.775420,-0.521885,0.771874,-0.725086,-0.094047,0.131854,-0.684162,0.333690,0.593550,0.960138,0.019094,-0.031396,-0.266105,-0.157609,0.228179,-0.112809
-0.501172,-0.765619,-0.181144,0.310645,-0.502087,0.023614,0.029446,-0.034164,0.520000,1.677508,1.518504,-0.798239,0.189305,-0.718475,-0.529805,0.818269,-0.730676,-0.128072,0.112024,-0.643296,0.324842,0.611162,0.925711,0.016986,-0.045355,-0.259596,-0.165087,0.271873,-0.083878
-0.474836,-0.758253,-0.164467,0.319183,-0.498384,-0.002811,-0.016996,-0.015305,0.520000,1.737121,1.542944,-0.712950,0.235986,-0.658056,-0.542047,0.866285,-0.744354,-0.170033,0.108812,-0.588258,0.314578,0.614788,0.875482,0.010265,-0.059748,-0.246729,-0.162061,0.324171,-0.067618
-0.452370,-0.753950,-0.143211,0.328732,-0.479733,-0.027345,-0.072922,0.012439,0.520000,1.797567,1.571941,-0.603503,0.285509,-0.595900,-0.556450,0.915113,-0.762076,-0.215963,0.113909,-0.526134,0.303608,0.611420,0.817351,0.001237,-0.074358,-0.230682,-0.153782,0.380771,-0.057694
-0.444566,-0.756285,-0.121578,0.362649,-0.458578,-0.052150,-0.140966,0.038617,0.520000,1.820377,1.608649,-0.448602,0.328237,-0.550886,-0.576550,0.942309,-0.792032,-0.241955,0.118670,-0.441063,0.290492,0.629510,0.757331,-0.010695,-0.085314,-0.209443,-0.149427,0.422223,-0.066012
-0.454167,-0.761309,-0.101648,0.420241,-0.440077,-0.075890,-0.212161,0.058482,0.520000,1.816008,1.646622,-0.290810,0.356767,-0.522937,-0.602030,0.956404,-0.826125,-0.248452,0.120955,-0.360469,0.282481,0.671470,0.708514,-0.019458,-0.096365,-0.187982,-0.148308,0.460170,-0.080173
-0.498579,-0.771714,-0.085127,0.525186,-0.426883,-0.097502,-0.289660,0.065722,0.520000,1.757282,1.687124,-0.127235,0.356899,-0.529119,-0.638271,0.944297,-0.868490,-0.215963,0.118288,-0.288831,0.284676,0.761171,0.682103,-0.021883,-0.107608,-0.166079,-0.153658,0.491109,-0.106022
-0.558796,-0.780696,-0.065062,0.572779,-0.415627,-0.118485,-0.337290,0.064015,0.520000,1.636226,1.716690,-0.020942,0.313464,-0.519488,-0.673024,0.916657,-0.910162,-0.198077,0.107971,-0.247584,0.313715,0.892643,0.664874,-0.024635,-0.113606,-0.145621,-0.156866,0.499053,-0.122229
-0.626917,-0.788966,-0.043225,0.591695,-0.405341,-0.139153,-0.369985,0.057833,0.520000,1.484004,1.740787,0.056711,0.248246,-0.501949,-0.707032,0.881251,-0.951486,-0.187493,0.093829,-0.221532,0.356174,1.045000,0.652237,-0.027551,-0.116982,-0.125887,-0.159003,0.495500,-0.133614
-0.711934,-0.796535,-0.014053,0.564947,-0.389123,-0.150506,-0.369614,0.050817,0.520000,1.305046,1.774118,0.112518,0.143996,-0.444659,-0.733771,0.848960,-0.981934,-0.184381,0.065089,-0.213763,0.420158,1.146707,0.655428,-0.043024,-0.110569,-0.124070,-0.158177,0.495563,-0.146821
-0.799165,-0.806600,0.014665,0.530799,-0.370701,-0.157227,-0.349531,0.044242,0.520000,1.133074,1.813751,0.165110,0.029782,-0.373507,-0.754120,0.818042,-1.005559,-0.182089,0.032692,-0.212969,0.489963,1.229108,0.660986,-0.057629,-0.103366,-0.124918,-0.158663,0.494820,-0.164273
-0.890823,-0.821657,0.042476,0.481853,-0.347868,-0.154685,-0.290023,0.038551,0.520000,0.975072,1.865984,0.211271,-0.104358,-0.274633,-0.761687,0.789869,-1.015538,-0.181436,-0.007020,-0.226122,0.571410,1.272898,0.671276,-0.070501,-0.094582,-0.131096,-0.161775,0.492468,-0.190213
-0.975290,-0.852099,0.065303,0.421330,-0.314340,-0.144257,-0.222126,0.035312,0.520000,0.843945,1.938974,0.261910,-0.258204,-0.188491,-0.764484,0.759409,-0.999987,-0.177447,-0.037225,-0.244391,0.654557,1.296211,0.689950,-0.082644,-0.092988,-0.144283,-0.173674,0.503943,-0.232482
-1.056161,-0.890233,0.085638,0.355019,-0.275465,-0.129887,-0.150034,0.033297,0.520000,0.726254,2.022342,0.314786,-0.421903,-0.108714,-0.764896,0.727806,-0.971669,-0.171789,-0.062676,-0.265218,0.738553,1.309286,0.712816,-0.094424,-0.094988,-0.160974,-0.189965,0.522332,-0.282915
-1.170971,-0.960982,0.110296,0.268638,-0.243338,-0.092160,-0.074368,0.021193,0.520000,0.717670,2.145319,0.395528,-0.563112,-0.106064,-0.735806,0.686998,-0.918250,-0.149306,-0.070805,-0.288887,0.771198,1.312351,0.721257,-0.109766,-0.082388,-0.177389,-0.204449,0.536959,-0.363000
-1.275945,-1.016657,0.133920,0.190504,-0.215362,-0.050248,0.000654,-0.013876,0.520000,0.752879,2.255562,0.463403,-0.688992,-0.108603,-0.730700,0.639240,-0.863472,-0.124711,-0.080135,-0.311693,0.796374,1.318386,0.727729,-0.116993,-0.079925,-0.195711,-0.219849,0.562515,-0.442099
-1.361249,-1.042182,0.155477,0.128863,-0.195691,0.000037,0.074391,-0.094876,0.520000,0.875675,2.340337,0.505541,-0.784213,-0.121521,-0.773562,0.577579,-0.805975,-0.095888,-0.091868,-0.332772,0.806613,1.330364,0.730261,-0.107990,-0.097734,-0.217847,-0.237081,0.609926,-0.519225
-1.405540,-1.095186,0.181418,0.077560,-0.160210,0.057422,0.138074,-0.177883,0.520000,1.008056,2.398833,0.546213,-0.848098,-0.129027,-0.762418,0.535668,-0.768092,-0.062020,-0.092146,-0.333489,0.811673,1.339157,0.713075,-0.102057,-0.125494,-0.236899,-0.248719,0.673736,-0.588704
-1.429325,-1.161929,0.209551,0.031426,-0.116823,0.118356,0.196730,-0.261894,0.520000,1.145230,2.444190,0.586150,-0.896315,-0.133827,-0.724272,0.503632,-0.740015,-0.025630,-0.086697,-0.324024,0.814144,1.346356,0.686030,-0.097659,-0.158229,-0.254409,-0.257561,0.745745,-0.654358
-1.426257,-1.199461,0.241399,0.017249,-0.096603,0.179313,0.261487,-0.320316,0.520000,1.279677,2.457117,0.607589,-0.908035,-0.149489,-0.682227,0.493526,-0.743722,0.021421,-0.070916,-0.287363,0.804145,1.348139,0.631547,-0.093794,-0.183504,-0.264459,-0.256872,0.814976,-0.708387
