joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-1.837172,-2.841548,-0.981638,-0.203897,-1.851930,-2.606485,-1.547931,1.166938,0.000000,5.347592,4.496956,-8.786182,-5.168693,-0.600321,-1.481931,1.319872,-0.818564,-1.205456,-0.547289,-4.747254,5.834569,13.753446,9.760602,-4.909909,4.311399,-4.407635,-7.343556,5.165116,1.352903
-0.656814,-1.669516,-0.529064,-0.027345,-1.671207,-2.241086,-1.489875,0.796138,0.000000,4.530849,3.253412,-5.241215,-2.762525,0.548863,-1.119949,1.653154,-0.638871,-1.370719,-0.695366,-2.483728,3.742234,9.462491,5.933288,-3.308407,2.641626,-2.829946,-5.020350,4.171639,1.384120
1.703903,0.674549,0.376082,0.325760,-1.309759,-1.510287,-1.373764,0.054538,0.000000,2.897365,0.766325,1.848720,2.049811,2.847233,-0.395985,2.319717,-0.279484,-1.701244,-0.991520,2.043325,-0.442437,0.880580,-1.721340,-0.105403,-0.697920,0.325434,-0.373938,2.184686,1.446554
1.316818,0.368295,0.833876,0.426903,0.185125,-1.321235,-2.322107,0.942964,0.000000,2.980661,1.222014,4.264473,2.334050,3.020951,-0.612109,2.400830,-0.683894,-2.098080,-0.160594,2.751909,-0.513171,0.181276,-2.511480,-0.336055,-0.719646,0.643356,0.151324,2.614895,0.812979
1.123275,0.215169,1.062773,0.477475,0.932567,-1.226709,-2.796278,1.387178,0.000000,3.022310,1.449859,5.472350,2.476169,3.107809,-0.720171,2.441386,-0.886098,-2.296498,0.254869,3.106202,-0.548539,-0.168377,-2.906551,-0.451381,-0.730510,0.802317,0.413955,2.829999,0.496192
0.390201,-0.116742,1.081671,1.695822,1.057723,-1.240234,-3.402201,1.308911,0.000000,1.140475,1.835382,7.745039,2.136410,2.250710,-1.004990,1.359805,-1.497812,-1.299563,0.238039,4.253562,-0.655768,0.904486,-3.001000,-0.596602,-0.547780,1.061963,0.217733,2.072593,-0.415881
-0.480053,-0.251239,0.996464,2.879633,0.925054,-1.187025,-3.559782,0.993271,0.000000,-0.218443,1.898634,7.889602,1.426478,1.397433,-1.274009,0.704746,-1.704628,-0.324888,0.114246,4.029670,-0.400583,2.098013,-2.440842,-0.438157,-0.552570,1.073039,0.055979,1.897373,-0.708072
-2.220559,-0.520232,0.826050,5.247255,0.659716,-1.080607,-3.874944,0.361992,0.000000,-2.936279,2.025139,8.178729,0.006613,-0.309119,-1.812047,-0.605371,-2.118260,1.624462,-0.133341,3.581885,0.109788,4.485068,-1.320527,-0.121267,-0.562151,1.095190,-0.267528,1.546934,-1.292454
-3.010880,-0.449080,1.003250,2.379632,0.562785,-1.049125,-2.381490,-0.085380,0.000000,-6.052822,1.478281,5.314681,-2.171741,0.481578,-1.737626,-1.381992,-2.083582,0.894306,-0.515850,2.062373,1.451920,6.573581,-0.861431,-0.137603,-0.299901,1.022861,-0.160411,0.397214,-0.810315
-3.406041,-0.413504,1.091849,0.945820,0.514320,-1.033384,-1.634763,-0.309066,0.000000,-7.611094,1.204852,3.882657,-3.260918,0.876927,-1.700415,-1.770303,-2.066243,0.529228,-0.707104,1.302617,2.122985,7.617837,-0.631884,-0.145772,-0.168776,0.986696,-0.106852,-0.177645,-0.569246
