body_0_wx,body_0_wy,body_0_wz
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
-0.000389,-0.000983,-0.000017
-0.002592,-0.006538,-0.000114
-0.006637,-0.016742,-0.000292
-0.012154,-0.030660,-0.000535
-0.018797,-0.047417,-0.000827
-0.026243,-0.066199,-0.001155
-0.034192,-0.086253,-0.001504
-0.042371,-0.106885,-0.001864
-0.050528,-0.127461,-0.002223
-0.058436,-0.147410,-0.002571
-0.065891,-0.166217,-0.002899
-0.072715,-0.183432,-0.003199
-0.078752,-0.198661,-0.003465
-0.083871,-0.211574,-0.003690
-0.087964,-0.221898,-0.003870
-0.090947,-0.229424,-0.004002
-0.092761,-0.234000,-0.004081
-0.093370,-0.235535,-0.004108
-0.092761,-0.234000,-0.004081
-0.090947,-0.229424,-0.004002
-0.087964,-0.221898,-0.003870
-0.083871,-0.211574,-0.003690
-0.078752,-0.198661,-0.003465
-0.072715,-0.183432,-0.003199
-0.065891,-0.166217,-0.002899
-0.058436,-0.147410,-0.002571
-0.050528,-0.127461,-0.002223
-0.042371,-0.106885,-0.001864
-0.034192,-0.086253,-0.001504
-0.026243,-0.066199,-0.001155
-0.018797,-0.047417,-0.000827
-0.012154,-0.030660,-0.000535
-0.006637,-0.016742,-0.000292
-0.002592,-0.006538,-0.000114
-0.000389,-0.000983,-0.000017
0.000000,0.000000,0.000000
0.008788,-0.009611,-0.015541
0.026365,-0.028835,-0.046622
