body_0_vx,body_0_vy,body_0_vz
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,-0.000852
0.000000,0.000000,-0.005672
0.000000,0.000000,-0.014524
0.000000,0.000000,-0.026597
0.000000,0.000000,-0.041134
0.000000,0.000000,-0.057428
0.000000,0.000000,-0.074824
0.000000,0.000000,-0.092722
0.000000,0.000000,-0.110572
0.000000,0.000000,-0.127877
0.000000,0.000000,-0.144193
0.000000,0.000000,-0.159126
0.000000,0.000000,-0.172338
0.000000,0.000000,-0.183539
0.000000,0.000000,-0.192496
0.000000,0.000000,-0.199024
0.000000,0.000000,-0.202994
0.000000,0.000000,-0.204325
0.000000,0.000000,-0.202994
0.000000,0.000000,-0.199024
0.000000,0.000000,-0.192496
0.000000,0.000000,-0.183539
0.000000,0.000000,-0.172338
0.000000,0.000000,-0.159126
0.000000,0.000000,-0.144193
0.000000,0.000000,-0.127877
0.000000,0.000000,-0.110572
0.000000,0.000000,-0.092722
0.000000,0.000000,-0.074824
0.000000,0.000000,-0.057428
0.000000,0.000000,-0.041134
0.000000,0.000000,-0.026597
0.000000,0.000000,-0.014524
0.000000,0.000000,-0.005672
0.000000,0.000000,-0.000852
0.000000,0.000000,0.000000
-0.003108,-0.003850,-0.016434
-0.009325,-0.011550,-0.049303
-0.015542,-0.019250,-0.082172
-0.021758,-0.026950,-0.115041
-0.027975,-0.034650,-0.147909
-0.034192,-0.042350,-0.180778
