body_0_wx,body_0_wy,body_0_wz
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
-0.000400,-0.001000,0.000000
-0.002600,-0.006500,-0.000100
-0.006600,-0.016800,-0.000300
-0.012200,-0.030600,-0.000600
-0.018800,-0.047400,-0.000800
-0.026200,-0.066200,-0.001100
-0.034200,-0.086300,-0.001500
-0.042400,-0.106901,-0.001900
-0.050501,-0.127401,-0.002200
-0.058401,-0.147402,-0.002600
-0.065902,-0.166305,-0.002900
-0.072703,-0.183408,-0.003200
-0.078805,-0.198614,-0.003501
-0.083808,-0.211621,-0.003699
-0.088013,-0.221829,-0.003802
-0.090916,-0.229440,-0.004000
-0.092820,-0.234052,-0.004102
-0.093326,-0.235466,-0.004101
-0.092731,-0.234081,-0.004100
-0.091037,-0.229392,-0.004004
-0.087943,-0.221910,-0.003901
-0.083847,-0.211518,-0.003702
-0.078752,-0.198725,-0.003401
-0.072751,-0.183429,-0.003204
-0.065852,-0.166231,-0.002901
-0.058449,-0.147428,-0.002603
-0.050546,-0.127414,-0.002203
-0.042340,-0.106906,-0.001900
-0.034235,-0.086188,-0.001504
-0.026229,-0.066266,-0.001099
-0.018822,-0.047352,-0.000803
-0.012110,-0.030733,-0.000597
-0.006608,-0.016721,-0.000299
-0.002603,-0.006506,-0.000101
-0.000402,-0.001003,-0.000000
0.000000,0.000000,0.000000
0.008787,-0.009590,-0.015564
0.026357,-0.028863,-0.046590
