body_0_vx,body_0_vy,body_0_vz
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,-0.000850
0.000000,0.000000,-0.005650
0.000000,0.000000,-0.014550
0.000000,0.000000,-0.026600
0.000000,0.000000,-0.041150
0.000000,0.000000,-0.057400
0.000000,0.000000,-0.074850
0.000000,0.000000,-0.092700
0.000000,0.000000,-0.110600
0.000000,0.000000,-0.127850
0.000000,0.000000,-0.144200
0.000000,0.000000,-0.159100
0.000000,0.000000,-0.172350
0.000000,0.000000,-0.183550
0.000000,0.000000,-0.192500
0.000000,0.000000,-0.199000
0.000000,0.000000,-0.203000
0.000000,0.000000,-0.204350
0.000000,0.000000,-0.203000
0.000000,0.000000,-0.199000
0.000000,0.000000,-0.192500
0.000000,0.000000,-0.183550
0.000000,0.000000,-0.172350
0.000000,0.000000,-0.159100
0.000000,0.000000,-0.144200
0.000000,0.000000,-0.127850
0.000000,0.000000,-0.110600
0.000000,0.000000,-0.092700
0.000000,0.000000,-0.074850
0.000000,0.000000,-0.057400
0.000000,0.000000,-0.041150
0.000000,0.000000,-0.026600
0.000000,0.000000,-0.014550
0.000000,0.000000,-0.005650
0.000000,0.000000,-0.000850
0.000000,0.000000,0.000000
-0.003100,-0.003850,-0.016450
-0.009350,-0.011550,-0.049300
-0.015500,-0.019250,-0.082150
-0.021800,-0.026950,-0.115050
-0.027950,-0.034650,-0.147900
-0.034200,-0.042350,-0.180800
