body_0_x,body_0_y,body_0_z
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.760000
0.000000,0.000000,0.759983
0.000000,0.000000,0.759870
0.000000,0.000000,0.759579
0.000000,0.000000,0.759047
0.000000,0.000000,0.758224
0.000000,0.000000,0.757076
0.000000,0.000000,0.755579
0.000000,0.000000,0.753725
0.000000,0.000000,0.751513
0.000000,0.000000,0.748956
0.000000,0.000000,0.746072
0.000000,0.000000,0.742890
0.000000,0.000000,0.739443
0.000000,0.000000,0.735772
0.000000,0.000000,0.731922
0.000000,0.000000,0.727942
0.000000,0.000000,0.723882
0.000000,0.000000,0.719795
0.000000,0.000000,0.715735
0.000000,0.000000,0.711755
0.000000,0.000000,0.707905
0.000000,0.000000,0.704234
0.000000,0.000000,0.700787
0.000000,0.000000,0.697605
0.000000,0.000000,0.694721
0.000000,0.000000,0.692164
0.000000,0.000000,0.689952
0.000000,0.000000,0.688098
0.000000,0.000000,0.686601
0.000000,0.000000,0.685453
0.000000,0.000000,0.684630
0.000000,0.000000,0.684098
0.000000,0.000000,0.683807
0.000000,0.000000,0.683694
0.000000,0.000000,0.683677
0.000000,0.000000,0.683677
-0.000062,-0.000077,0.683348
-0.000249,-0.000308,0.682362
-0.000559,-0.000693,0.680719
-0.000995,-0.001232,0.678418
-0.001554,-0.001925,0.675460
-0.002238,-0.002772,0.671844
-0.003035,-0.003774,0.667646
-0.003796,-0.004951,0.663842
-0.004658,-0.006285,0.659530
-0.005530,-0.007787,0.655311
-0.006114,-0.009495,0.653136
-0.006754,-0.011365,0.650755
-0.007655,-0.013725,0.647639
-0.008645,-0.016300,0.644232
-0.009809,-0.019226,0.640313
-0.011517,-0.022675,0.635717
-0.013811,-0.026669,0.630392
-0.016709,-0.030965,0.623871
-0.020456,-0.035594,0.615693
-0.025179,-0.040376,0.606264
-0.030907,-0.045147,0.596071
-0.037456,-0.049886,0.585031
-0.045257,-0.053659,0.571548
-0.053032,-0.057293,0.555964
-0.060193,-0.060361,0.536910
-0.065178,-0.060844,0.512936
-0.069076,-0.060035,0.486502
-0.069572,-0.056560,0.454647
-0.068010,-0.055029,0.422668
-0.062333,-0.057389,0.390443
-0.060762,-0.058185,0.359394
-0.061244,-0.058200,0.328934
-0.058100,-0.054401,0.305032
-0.053160,-0.049992,0.284660
-0.044626,-0.044365,0.271347
-0.031408,-0.039060,0.265299
-0.015849,-0.033915,0.262883
-0.001015,-0.031624,0.268925
0.012921,-0.029571,0.277173
0.025062,-0.027997,0.289831
0.036647,-0.027614,0.305773
0.047954,-0.027826,0.323358
0.052189,-0.023418,0.346583
0.057571,-0.020942,0.371380
0.065248,-0.022328,0.399321
0.071831,-0.025131,0.427675
0.077865,-0.028642,0.456236
0.080459,-0.032594,0.484221
0.081861,-0.036279,0.512226
0.080878,-0.039428,0.540273
0.081901,-0.036320,0.562854
0.083927,-0.030083,0.582702
0.087237,-0.020371,0.596821
0.091188,-0.009397,0.609452
0.096422,0.004102,0.619106
0.101828,0.017610,0.624067
0.107321,0.031121,0.626683
0.111288,0.040522,0.629317
0.116572,0.049404,0.633290
0.124487,0.057248,0.639940
0.127390,0.068764,0.646091
0.127786,0.082115,0.651993
0.133685,0.094133,0.656136
0.138590,0.105089,0.657938
0.141507,0.113922,0.655057
0.145341,0.119344,0.648856
0.149633,0.123060,0.640996
0.155548,0.119730,0.630718
0.164957,0.115443,0.623102
0.173155,0.112341,0.621955
0.181353,0.109239,0.620808
0.194957,0.094545,0.622510
0.207165,0.075608,0.626210
0.242197,0.060991,0.633034
0.277613,0.047972,0.638449
0.313797,0.038148,0.641045
0.345291,0.034522,0.649737
0.374441,0.033994,0.661478
0.399720,0.041631,0.670997
0.422882,0.051583,0.680228
0.441810,0.066164,0.688883
0.457114,0.084177,0.696446
0.461612,0.090753,0.698785
0.466109,0.097329,0.701124
0.470607,0.103905,0.703463
0.470909,0.105557,0.703739
0.471211,0.107208,0.704015
0.471513,0.108860,0.704291
0.471815,0.110511,0.704567
0.472118,0.112163,0.704842
0.472420,0.113814,0.705118
0.472722,0.115466,0.705394
0.473024,0.117117,0.705670
0.473326,0.118769,0.705946
0.473125,0.120186,0.706445
0.472925,0.121603,0.706943
0.472724,0.123020,0.707442
0.472524,0.124437,0.707940
0.472323,0.125855,0.708439
0.472123,0.127272,0.708937
0.471922,0.128689,0.709436
0.471722,0.130106,0.709934
0.471521,0.131523,0.710433
0.467903,0.134368,0.713266
0.464286,0.137212,0.716098
0.460668,0.140057,0.718931
0.456309,0.142063,0.720731
0.451951,0.144069,0.722531
0.447592,0.146075,0.724331
0.442863,0.147662,0.725615
0.438133,0.149249,0.726899
0.433404,0.150836,0.728183
0.427611,0.152291,0.730059
0.421818,0.153745,0.731935
0.416025,0.155200,0.733811
0.410437,0.156532,0.735533
0.404850,0.157865,0.737254
0.399262,0.159197,0.738976
0.394084,0.160284,0.740389
0.388905,0.161371,0.741803
0.383727,0.162458,0.743216
0.379188,0.163118,0.744483
0.374649,0.163777,0.745749
0.370110,0.164437,0.747016
0.365890,0.164883,0.748210
0.361671,0.165330,0.749403
0.357451,0.165776,0.750597
0.353495,0.166194,0.751716
0.349539,0.166613,0.752835
0.345583,0.167031,0.753954
0.341891,0.167422,0.754999
0.338199,0.167812,0.756043
0.334507,0.168203,0.757088
0.331078,0.168566,0.758058
0.327650,0.168928,0.759027
0.324221,0.169291,0.759997
0.321056,0.169626,0.760892
0.317892,0.169960,0.761788
0.314727,0.170295,0.762683
0.311826,0.170602,0.763504
0.308925,0.170909,0.764324
0.306024,0.171216,0.765145
0.303387,0.171495,0.765891
0.300749,0.171774,0.766637
0.298112,0.172053,0.767383
0.295738,0.172304,0.768054
0.293365,0.172555,0.768726
0.290991,0.172806,0.769397
0.288881,0.173029,0.769994
0.286772,0.173252,0.770591
0.284662,0.173475,0.771188
0.282816,0.173670,0.771710
0.280969,0.173866,0.772232
0.279123,0.174061,0.772754
0.277541,0.174228,0.773202
0.275958,0.174396,0.773649
0.274376,0.174563,0.774097
0.273057,0.174703,0.774470
0.271739,0.174842,0.774843
0.270420,0.174982,0.775216
0.269365,0.175093,0.775515
0.268311,0.175205,0.775813
0.267256,0.175316,0.776112
0.266465,0.175400,0.776336
0.265673,0.175483,0.776559
0.264882,0.175567,0.776783
0.264355,0.175623,0.776932
0.263827,0.175679,0.777082
0.263300,0.175735,0.777231
0.263036,0.175763,0.777305
0.262773,0.175791,0.777380
0.262509,0.175819,0.777454
0.262509,0.175819,0.777454
0.262509,0.175819,0.777454
0.262509,0.175819,0.777454
0.262509,0.175819,0.777452
0.262509,0.175819,0.777450
0.262509,0.175819,0.777448
0.262509,0.175819,0.777443
0.262509,0.175819,0.777439
0.262509,0.175819,0.777434
0.262509,0.175819,0.777425
0.262509,0.175819,0.777417
0.262509,0.175819,0.777408
0.262509,0.175819,0.777394
0.262509,0.175819,0.777380
0.262509,0.175819,0.777366
0.262509,0.175819,0.777346
0.262509,0.175819,0.777325
0.262509,0.175819,0.777305
0.262509,0.175819,0.777278
0.262509,0.175819,0.777251
0.262509,0.175819,0.777224
0.262509,0.175819,0.777189
0.262509,0.175819,0.777154
0.262509,0.175819,0.777119
0.262509,0.175819,0.777076
0.262509,0.175819,0.777033
0.262509,0.175819,0.776990
0.262509,0.175819,0.776938
0.262509,0.175819,0.776887
0.262509,0.175819,0.776835
0.262509,0.175819,0.776774
0.262509,0.175819,0.776714
0.262509,0.175819,0.776653
0.262509,0.175819,0.776583
0.262509,0.175819,0.776514
0.262509,0.175819,0.776444
0.262509,0.175819,0.776365
0.262509,0.175819,0.776285
0.262509,0.175819,0.776206
0.262509,0.175819,0.776073
0.262509,0.175819,0.775941
0.262509,0.175819,0.775794
0.262509,0.175819,0.775648
0.262509,0.175819,0.775487
0.262509,0.175819,0.775327
0.262509,0.175819,0.775154
0.262509,0.175819,0.774980
0.262509,0.175819,0.774794
0.262509,0.175819,0.774608
0.262509,0.175819,0.774409
0.262509,0.175819,0.774211
0.262509,0.175819,0.774001
0.262509,0.175819,0.773791
0.262509,0.175819,0.773570
0.262509,0.175819,0.773350
0.262509,0.175819,0.773119
0.262509,0.175819,0.772888
0.262509,0.175819,0.772649
0.262509,0.175819,0.772409
0.262509,0.175819,0.772161
0.262509,0.175819,0.771914
0.262509,0.175819,0.771659
0.262509,0.175819,0.771404
0.262509,0.175819,0.771143
0.262509,0.175819,0.770883
0.262509,0.175819,0.770618
0.262509,0.175819,0.770353
0.262509,0.175819,0.770084
0.262509,0.175819,0.769815
0.262509,0.175819,0.769543
0.262509,0.175819,0.769272
0.262509,0.175819,0.769000
0.262509,0.175819,0.768727
0.262509,0.175819,0.768455
0.262509,0.175819,0.768182
0.262509,0.175819,0.767911
0.262509,0.175819,0.767640
0.262509,0.175819,0.767371
0.262509,0.175819,0.767102
0.262509,0.175819,0.766836
0.262509,0.175819,0.766571
0.262509,0.175819,0.766311
0.262509,0.175819,0.766050
0.262509,0.175819,0.765796
0.262509,0.175819,0.765541
0.262509,0.175819,0.765293
0.262509,0.175819,0.765045
0.262509,0.175819,0.764806
0.262509,0.175819,0.764566
0.262509,0.175819,0.764336
0.262509,0.175819,0.764105
0.262509,0.175819,0.763884
0.262509,0.175819,0.763663
0.262509,0.175819,0.763453
0.262509,0.175819,0.763243
0.262509,0.175819,0.763045
0.262509,0.175819,0.762846
0.262509,0.175819,0.762660
0.262509,0.175819,0.762474
0.262509,0.175819,0.762301
0.262509,0.175819,0.762127
0.262509,0.175819,0.761967
0.262509,0.175819,0.761807
0.262509,0.175819,0.761661
0.262509,0.175819,0.761514
0.262509,0.175819,0.761381
0.262509,0.175819,0.761248
0.262509,0.175819,0.761130
0.262509,0.175819,0.761011
0.262509,0.175819,0.760906
0.262509,0.175819,0.760801
0.262509,0.175819,0.760710
0.262509,0.175819,0.760620
0.262509,0.175819,0.760542
0.262509,0.175819,0.760464
0.262509,0.175819,0.760400
0.262509,0.175819,0.760335
0.262509,0.175819,0.760283
0.262509,0.175819,0.760231
0.262509,0.175819,0.760190
0.262509,0.175819,0.760149
0.262509,0.175819,0.760119
0.262509,0.175819,0.760089
0.262509,0.175819,0.760068
0.262509,0.175819,0.760047
0.262509,0.175819,0.760034
0.262509,0.175819,0.760020
0.262509,0.175819,0.760013
0.262509,0.175819,0.760006
0.262509,0.175819,0.760004
0.262509,0.175819,0.760001
0.262509,0.175819,0.760001
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
0.262509,0.175819,0.760000
