index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,left_hand_dq_0,left_hand_dq_1,left_hand_dq_2,left_hand_dq_3,left_hand_dq_4,left_hand_dq_5,left_hand_dq_6
0,0.000,1786752172056.095,29129978.495,0.000000000,-0.454405367,3.996483803,1.130543232,0.007277285,0.006341236,-4.611538410,-1.441217780
1,19.980,1786752172076.075,29129998.475,0.000000000,0.000647832,-0.002036731,0.396687597,-0.401572973,-0.396520853,-0.425208926,-0.400527179
2,39.962,1786752172096.056,29130018.457,0.000000000,0.000240385,0.000264418,0.765600324,-0.782018423,-0.766986310,-0.791393876,-0.768628299
3,59.963,1786752172116.058,29130038.458,0.000000000,0.000016954,0.001883110,0.978037715,-0.991667926,-0.976401627,-1.002385736,-0.978185713
4,79.963,1786752172136.058,29130058.458,0.000000000,-0.000107423,0.002504712,1.194714665,-1.191242814,-1.185874820,-1.211157203,-1.188991547
5,99.963,1786752172156.058,29130078.458,0.000000000,-0.000223699,0.002049868,1.351243615,-1.328230262,-1.336747050,-1.371074319,-1.343241930
6,119.963,1786752172176.058,29130098.458,0.000000000,-0.000354926,0.001831670,1.463313937,-1.440219641,-1.448106408,-1.497470498,-1.456768751
7,139.960,1786752172196.055,29130118.455,0.000000000,-0.000494554,0.003144413,1.548230767,-1.549637914,-1.532457829,-1.592058182,-1.539140940
8,159.961,1786752172216.056,29130138.456,0.000000000,-0.000426141,0.003422610,1.609868765,-1.675920129,-1.600317717,-1.688650012,-1.602648139
9,179.962,1786752172236.056,29130158.456,0.000000000,-0.000319962,0.002916507,1.653441072,-1.787775755,-1.652419209,-1.784757853,-1.652253389
10,199.961,1786752172256.056,29130178.456,0.000000000,-0.000212839,0.000784884,1.679558516,-1.877608538,-1.692139864,-1.868505955,-1.690804362
11,219.961,1786752172276.055,29130198.456,0.000000000,-0.000178522,-0.000215286,1.693800688,-1.929440618,-1.719864964,-1.925064325,-1.718901753
12,239.962,1786752172296.056,29130218.457,0.000000000,-0.000178178,0.000753306,1.707530141,-1.924193144,-1.733202815,-1.923573852,-1.732604027
13,259.963,1786752172316.058,29130238.458,0.000000000,-0.000165797,0.001268766,1.720517516,-1.877589107,-1.736496210,-1.867007971,-1.734355688
14,279.965,1786752172336.060,29130258.460,0.000000000,-0.000150729,0.000635591,1.730374694,-1.816086888,-1.735373855,-1.805027843,-1.732850552
15,299.964,1786752172356.059,29130278.459,0.000000000,-0.000129076,0.000633648,1.735967517,-1.777988791,-1.734522462,-1.767854214,-1.731750369
16,319.963,1786752172376.057,29130298.457,0.000000000,-0.000090705,0.000900929,1.742884040,-1.734640121,-1.733005285,-1.716552854,-1.728679538
17,339.964,1786752172396.059,29130318.459,0.000000000,-0.000040657,-0.000275257,1.745824814,-1.712161183,-1.733895183,-1.681552887,-1.727722526
18,359.963,1786752172416.057,29130338.457,0.000000000,-0.000047759,-0.000304621,1.746717572,-1.703490257,-1.735239267,-1.673111677,-1.729668617
19,379.962,1786752172436.056,29130358.456,0.000000000,-0.000125633,0.002304467,1.750498533,-1.696317434,-1.733113766,-1.675472140,-1.730230451
20,399.963,1786752172456.058,29130378.458,0.000000000,-0.000081609,0.003425735,1.754607558,-1.696645260,-1.729632258,-1.696084261,-1.730131626
21,419.963,1786752172476.058,29130398.458,0.000000000,-0.000033595,0.002846025,1.754392505,-1.722619891,-1.729413748,-1.737050653,-1.731912255
22,439.961,1786752172496.055,29130418.456,0.000000000,-0.000029157,0.001768143,1.750694394,-1.758382082,-1.731492281,-1.781668901,-1.735117674
23,459.961,1786752172516.056,29130438.456,0.000000000,0.000004958,0.000347141,1.744658589,-1.796709895,-1.736016273,-1.822104573,-1.739638805
24,479.960,1786752172536.055,29130458.455,0.000000000,0.000055689,-0.000275801,1.740723729,-1.814361811,-1.740032673,-1.837230921,-1.742636442
25,499.961,1786752172556.055,29130478.456,0.000000000,0.000109386,-0.000438714,1.739449143,-1.816544414,-1.743433237,-1.828722119,-1.744025350
26,519.961,1786752172576.056,29130498.456,0.000000000,0.000110772,0.002120746,1.745169997,-1.779396415,-1.739756942,-1.774940968,-1.738897562
27,539.962,1786752172596.057,29130518.457,0.000000000,0.000175404,0.004129401,1.752036214,-1.732141376,-1.732688785,-1.720876455,-1.731241584
28,559.961,1786752172616.055,29130538.455,0.000000000,0.000223300,0.005335284,1.761087537,-1.664192200,-1.722696900,-1.651258469,-1.720687747
29,579.962,1786752172636.057,29130558.457,0.000000000,0.000178459,0.005056122,1.767706156,-1.604546428,-1.714764357,-1.602500558,-1.713473678
30,599.962,1786752172656.056,29130578.456,0.000000000,0.000124831,0.003590754,1.769536734,-1.577909350,-1.712311506,-1.586410522,-1.711880565
