index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,right_hand_dq_0,right_hand_dq_1,right_hand_dq_2,right_hand_dq_3,right_hand_dq_4,right_hand_dq_5,right_hand_dq_6
0,0.000,1786752172056.095,29129978.495,0.000000000,-0.446455657,-3.984631062,-1.127858520,-0.007296247,-0.006343638,4.598902225,1.437538981
1,19.980,1786752172076.075,29129998.475,0.000000000,0.000148278,0.004467975,-0.389973432,0.408249050,0.397971928,0.461145729,0.406401664
2,39.962,1786752172096.056,29130018.457,0.000000000,-0.000017896,0.003472598,-0.671300232,0.697512090,0.685324728,0.750378370,0.693616211
3,59.963,1786752172116.058,29130038.458,0.000000000,-0.000164903,-0.000232219,-0.964174747,0.977746904,0.973967552,1.011153102,0.979240537
4,79.963,1786752172136.058,29130058.458,0.000000000,-0.000223268,-0.003675157,-1.187115312,1.164206862,1.180902243,1.175307631,1.182777047
5,99.963,1786752172156.058,29130078.458,0.000000000,-0.000135411,-0.004576168,-1.352682590,1.293737411,1.330323696,1.290151358,1.329917192
6,119.963,1786752172176.058,29130098.458,0.000000000,-0.000042839,-0.003049627,-1.469566226,1.391442060,1.439395308,1.380628586,1.437814832
7,139.960,1786752172196.055,29130118.455,0.000000000,-0.000115335,-0.000683296,-1.548050880,1.486070156,1.522623658,1.466799378,1.519885540
8,159.961,1786752172216.056,29130138.456,0.000000000,-0.000287988,0.000410255,-1.600957394,1.549235463,1.582551837,1.523737907,1.579184413
9,179.962,1786752172236.056,29130158.456,0.000000000,-0.000424123,-0.000128495,-1.641240597,1.574831843,1.622983336,1.555122733,1.620691538
10,199.961,1786752172256.056,29130178.456,0.000000000,-0.000401548,-0.000905084,-1.673006892,1.579737306,1.650166750,1.568129301,1.649057508
11,219.961,1786752172276.055,29130198.456,0.000000000,-0.000340091,-0.001211516,-1.697450280,1.580786824,1.669396996,1.563780069,1.667249560
12,239.962,1786752172296.056,29130218.457,0.000000000,-0.000272678,-0.001263807,-1.714653373,1.606148601,1.686999917,1.586351395,1.683968902
13,259.963,1786752172316.058,29130238.458,0.000000000,-0.000197924,-0.001093237,-1.725666285,1.646065950,1.702897787,1.639787078,1.701206565
14,279.965,1786752172336.060,29130258.460,0.000000000,-0.000103418,-0.000431950,-1.730710149,1.704437971,1.718773246,1.708926201,1.718060017
15,299.964,1786752172356.059,29130278.459,0.000000000,-0.000043378,-0.000004958,-1.732024550,1.752646685,1.729794025,1.761332631,1.729427338
16,319.963,1786752172376.057,29130298.457,0.000000000,-0.000010792,0.000507121,-1.731529117,1.810444474,1.742119670,1.825791359,1.742593408
17,339.964,1786752172396.059,29130318.459,0.000000000,0.000006500,0.000727997,-1.730717063,1.850444436,1.750772476,1.860822082,1.750808477
18,359.963,1786752172416.057,29130338.457,0.000000000,-0.000037290,0.000670324,-1.731436849,1.857881069,1.754173875,1.858051538,1.753482223
19,379.962,1786752172436.056,29130358.456,0.000000000,-0.000165365,-0.000899479,-1.737101555,1.815766573,1.749696493,1.813516259,1.749966145
20,399.963,1786752172456.058,29130378.458,0.000000000,-0.000235317,-0.002354427,-1.747059226,1.740350962,1.739777088,1.743671536,1.742095947
21,419.963,1786752172476.058,29130398.458,0.000000000,-0.000157944,-0.003787498,-1.757063031,1.678667903,1.730128884,1.686876535,1.733526349
22,439.961,1786752172496.055,29130418.456,0.000000000,-0.000047152,-0.004760871,-1.765226841,1.639031529,1.721811891,1.649276614,1.725126863
23,459.961,1786752172516.056,29130438.456,0.000000000,0.000050628,-0.004027260,-1.767223597,1.638208628,1.718407393,1.648914576,1.720999956
24,479.960,1786752172536.055,29130458.455,0.000000000,0.000140678,-0.002756570,-1.763573050,1.669866920,1.719985723,1.674493074,1.720655918
25,499.961,1786752172556.055,29130478.456,0.000000000,0.000204868,-0.000917638,-1.754918694,1.731351972,1.726468086,1.720786095,1.724002838
26,519.961,1786752172576.056,29130498.456,0.000000000,0.000199792,-0.001431025,-1.747496486,1.782256842,1.730158687,1.751584768,1.725032806
27,539.962,1786752172596.057,29130518.457,0.000000000,0.000156659,-0.001659047,-1.744062901,1.794951200,1.730292916,1.763986111,1.725020647
28,559.961,1786752172616.055,29130538.455,0.000000000,0.000091513,-0.000939538,-1.740520835,1.798328400,1.730636358,1.777394056,1.726493716
29,579.962,1786752172636.057,29130558.457,0.000000000,0.000089261,0.000501463,-1.735566020,1.811312556,1.734071016,1.805921197,1.731107473
30,599.962,1786752172656.056,29130578.456,0.000000000,0.000130697,0.001136974,-1.731256604,1.826244354,1.737986684,1.831267595,1.735375762
31,619.961,1786752172676.056,29130598.456,0.000000000,0.000128615,0.001395864,-1.727874517,1.843457341,1.741591930,1.846466422,1.738570929
32,639.965,1786752172696.059,29130618.460,0.000000000,0.000129636,-0.001040718,-1.729271054,1.818216205,1.738197803,1.827779174,1.736085415
33,659.966,1786752172716.061,29130638.461,0.000000000,0.000197573,-0.003428606,-1.735055804,1.760015249,1.729526877,1.767474174,1.728006124
34,679.963,1786752172736.057,29130658.457,0.000000000,0.000168711,-0.002725752,-1.740130544,1.727034688,1.724627376,1.704050064,1.722529650
35,699.963,1786752172756.058,29130678.458,0.000000000,-0.000070875,-0.002175769,-1.744298458,1.700369835,1.724314928,1.678337097,1.724036098
36,719.963,1786752172776.058,29130698.458,0.000000000,-0.000175695,-0.001261710,-1.747000337,1.683313131,1.726385117,1.680986643,1.728598475
37,739.962,1786752172796.056,29130718.456,0.000000000,-0.000009133,0.000059397,-1.743773341,1.697121024,1.728569984,1.708337188,1.730933070
38,759.961,1786752172816.056,29130738.456,0.000000000,0.000206947,0.001379830,-1.735331893,1.729071021,1.728028774,1.741369843,1.728222132
39,779.961,1786752172836.056,29130758.456,0.000000000,0.000230855,0.002020839,-1.724006057,1.777308106,1.726097107,1.774483800,1.724235535
40,799.960,1786752172856.055,29130778.455,0.000000000,0.000057519,-0.000349029,-1.720853090,1.771369219,1.722797513,1.769643068,1.721323013
41,819.962,1786752172876.057,29130798.457,0.000000000,-0.000024279,-0.002434498,-1.723908186,1.721466660,1.718348622,1.731754541,1.718962073
42,839.961,1786752172896.055,29130818.455,0.000000000,0.000017502,-0.001222130,-1.726022720,1.704278827,1.717071176,1.707746983,1.719468236
43,859.965,1786752172916.060,29130838.460,0.000000000,-0.000118295,-0.000986197,-1.728552341,1.688789010,1.718756080,1.692352057,1.722641230
44,879.964,1786752172936.058,29130858.459,0.000000000,-0.000094644,-0.000603894,-1.730444908,1.598907709,1.720978379,1.614611983,1.725117564
45,899.962,1786752172956.057,29130878.457,0.000000000,0.000147848,0.000439047,-1.727390409,1.467650294,1.721026421,1.479165673,1.722996116
46,919.962,1786752172976.057,29130898.457,0.000000000,0.000207529,0.000649767,-1.722192287,1.297162414,1.719896197,1.306707740,1.718309641
47,939.962,1786752172996.056,29130918.456,0.000000000,0.000341009,0.001627573,-1.713388085,1.110552192,1.713964939,1.109599352,1.711139679
48,959.962,1786752173016.057,29130938.457,0.000000000,0.000264203,0.003030753,-1.698090076,0.941218615,1.708494782,0.926023185,1.707157254
49,979.963,1786752173036.058,29130958.458,0.000000000,0.000105614,0.001985107,-1.643632650,0.797095776,1.671472788,0.783298910,1.671471834
50,999.962,1786752173056.057,29130978.457,0.000000000,-0.000037113,0.000682020,-1.514905572,0.593105257,1.557627082,0.591372311,1.560019016
51,1019.961,1786752173076.056,29130998.456,0.000000000,0.000110267,-0.000105476,-1.341658473,0.403135061,1.392551541,0.403184414,1.397101641
52,1039.962,1786752173096.056,29131018.456,0.000000000,0.000205500,-0.001076881,-1.144738674,0.225788742,1.199017763,0.219696164,1.204670072
53,1059.961,1786752173116.056,29131038.456,0.000000000,0.000089593,-0.002159671,-0.942171156,0.063429534,0.997288585,0.062909298,1.001206875
54,1079.961,1786752173136.056,29131058.456,0.000000000,0.000113913,-0.001870901,-0.744483709,0.008909953,0.797607660,0.009156577,0.799129546
55,1099.961,1786752173156.056,29131078.456,0.000000000,0.000250704,-0.000071974,-0.556446254,0.006204870,0.605466366,0.005775765,0.605043054
56,1119.962,1786752173176.056,29131098.457,0.000000000,0.000293091,0.002634922,-0.383240104,0.008023699,0.426504970,0.006947031,0.425128698
57,1139.965,1786752173196.060,29131118.460,0.000000000,0.000166988,0.002897791,-0.233103573,0.007657936,0.270259678,0.006981637,0.267993093
58,1159.963,1786752173216.057,29131138.457,0.000000000,-0.000059549,0.000554693,-0.114988923,0.005382577,0.146090463,0.005795559,0.143256575
59,1179.966,1786752173236.060,29131158.460,0.000000000,-0.000165798,-0.001859668,-0.028518749,0.003549717,0.053180065,0.004544585,0.050985355
60,1199.961,1786752173256.056,29131178.456,0.000000000,-0.000150778,-0.002908693,-0.008756971,0.002954377,0.011008144,0.003723065,0.010882352
61,1219.961,1786752173276.056,29131198.456,0.000000000,-0.000117880,-0.003026137,-0.007251154,0.002848039,0.007535885,0.003658534,0.007673434
62,1239.962,1786752173296.056,29131218.456,0.000000000,0.000026530,-0.002581199,-0.006836419,0.003252503,0.006814685,0.003741349,0.006970630
63,1259.960,1786752173316.055,29131238.455,0.000000000,0.000182855,-0.001057585,-0.006636657,0.004688109,0.006634785,0.004604462,0.006699971
64,1279.961,1786752173336.056,29131258.456,0.000000000,0.000211090,-0.000201355,-0.006419852,0.005020714,0.006492825,0.004950262,0.006426100
65,1299.962,1786752173356.056,29131278.457,0.000000000,0.000162619,0.000025885,-0.006310533,0.004852425,0.006386745,0.004868382,0.006339195
66,1319.966,1786752173376.060,29131298.460,0.000000000,0.000771193,0.009672677,-0.006517156,0.065134712,0.006817611,0.022068314,0.006151943
67,1339.961,1786752173396.055,29131318.456,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
68,1359.961,1786752173416.055,29131338.456,0.000000000,0.001066284,-0.001090290,-0.601050973,0.524354875,0.586367548,0.415146202,0.570167780
69,1379.961,1786752173436.055,29131358.455,0.000000000,0.000223851,-0.002789055,-0.926241398,0.820723772,0.893691063,0.704604685,0.876219809
70,1399.961,1786752173456.055,29131378.455,0.000000000,-0.000483925,-0.003179619,-1.160107493,1.209687710,1.147744298,1.126143336,1.135094047
71,1419.961,1786752173476.055,29131398.456,0.000000000,-0.000794303,-0.001012076,-1.320694685,1.573241711,1.347520113,1.552412868,1.344246984
72,1439.960,1786752173496.055,29131418.455,0.000000000,-0.000719219,-0.000293294,-1.408746004,1.767025352,1.458833933,1.780332565,1.460632324
73,1459.960,1786752173516.055,29131438.455,0.000000000,-0.000446245,-0.000689581,-1.499316573,1.881214499,1.557689905,1.920662522,1.563295603
74,1479.963,1786752173536.058,29131458.458,0.000000000,-0.000229255,-0.001112135,-1.568559766,1.876793623,1.614611983,1.914442658,1.619877219
75,1499.961,1786752173556.055,29131478.456,0.000000000,-0.000250011,-0.000837065,-1.618793726,1.830036879,1.649090409,1.882578015,1.656579852
76,1519.962,1786752173576.056,29131498.456,0.000000000,-0.000181350,-0.001119270,-1.656275868,1.775146723,1.670913815,1.829313159,1.678589225
77,1539.961,1786752173596.056,29131518.456,0.000000000,-0.000137400,-0.001693370,-1.686058640,1.700265288,1.681277752,1.743203282,1.687182665
78,1559.961,1786752173616.056,29131538.456,0.000000000,-0.000146394,-0.001846567,-1.709743977,1.625873923,1.685575843,1.656721473,1.689657688
79,1579.961,1786752173636.056,29131558.456,0.000000000,-0.000152182,-0.001184811,-1.725943804,1.576635242,1.689678788,1.590584159,1.691447735
80,1599.961,1786752173656.056,29131578.456,0.000000000,-0.000284949,-0.000429576,-1.735433221,1.559370041,1.695668101,1.554904580,1.695399284
81,1619.965,1786752173676.059,29131598.459,0.000000000,-0.000343483,-0.000634147,-1.741778612,1.576205254,1.703897238,1.560431242,1.702335835
82,1639.962,1786752173696.056,29131618.457,0.000000000,-0.000281169,-0.000686271,-1.744354129,1.632894278,1.715636611,1.609771252,1.712772489
83,1659.960,1786752173716.055,29131638.455,0.000000000,-0.000194364,-0.001059817,-1.744834900,1.685921550,1.724612951,1.661725640,1.721151471
84,1679.964,1786752173736.059,29131658.459,0.000000000,-0.000102677,-0.001447206,-1.744945884,1.746662259,1.733763933,1.730890632,1.730775118
85,1699.961,1786752173756.056,29131678.456,0.000000000,-0.000038674,-0.001236344,-1.743452787,1.801307797,1.741249323,1.791358471,1.738612056
86,1719.963,1786752173776.058,29131698.458,0.000000000,-0.000017142,-0.001174049,-1.741983056,1.837084293,1.745786071,1.829633355,1.743435502
87,1739.960,1786752173796.055,29131718.455,0.000000000,0.000007422,-0.002133974,-1.743624926,1.840092421,1.745018482,1.832268238,1.742974877
88,1759.960,1786752173816.054,29131738.454,0.000000000,0.000067901,-0.003334858,-1.747117996,1.822233319,1.740651131,1.817969322,1.739013791
89,1779.960,1786752173836.054,29131758.455,0.000000000,0.000085642,-0.003645081,-1.750323415,1.799538732,1.734953523,1.801337361,1.733970523
90,1799.961,1786752173856.055,29131778.456,0.000000000,0.000066661,-0.002448221,-1.749182224,1.799533248,1.732380152,1.805105686,1.731990218
91,1819.960,1786752173876.055,29131798.455,0.000000000,0.000001705,-0.000456147,-1.742029309,1.831461072,1.735097647,1.841433883,1.735552311
92,1839.961,1786752173896.056,29131818.456,0.000000000,-0.000037305,0.002342707,-1.730836868,1.892418027,1.743800163,1.892700195,1.743796229
93,1859.961,1786752173916.055,29131838.456,0.000000000,-0.000061698,0.002054991,-1.724159956,1.918576717,1.749016285,1.922850013,1.749930620
94,1879.961,1786752173936.056,29131858.456,0.000000000,-0.000014226,0.000096477,-1.724195123,1.899748325,1.746665239,1.912185788,1.748839140
95,1899.965,1786752173956.060,29131878.460,0.000000000,0.000024407,-0.001270727,-1.727654457,1.866929293,1.742491364,1.878804326,1.744906783
96,1919.963,1786752173976.058,29131898.458,0.000000000,0.000095982,-0.001598454,-1.733671784,1.820589662,1.738108158,1.823640943,1.739534616
97,1939.962,1786752173996.056,29131918.456,0.000000000,0.000055142,-0.002289961,-1.740998983,1.768246174,1.734571099,1.767174482,1.735456467
98,1959.960,1786752174016.055,29131938.455,0.000000000,-0.000039279,-0.001455856,-1.745720148,1.731732965,1.733024240,1.738198757,1.735007644
99,1979.973,1786752174036.067,29131958.467,0.000000000,0.000034415,0.000102504,-1.743430376,1.733970761,1.733429909,1.749854922,1.735821128
100,1999.965,1786752174056.060,29131978.460,0.000000000,0.000222237,0.001240971,-1.734685063,1.767056584,1.734003305,1.787113667,1.734580040
101,2019.963,1786752174076.058,29131998.458,0.000000000,0.000225851,0.002815334,-1.720340848,1.838616252,1.732789159,1.827741265,1.731686831
102,2039.965,1786752174096.059,29132018.459,0.000000000,0.000045441,0.003848678,-1.706074715,1.909399867,1.731464982,1.873257279,1.730042934
103,2059.962,1786752174116.056,29132038.457,0.000000000,-0.000197709,0.001465125,-1.699567199,1.903630733,1.723727584,1.881387949,1.726055622
104,2079.961,1786752174136.055,29132058.456,0.000000000,-0.000129954,-0.000643951,-1.700528383,1.850593567,1.715744019,1.854366541,1.720998287
105,2099.962,1786752174156.056,29132078.456,0.000000000,-0.000005165,-0.001781123,-1.707007766,1.786700249,1.712207556,1.809542537,1.718059778
106,2119.961,1786752174176.056,29132098.456,0.000000000,0.000114156,-0.002409516,-1.714230299,1.740614653,1.712480545,1.769508123,1.717698216
107,2139.964,1786752174196.059,29132118.459,0.000000000,0.000233411,-0.002708125,-1.724469662,1.690526962,1.715628862,1.717597127,1.718852758
108,2159.966,1786752174216.061,29132138.461,0.000000000,0.000277619,-0.002164591,-1.732443094,1.652899504,1.720216751,1.667473912,1.722169518
109,2179.965,1786752174236.059,29132158.459,0.000000000,0.000254988,-0.002357383,-1.736578345,1.543668747,1.722954750,1.553418279,1.723439097
110,2199.965,1786752174256.060,29132178.460,0.000000000,0.000282812,-0.002278485,-1.737295985,1.376484156,1.723651767,1.386671424,1.721935630
111,2219.966,1786752174276.060,29132198.461,0.000000000,0.000336899,-0.001388814,-1.735063314,1.193361878,1.723765492,1.197896719,1.719704390
112,2239.966,1786752174296.060,29132218.460,0.000000000,0.000342675,-0.000748164,-1.729316115,1.004747152,1.720644474,0.999255896,1.716117382
113,2259.964,1786752174316.059,29132238.459,0.000000000,0.000293081,-0.000336412,-1.720750093,0.811420560,1.714216471,0.795785546,1.710267663
114,2279.964,1786752174336.059,29132258.459,0.000000000,0.000044843,-0.000173251,-1.713688970,0.624148309,1.707810879,0.611492872,1.707384706
115,2299.964,1786752174356.059,29132278.459,0.000000000,-0.000096812,-0.000246329,-1.678731799,0.447270185,1.674072146,0.449087203,1.678209662
116,2319.965,1786752174376.060,29132298.460,0.000000000,-0.000110589,0.000091284,-1.566407442,0.296527803,1.563291550,0.313405901,1.571368098
117,2339.964,1786752174396.059,29132318.459,0.000000000,0.000166645,0.003239680,-1.401786685,0.220582917,1.403331161,0.235059440,1.410282135
118,2359.962,1786752174416.057,29132338.457,0.000000000,0.000171393,0.003364243,-1.259360790,0.178845197,1.264594674,0.193070531,1.268968701
119,2379.962,1786752174436.056,29132358.456,0.000000000,0.000188136,0.001966429,-1.058445454,0.101552591,1.066530585,0.125375628,1.068372011
120,2399.961,1786752174456.056,29132378.456,0.000000000,0.000372692,-0.001068055,-0.856729805,0.017407138,0.866481423,0.029335272,0.865805328
121,2419.964,1786752174476.059,29132398.459,0.000000000,0.000554977,-0.002672413,-0.665617466,0.004941913,0.675835431,0.005656769,0.673503280
122,2439.961,1786752174496.055,29132418.455,0.000000000,0.001191261,0.003526263,-0.494325221,0.480960250,0.501244068,0.382860303,0.486946911
123,2459.961,1786752174516.056,29132438.456,0.000000000,0.000366972,-0.000123205,-0.842313588,0.709341049,0.818322062,0.602390230,0.802548289
124,2479.964,1786752174536.059,29132458.459,0.000000000,-0.000209237,-0.001326405,-1.095722318,1.034826636,1.075296521,0.951182187,1.062849879
125,2499.964,1786752174556.059,29132478.459,0.000000000,-0.000602345,-0.001413964,-1.274890780,1.453812718,1.294325709,1.409013987,1.287635326
126,2519.963,1786752174576.058,29132498.458,0.000000000,-0.000766213,-0.000907322,-1.400261879,1.825351954,1.466387033,1.856313348,1.470996261
127,2539.963,1786752174596.058,29132518.458,0.000000000,-0.000360835,-0.002025622,-1.493185759,2.011056900,1.577722788,2.081491232,1.588202715
128,2559.963,1786752174616.058,29132538.458,0.000000000,-0.000027379,-0.003369943,-1.568423390,2.015962362,1.635831594,2.048941612,1.640774012
129,2579.965,1786752174636.060,29132558.460,0.000000000,-0.000122539,-0.002231810,-1.609889865,1.982697845,1.662653565,2.007364273,1.666510582
130,2599.965,1786752174656.059,29132578.459,0.000000000,-0.000287009,-0.001375722,-1.650127411,1.936746955,1.687648416,1.967949271,1.692714214
131,2619.964,1786752174676.058,29132598.458,0.000000000,-0.000347624,-0.000936780,-1.678910613,1.867824316,1.700353980,1.901525855,1.705907583
132,2639.964,1786752174696.058,29132618.458,0.000000000,-0.000339215,-0.001256200,-1.701695919,1.781061769,1.704048991,1.806480765,1.708131671
133,2659.962,1786752174716.056,29132638.456,0.000000000,-0.000335114,-0.001636105,-1.719738245,1.705681801,1.705159783,1.730708241,1.708524704
134,2679.965,1786752174736.060,29132658.460,0.000000000,-0.000354960,-0.001072508,-1.734264374,1.605735660,1.700254560,1.632963419,1.703536391
