index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,left_hand_q_0,left_hand_q_1,left_hand_q_2,left_hand_q_3,left_hand_q_4,left_hand_q_5,left_hand_q_6
0,0.000,1786752211270.039,29169192.439,0.000000000,-0.033686269,0.074312866,0.043401111,-0.039568864,-0.040174983,-0.068142749,-0.042684093
1,19.988,1786752211290.027,29169212.427,0.000000000,-0.034728438,0.085987002,0.048947833,-0.041495539,-0.042030964,-0.120496713,-0.052936345
2,39.985,1786752211310.024,29169232.424,0.000000000,0.000007373,-0.000042389,0.004219992,-0.004621422,-0.004292429,-0.005202832,-0.004368823
3,59.985,1786752211330.024,29169252.424,0.000000000,0.000015487,-0.000068582,0.016866956,-0.018636910,-0.017219884,-0.019612908,-0.017342437
4,79.986,1786752211350.025,29169272.425,0.000000000,0.000017990,-0.000029978,0.035694588,-0.038677797,-0.036205735,-0.039894603,-0.036354493
5,99.984,1786752211370.023,29169292.423,0.000000000,0.000016741,0.000033688,0.059104033,-0.062343411,-0.059476256,-0.063669093,-0.059634518
6,119.983,1786752211390.022,29169312.422,0.000000000,0.000012535,0.000080927,0.085803740,-0.088331930,-0.085811235,-0.089982100,-0.086012855
7,139.981,1786752211410.020,29169332.420,0.000000000,0.000004907,0.000103568,0.114808686,-0.116363339,-0.114432201,-0.118984774,-0.114775471
8,159.985,1786752211430.024,29169352.424,0.000000000,-0.000006023,0.000158900,0.145545900,-0.146581858,-0.144808263,-0.150305673,-0.145318791
9,179.996,1786752211450.035,29169372.435,0.000000000,-0.000014960,0.000221130,0.177570552,-0.179164231,-0.176560670,-0.183507711,-0.177170232
10,199.991,1786752211470.030,29169392.430,0.000000000,-0.000019957,0.000261432,0.202204630,-0.205024615,-0.201084122,-0.209449306,-0.201710522
11,219.988,1786752211490.027,29169412.428,0.000000000,-0.000025018,0.000289253,0.235591665,-0.241165325,-0.234529912,-0.245354369,-0.235125363
12,239.984,1786752211510.023,29169432.423,0.000000000,-0.000028912,0.000288347,0.269341260,-0.278968632,-0.268666446,-0.282927871,-0.269226402
13,259.983,1786752211530.022,29169452.422,0.000000000,-0.000032415,0.000293861,0.303366035,-0.317435384,-0.303225189,-0.321328074,-0.303768277
14,279.984,1786752211550.023,29169472.423,0.000000000,-0.000035638,0.000312096,0.337657481,-0.355389148,-0.337939650,-0.359190434,-0.338458538
15,299.974,1786752211570.013,29169492.414,0.000000000,-0.000038986,0.000338560,0.372193754,-0.392176956,-0.372652560,-0.395792514,-0.373129129
16,319.980,1786752211590.019,29169512.419,0.000000000,-0.000041941,0.000360566,0.406922281,-0.427765846,-0.407320350,-0.431223065,-0.407748371
17,339.980,1786752211610.019,29169532.419,0.000000000,-0.000043407,0.000377223,0.441780359,-0.462645173,-0.441985130,-0.465862572,-0.442336351
18,359.981,1786752211630.020,29169552.420,0.000000000,-0.000043924,0.000365897,0.476663113,-0.497393191,-0.476717860,-0.500008345,-0.476939172
19,379.984,1786752211650.023,29169572.423,0.000000000,-0.000045634,0.000367738,0.511551619,-0.532173991,-0.511494994,-0.534117460,-0.511596501
20,399.992,1786752211670.031,29169592.431,0.000000000,-0.000048422,0.000416155,0.546522021,-0.566884100,-0.546225667,-0.568345606,-0.546262741
21,419.985,1786752211690.024,29169612.424,0.000000000,-0.000050356,0.000475600,0.581554711,-0.601695299,-0.580904305,-0.603035092,-0.580942452
22,439.986,1786752211710.025,29169632.425,0.000000000,-0.000050979,0.000512301,0.607818127,-0.628096163,-0.606915355,-0.629621923,-0.606989861
23,459.986,1786752211730.025,29169652.425,0.000000000,-0.000051313,0.000544675,0.642785072,-0.663736343,-0.641628206,-0.665696800,-0.641771376
24,479.981,1786752211750.020,29169672.420,0.000000000,-0.000050858,0.000560998,0.677696586,-0.699686050,-0.676384091,-0.702100754,-0.676590085
25,499.981,1786752211770.020,29169692.420,0.000000000,-0.000049256,0.000554158,0.712551296,-0.735819519,-0.711214602,-0.738598049,-0.711454213
26,519.984,1786752211790.023,29169712.423,0.000000000,-0.000047020,0.000537288,0.747373581,-0.772019148,-0.746133268,-0.774917245,-0.746360183
27,539.983,1786752211810.022,29169732.422,0.000000000,-0.000044914,0.000559326,0.782262325,-0.807737708,-0.781021595,-0.810506582,-0.781208336
28,559.980,1786752211830.020,29169752.420,0.000000000,-0.000042189,0.000635841,0.817321718,-0.842256010,-0.815725744,-0.844790697,-0.815872252
29,579.980,1786752211850.019,29169772.419,0.000000000,-0.000039027,0.000752788,0.852587402,-0.875171542,-0.850173116,-0.877599359,-0.850298762
30,599.980,1786752211870.019,29169792.419,0.000000000,-0.000036031,0.000865682,0.887992561,-0.906789958,-0.884428203,-0.909416616,-0.884559155
31,619.983,1786752211890.022,29169812.422,0.000000000,-0.000033435,0.000938627,0.923416674,-0.938008428,-0.918640316,-0.940989316,-0.918786228
32,639.992,1786752211910.031,29169832.431,0.000000000,-0.000032074,0.000952923,0.958741605,-0.969984829,-0.952995598,-0.973072350,-0.953143299
33,659.986,1786752211930.025,29169852.425,0.000000000,-0.000031467,0.000938035,0.985141218,-0.994769335,-0.978895366,-0.997721672,-0.979039967
34,679.985,1786752211950.024,29169872.424,0.000000000,-0.000030054,0.000908258,1.020233989,-1.028727412,-1.013587475,-1.031381965,-1.013726354
35,699.982,1786752211970.021,29169892.421,0.000000000,-0.000027875,0.000904518,1.055297017,-1.062995315,-1.048377156,-1.065376878,-1.048502445
36,719.981,1786752211990.020,29169912.420,0.000000000,-0.000026390,0.000955881,1.090421677,-1.096530557,-1.083111048,-1.098929644,-1.083227038
37,739.982,1786752212010.021,29169932.421,0.000000000,-0.000025850,0.001056097,1.125676751,-1.128491402,-1.117676020,-1.131400466,-1.117810011
38,759.983,1786752212030.022,29169952.423,0.000000000,-0.000025923,0.001163931,1.161056042,-1.159093261,-1.152119875,-1.162833452,-1.152301073
39,779.982,1786752212050.021,29169972.421,0.000000000,-0.000024246,0.001254645,1.196512580,-1.189054847,-1.186536193,-1.193594337,-1.186783314
40,799.980,1786752212070.019,29169992.419,0.000000000,-0.000019847,0.001290296,1.231954455,-1.219612122,-1.221043706,-1.224522114,-1.221370816
41,819.979,1786752212090.019,29170012.419,0.000000000,-0.000012308,0.001269514,1.267216206,-1.251848459,-1.255640745,-1.256481051,-1.256062031
42,839.983,1786752212110.022,29170032.422,0.000000000,-0.000002751,0.001226410,1.302233815,-1.285703301,-1.290287614,-1.289670467,-1.290759444
43,859.994,1786752212130.034,29170052.434,0.000000000,0.000004509,0.001183119,1.337088823,-1.320649147,-1.325003266,-1.323878407,-1.325458646
44,879.986,1786752212150.025,29170072.425,0.000000000,0.000007832,0.001193870,1.371923566,-1.355295658,-1.359758854,-1.358015299,-1.360144138
45,899.987,1786752212170.026,29170092.426,0.000000000,0.000009136,0.001247505,1.398128986,-1.379508376,-1.385845780,-1.382113457,-1.386142731
46,919.985,1786752212190.024,29170112.424,0.000000000,0.000009755,0.001358588,1.433246017,-1.408065319,-1.420696378,-1.410807729,-1.420841694
47,939.982,1786752212210.021,29170132.421,0.000000000,0.000010318,0.001485035,1.468548298,-1.431889415,-1.455616951,-1.434860110,-1.455633759
48,959.983,1786752212230.022,29170152.422,0.000000000,0.000012311,0.001583821,1.503956079,-1.451472044,-1.490578890,-1.454507589,-1.490558624
49,979.986,1786752212250.025,29170172.425,0.000000000,0.000014663,0.001614795,1.539144158,-1.468121767,-1.525506496,-1.470956564,-1.525600433
50,999.980,1786752212270.020,29170192.420,0.000000000,0.000019825,0.001593326,1.572583199,-1.482583642,-1.559377909,-1.484961748,-1.559688091
51,1019.979,1786752212290.019,29170212.419,0.000000000,0.000029743,0.001557229,1.602849483,-1.494747043,-1.590665340,-1.496446967,-1.591135263
52,1039.981,1786752212310.020,29170232.420,0.000000000,0.000038472,0.001501918,1.629170775,-1.504854441,-1.618428826,-1.505657911,-1.618933558
53,1059.983,1786752212330.022,29170252.422,0.000000000,0.000042491,0.001452286,1.651334286,-1.513053060,-1.642263651,-1.512962341,-1.642718315
54,1079.992,1786752212350.031,29170272.431,0.000000000,0.000045585,0.001462790,1.669401526,-1.518553257,-1.662115693,-1.517795086,-1.662381291
55,1099.986,1786752212370.025,29170292.426,0.000000000,0.000046388,0.001548596,1.683588386,-1.520559192,-1.678103089,-1.519496083,-1.678047895
56,1119.987,1786752212390.026,29170312.427,0.000000000,0.000044551,0.001635818,1.691886663,-1.520771146,-1.687673569,-1.519682050,-1.687391043
57,1139.984,1786752212410.023,29170332.424,0.000000000,0.000039827,0.001736537,1.700176835,-1.520867705,-1.697429299,-1.519785881,-1.697017431
58,1159.983,1786752212430.022,29170352.422,0.000000000,0.000035801,0.001794440,1.705670238,-1.520982146,-1.704051495,-1.519911051,-1.703764796
59,1179.983,1786752212450.022,29170372.422,0.000000000,0.000036568,0.001808152,1.708702445,-1.521128654,-1.707929611,-1.520060897,-1.707884789
60,1199.988,1786752212470.027,29170392.427,0.000000000,0.000043314,0.001780495,1.709652424,-1.521301746,-1.709471941,-1.520225286,-1.709601760
61,1219.979,1786752212490.018,29170412.418,0.000000000,0.000050737,0.001715169,1.709843159,-1.521605253,-1.709758043,-1.520432472,-1.709915042
62,1239.981,1786752212510.020,29170432.420,0.000000000,0.000054160,0.001633705,1.709967017,-1.522089243,-1.709890842,-1.520662069,-1.710046172
63,1259.982,1786752212530.021,29170452.421,0.000000000,0.000068977,0.002313046,1.710206151,-1.522185683,-1.710158587,-1.520606041,-1.710267544
64,1279.981,1786752212550.020,29170472.420,0.000000000,0.000110961,0.005446761,1.710608244,-1.522046089,-1.710673332,-1.520360470,-1.710623503
65,1299.985,1786752212570.024,29170492.425,0.000000000,0.000113454,0.005969081,1.710759521,-1.522134423,-1.710839272,-1.520468712,-1.710771799
66,1319.992,1786752212590.031,29170512.431,0.000000000,0.000094793,0.005726691,1.710904241,-1.522485614,-1.710986137,-1.522297382,-1.710918903
67,1339.987,1786752212610.026,29170532.426,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
68,1359.985,1786752212630.024,29170552.424,0.000000000,0.000018839,0.000039512,0.009049299,-0.009641777,-0.009111851,-0.009578194,-0.009099576
69,1379.981,1786752212650.020,29170572.420,0.000000000,0.000042506,0.000160003,0.025546497,-0.028870897,-0.025660297,-0.027571570,-0.025457148
70,1399.979,1786752212670.018,29170592.418,0.000000000,0.000052670,0.000228375,0.047280118,-0.057228375,-0.047995668,-0.055242997,-0.047683001
71,1419.978,1786752212690.017,29170612.417,0.000000000,0.000052617,0.000244289,0.072613671,-0.091362692,-0.074428350,-0.089760482,-0.074167348
72,1439.983,1786752212710.022,29170632.423,0.000000000,0.000046066,0.000283761,0.100613102,-0.126701400,-0.103354149,-0.125880495,-0.103205353
73,1459.983,1786752212730.022,29170652.422,0.000000000,0.000034980,0.000512129,0.130889013,-0.160373077,-0.133661643,-0.160078466,-0.133587703
74,1479.987,1786752212750.026,29170672.426,0.000000000,0.000022563,0.001149414,0.163061947,-0.191914186,-0.164796904,-0.191950575,-0.164766729
75,1499.983,1786752212770.022,29170692.422,0.000000000,0.000011018,0.001612084,0.196529925,-0.222252756,-0.196583465,-0.222408026,-0.196561739
76,1519.986,1786752212790.025,29170712.425,0.000000000,0.000001395,0.001717353,0.230688155,-0.252333611,-0.228959650,-0.252419680,-0.228913054
77,1539.998,1786752212810.037,29170732.437,0.000000000,-0.000006629,0.001725915,0.265117079,-0.283009499,-0.261915863,-0.282964528,-0.261828423
78,1559.989,1786752212830.028,29170752.428,0.000000000,-0.000013308,0.001697436,0.299646020,-0.314337820,-0.295346200,-0.314189821,-0.295215666
79,1579.991,1786752212850.030,29170772.430,0.000000000,-0.000017363,0.001674718,0.325571090,-0.338483214,-0.320699662,-0.338323385,-0.320543796
80,1599.987,1786752212870.026,29170792.426,0.000000000,-0.000021345,0.001655572,0.360167176,-0.371880114,-0.354852557,-0.371740073,-0.354668975
81,1619.981,1786752212890.020,29170812.420,0.000000000,-0.000024302,0.001653905,0.394808233,-0.406653434,-0.389332503,-0.406513363,-0.389122307
82,1639.987,1786752212910.026,29170832.426,0.000000000,-0.000026395,0.001664657,0.429502785,-0.442549706,-0.424046963,-0.442392677,-0.423809648
83,1659.988,1786752212930.027,29170852.427,0.000000000,-0.000027480,0.001677964,0.464230239,-0.479235381,-0.458919078,-0.479161531,-0.458667099
