index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28
0,0.000,1786752407299.049,29365221.449,0.000000000,-0.317270875,0.000210779,-0.000035689,0.694772482,-0.741094768,0.002268643,-0.317268014,-0.000196819,0.000099462,0.694704950,-0.740808368,-0.002071453,0.000009675,-0.000187722,0.032475702,0.174693972,0.138170615,-0.009162763,0.646241784,-0.005894945,0.015491966,-0.002953459,0.174880728,-0.138028458,0.009262646,0.646365225,0.005868576,0.015594802,0.002891152
1,19.992,1786752407319.041,29365241.440,0.000000000,-0.394146860,-0.003235552,-0.067220978,0.800005257,-0.638567805,-0.014408900,-0.368773729,0.017649332,0.029760521,0.740737557,-0.654983521,-0.002587124,-0.024186743,0.014131436,-0.010357099,0.188247800,0.138764158,-0.000035723,0.628206968,0.006833167,0.016003152,-0.002889638,0.165059924,-0.137180284,-0.000810080,0.635514379,0.004334523,0.029793771,0.004962546
2,39.988,1786752407339.037,29365261.437,0.000000000,-0.477196038,0.026184648,-0.141456291,0.924327791,-0.520778298,-0.033750363,-0.427610755,0.017749980,0.076117799,0.787942410,-0.524469435,-0.005623998,-0.051054809,0.030738551,-0.014187658,0.195180893,0.136394277,0.032706771,0.579013646,0.025167823,0.023261836,-0.001482943,0.106370874,-0.122677870,-0.034498423,0.615996063,0.013807932,0.062334426,0.006151777
3,59.989,1786752407359.037,29365281.437,0.000000000,-0.526646733,0.075581402,-0.185863614,0.996597290,-0.448028684,-0.046787072,-0.457149744,0.004724318,0.107220985,0.817674875,-0.456367850,-0.003761509,-0.066224597,0.039753798,0.018818289,0.193887055,0.134175152,0.068058938,0.516094387,0.030649954,0.029780215,0.003205989,0.034761149,-0.109851725,-0.063151762,0.589660347,0.030666543,0.091842659,0.004326608
4,79.987,1786752407379.036,29365301.436,0.000000000,-0.581113279,0.151962474,-0.235850334,1.070539355,-0.380132645,-0.060571611,-0.473173976,-0.036481522,0.153065756,0.823657632,-0.375380933,-0.010955099,-0.089888312,0.035672467,0.089618601,0.192914709,0.137476087,0.116119690,0.405140907,0.030033946,0.031294700,0.014901624,-0.053407203,-0.097132243,-0.083002798,0.510212660,0.063470408,0.147350848,-0.005552698
5,99.986,1786752407399.034,29365321.434,0.000000000,-0.587191343,0.185404465,-0.312324136,1.103675604,-0.358630538,-0.067477614,-0.478469938,-0.105445661,0.213801473,0.808079839,-0.322490633,-0.015405979,-0.146839514,-0.007716546,0.165744618,0.340768039,0.132785469,0.170028642,0.229839966,0.024671094,0.023621161,0.043085355,0.039152756,-0.066403858,-0.073959462,0.303150594,0.115785003,0.246424451,-0.022231808
6,119.987,1786752407419.036,29365341.436,0.000000000,-0.567596793,0.179850727,-0.441371530,1.145777345,-0.352877945,-0.062922537,-0.498593837,-0.145730436,0.258254319,0.786668658,-0.281542808,-0.012807677,-0.228198618,-0.022634670,0.227707639,0.505730271,0.124074981,0.217714414,0.127122402,0.030958487,-0.039905220,0.066898257,0.117877498,-0.071292602,-0.053434763,0.196189508,0.173194543,0.275090992,-0.030351937
7,139.987,1786752407439.036,29365361.436,0.000000000,-0.564286411,0.218638912,-0.481293738,1.203508735,-0.331348836,-0.055885814,-0.515016437,-0.167925909,0.266730845,0.786734641,-0.240845859,-0.005380834,-0.301780403,-0.021283465,0.302203476,0.614225447,0.141724080,0.261579156,0.101256534,0.050210990,-0.080222830,0.069482982,0.129538998,-0.109541997,-0.024760745,0.183213681,0.228224903,0.294163883,-0.045909870
8,159.988,1786752407459.037,29365381.437,0.000000000,-0.578390479,0.354663849,-0.406649619,1.282816768,-0.268803596,-0.059626505,-0.484479368,-0.126802787,0.314271033,0.822954237,-0.142960116,-0.025258593,-0.310107410,-0.002008375,0.372265935,0.641377568,0.217221037,0.302267015,0.096136138,0.070878938,-0.033921741,0.039191663,0.090417892,-0.169537336,-0.005402655,0.209103644,0.256405234,0.367018640,-0.079085380
9,179.988,1786752407479.036,29365401.436,0.000000000,-0.577968001,0.468839526,-0.308456481,1.374073386,-0.170324087,-0.076284133,-0.505480528,-0.092455685,0.346323520,0.927375317,0.026205707,-0.061731346,-0.164444506,0.032281455,0.352210104,0.567687511,0.353510618,0.329954386,0.088003591,0.116241150,0.069243677,-0.092063017,0.025379280,-0.261632949,-0.028043073,0.279169261,0.258664280,0.498670846,-0.111407682
10,199.986,1786752407499.035,29365421.435,0.000000000,-0.635340750,0.442605436,-0.334055573,1.413278222,-0.141624421,-0.091012411,-0.511477888,-0.172658741,0.231724203,0.925937235,0.051623899,-0.075215928,-0.105294779,0.069712989,0.301248133,0.480893970,0.437342197,0.352971286,0.088455737,0.157820001,0.164337292,-0.254095316,-0.060796637,-0.382514983,-0.003128318,0.399741769,0.244510025,0.619533062,-0.129220456
11,219.987,1786752407519.036,29365441.436,0.000000000,-0.722193062,0.249499679,-0.443440646,1.479627728,-0.210656926,-0.092576280,-0.465433121,-0.289109200,0.149636552,0.887234628,-0.049923457,-0.058981221,-0.254284650,0.030953636,0.249946371,0.527287900,0.527166724,0.370653331,-0.014011770,0.225102261,0.244414002,-0.254228950,-0.175057232,-0.429601818,0.117372714,0.464951247,0.235495731,0.805253029,-0.198626280
12,239.990,1786752407539.039,29365461.439,0.000000000,-0.659145772,0.290908992,-0.311856776,1.483955264,-0.201103285,-0.101811953,-0.514960051,-0.242991000,0.270974636,0.856087327,0.000784848,-0.095390312,-0.149465457,-0.057451937,0.241850272,0.563179553,0.627978981,0.370501846,-0.128579080,0.261919856,0.362763286,-0.236255020,-0.228984922,-0.438127756,0.209516466,0.449929595,0.267861724,1.003378868,-0.275337994
13,259.991,1786752407559.040,29365481.440,0.000000000,-0.628022134,0.385104209,-0.210500211,1.473988891,-0.130923688,-0.110197648,-0.612148106,-0.156931594,0.278774887,0.860879958,0.030422231,-0.099882461,0.056574091,-0.063006453,0.216925204,0.531385601,0.593027174,0.415682375,-0.206582710,0.207277700,0.416358262,-0.192843184,-0.216151744,-0.496350646,0.262152970,0.409990668,0.317871660,1.204720974,-0.312108636
14,279.990,1786752407579.038,29365501.438,0.000000000,-0.682982087,0.277137250,-0.336642832,1.483927250,-0.121881418,-0.115651742,-0.528670192,-0.205738977,0.162703693,0.827639043,-0.034316465,-0.090066321,-0.004538905,-0.035724867,0.240460172,0.547262728,0.487522423,0.492443383,-0.295863122,0.188052773,0.360187232,-0.082632639,-0.193113789,-0.552345634,0.340440184,0.386407852,0.352439731,1.199435830,-0.334328085
15,299.985,1786752407599.034,29365521.434,0.000000000,-0.735440373,0.192850992,-0.374231249,1.503890991,-0.131909147,-0.124255449,-0.506172180,-0.242220715,0.179006517,0.864583194,-0.097467057,-0.078338675,-0.107343361,-0.049913686,0.221670151,0.605335474,0.456589282,0.523646295,-0.354495287,0.203123733,0.308297008,0.007971344,-0.194618344,-0.571475863,0.414050192,0.381584108,0.378772825,1.165403247,-0.363732189
16,319.992,1786752407619.040,29365541.440,0.000000000,-0.786119163,0.230934694,-0.307038337,1.558827043,-0.093190975,-0.147307858,-0.563315749,-0.244666368,0.234564975,0.971519828,-0.102915578,-0.059617259,-0.067473054,-0.053629350,0.209523663,0.601421177,0.466335326,0.528073013,-0.383293062,0.185183614,0.231299087,0.097396262,-0.138222679,-0.645731091,0.480837256,0.314968139,0.416584909,1.135448813,-0.377360135
17,339.990,1786752407639.039,29365561.439,0.000000000,-0.812608421,0.324188977,-0.232194304,1.562618375,-0.038587328,-0.168331608,-0.667800546,-0.191813588,0.313780397,1.052537799,-0.059038963,-0.048603341,0.136043981,-0.028601155,0.173328713,0.475536853,0.467041373,0.499365896,-0.359647393,0.149630755,0.166448459,0.131342560,-0.032196641,-0.751104176,0.515936196,0.292425960,0.428169250,1.089576840,-0.366428822
18,359.990,1786752407659.039,29365581.439,0.000000000,-0.845591366,0.385638386,-0.227769047,1.571822286,-0.011690588,-0.175447881,-0.735736251,-0.187757060,0.280170798,1.149626017,-0.050139014,-0.035629969,0.329678029,0.027581930,0.149224848,0.329194069,0.424890190,0.462094963,-0.329479724,0.091623224,0.113134123,0.163802341,0.089699998,-0.860298932,0.552779317,0.313217878,0.405633658,1.046559811,-0.345311880
19,379.991,1786752407679.040,29365601.440,0.000000000,-0.909324765,0.372973233,-0.277578622,1.609268904,-0.026739797,-0.171658009,-0.705977678,-0.269761562,0.207512572,1.236541510,-0.087303802,-0.023793755,0.352695197,0.074238591,0.151467651,0.296412468,0.406855136,0.461618721,-0.312469453,0.014975321,0.056255165,0.234604701,0.126235396,-0.930765450,0.638949215,0.328994751,0.388859630,1.039456487,-0.325890839
20,399.987,1786752407699.036,29365621.436,0.000000000,-0.975430846,0.380460769,-0.272154599,1.647645235,-0.042945933,-0.162726566,-0.668283284,-0.359533042,0.209975243,1.307664990,-0.115464926,-0.020011835,0.294915110,0.060616471,0.178737521,0.351982147,0.456466943,0.497623414,-0.297752112,-0.047889013,0.004400637,0.309633970,0.063353121,-0.945973039,0.729692221,0.328723639,0.416849256,1.059814930,-0.312421292
21,419.987,1786752407719.035,29365641.436,0.000000000,-0.992787838,0.446243346,-0.246292666,1.642941952,-0.021835273,-0.159896210,-0.699585140,-0.384084791,0.283115447,1.343144655,-0.098628506,-0.024831319,0.327520788,0.027571503,0.195465922,0.393822730,0.508720040,0.531876743,-0.265977293,-0.104741491,-0.026361434,0.335964620,0.022501389,-0.949221015,0.809993386,0.322133005,0.436243653,1.061825871,-0.319120228
22,439.988,1786752407739.037,29365661.437,0.000000000,-0.975964963,0.521117747,-0.226435751,1.629633904,0.023934899,-0.157856703,-0.754024088,-0.394735157,0.326013416,1.305442452,-0.068501845,-0.035502862,0.441352934,0.017587846,0.203804046,0.373648435,0.511935711,0.538975298,-0.232092440,-0.149683014,-0.032178137,0.328298122,0.044673849,-0.973692000,0.859025359,0.304990947,0.432284892,1.052717090,-0.315530121
23,459.989,1786752407759.037,29365681.438,0.000000000,-1.005656719,0.506785274,-0.263182551,1.639764071,0.035679992,-0.151088253,-0.746693134,-0.466987908,0.278297961,1.293029070,-0.092085347,-0.034792937,0.443117470,0.035394978,0.211431339,0.395805538,0.481690437,0.554009140,-0.223861307,-0.209154740,-0.056353044,0.349355936,0.029511513,-1.002877355,0.928814471,0.300218582,0.443047553,1.044957876,-0.301495850
24,479.990,1786752407779.039,29365701.439,0.000000000,-1.046725512,0.486879230,-0.260828257,1.659107804,0.037318394,-0.142437115,-0.745401621,-0.534082115,0.268092632,1.333913088,-0.117049649,-0.031472061,0.399140626,0.027037516,0.223613873,0.472144008,0.465067744,0.578990936,-0.224247307,-0.267141849,-0.090379708,0.384182006,-0.032635715,-1.011549950,1.029399037,0.304657489,0.459798098,1.028976917,-0.298487455
25,499.989,1786752407799.038,29365721.438,0.000000000,-1.052768826,0.507102311,-0.231997937,1.672321320,0.060100358,-0.135983527,-0.781705976,-0.552148581,0.298943311,1.365922809,-0.107335456,-0.034575436,0.407114893,0.015631985,0.233353421,0.535055041,0.439978570,0.596239269,-0.223269954,-0.311460704,-0.109403975,0.397553533,-0.062603071,-1.005114555,1.090030909,0.307956517,0.451489776,1.010418653,-0.306399435
26,519.989,1786752407819.038,29365741.438,0.000000000,-1.048343778,0.531876564,-0.210638896,1.673932076,0.081390813,-0.130875438,-0.809479892,-0.558007360,0.307032168,1.376647472,-0.097723380,-0.036676873,0.427664191,0.019166352,0.240899593,0.564022183,0.406117588,0.603277922,-0.220536962,-0.336330801,-0.118378602,0.395635039,-0.060466383,-1.002245426,1.102827668,0.306265533,0.426168054,0.993661106,-0.310809702
27,539.989,1786752407839.038,29365761.438,0.000000000,-1.056775093,0.540863812,-0.201571628,1.675759077,0.106340595,-0.124284387,-0.832343042,-0.567944884,0.302954882,1.397869825,-0.091492251,-0.037207887,0.439028144,0.033434477,0.250708699,0.593702674,0.354585469,0.609679282,-0.211065039,-0.362767994,-0.129008412,0.387531400,-0.045568101,-1.000813484,1.100221515,0.305434734,0.387328267,0.971049070,-0.307518005
