index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_qw,base_qx,base_qy,base_qz
0,0.000,1786752446515.189,29404437.589,0.000000000,0.801188827,-0.000094660,0.598411620,0.000046054
1,19.988,1786752446535.177,29404457.577,0.000000000,0.773805320,-0.000876874,0.633402228,0.005112030
2,39.987,1786752446555.176,29404477.576,0.000000000,0.743447900,-0.005705808,0.668678582,0.011026530
3,59.987,1786752446575.176,29404497.576,0.000000000,0.999871135,-0.001208679,0.015692681,0.003158558
4,79.987,1786752446595.176,29404517.576,0.000000000,0.999435782,-0.010318900,0.029750209,0.011686618
5,99.987,1786752446615.176,29404537.576,0.000000000,0.999389052,-0.017309019,0.030195476,0.003182701
6,119.986,1786752446635.175,29404557.576,0.000000000,0.999381781,-0.016372934,0.029331660,-0.010375539
7,139.986,1786752446655.175,29404577.576,0.000000000,0.999124229,-0.014232096,0.037029944,-0.013302443
8,159.986,1786752446675.175,29404597.575,0.000000000,0.999045253,-0.013464895,0.039893255,-0.011652370
9,179.986,1786752446695.175,29404617.575,0.000000000,0.999263108,-0.028930930,0.025019186,-0.003201660
10,199.989,1786752446715.178,29404637.579,0.000000000,0.999401569,-0.033141095,0.005088984,0.008498930
11,219.994,1786752446735.183,29404657.583,0.000000000,0.999545038,-0.027116681,-0.008542313,0.010071909
12,239.985,1786752446755.174,29404677.574,0.000000000,0.999336839,-0.015440359,-0.029363748,0.015007740
13,259.985,1786752446775.174,29404697.574,0.000000000,0.998543143,0.000520058,-0.049994841,0.020292388
14,279.984,1786752446795.174,29404717.574,0.000000000,0.997369766,0.010641984,-0.069226943,0.018654158
15,299.984,1786752446815.173,29404737.573,0.000000000,0.996255159,0.012674971,-0.083878137,0.016716911
16,319.984,1786752446835.173,29404757.574,0.000000000,0.996152401,0.011818139,-0.085353561,0.015982959
17,339.984,1786752446855.174,29404777.574,0.000000000,0.996680140,0.012537180,-0.080050506,0.007967931
18,359.984,1786752446875.173,29404797.573,0.000000000,0.996995211,0.013008811,-0.076208651,-0.004853732
19,379.982,1786752446895.171,29404817.572,0.000000000,0.996955037,0.012444255,-0.076231077,-0.010708630
20,399.984,1786752446915.173,29404837.573,0.000000000,0.996392787,0.008508091,-0.084155805,-0.006843311
21,419.984,1786752446935.173,29404857.574,0.000000000,0.995396793,-0.001466293,-0.095552973,-0.007258322
22,439.984,1786752446955.174,29404877.574,0.000000000,0.994285643,-0.008924725,-0.105560526,-0.013167840
23,459.984,1786752446975.174,29404897.574,0.000000000,0.993298173,-0.013772151,-0.113529064,-0.016741125
24,479.985,1786752446995.174,29404917.574,0.000000000,0.991936207,-0.021342041,-0.123747066,-0.017140370
