index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,dq_16,dq_17,dq_18,dq_19,dq_20,dq_21,dq_22,dq_23,dq_24,dq_25,dq_26,dq_27,dq_28
0,0.000,1786752446515.189,29404437.589,0.000000000,0.179088309,0.000069688,0.002115864,-0.096148692,3.316289186,-0.000986765,0.178983957,-0.000100466,-0.002214293,-0.095367737,3.314072609,0.000285524,-0.000016196,0.000080324,-0.781035125,0.169811562,0.283606499,0.000628114,-0.409393787,0.006019855,-0.122854076,-0.002544236,0.169189051,-0.285259724,-0.000681753,-0.410478681,-0.006012983,-0.123816706,0.002547999
1,19.988,1786752446535.177,29404457.577,0.000000000,-4.114265442,0.177973911,-3.623310566,6.190345764,2.903889179,-1.334491014,-2.530246973,1.049779177,1.973732233,1.814253926,4.078207016,0.261162162,-1.393536925,0.936927259,-1.382115364,6.954925537,-0.329372257,0.719158351,-5.138501644,0.154290006,-0.201278463,0.065825462,5.694350719,0.234567538,-0.282924682,-4.827544689,0.230832562,0.624356925,0.178488120
2,39.987,1786752446555.176,29404477.576,0.000000000,-0.904377043,0.672756433,-5.701424599,1.402300835,2.149234772,-0.869358897,-1.319691896,0.349167079,2.426203489,-1.503281355,2.145120859,0.439393312,-1.854864120,1.053512216,-0.497667998,8.530126572,-1.075638056,2.071779013,-4.210126877,0.447455317,-2.756911755,-0.157474995,6.093296528,0.898714542,-1.132115364,-3.527644873,0.684354186,-1.284212947,0.527601242
3,59.987,1786752446575.176,29404497.576,0.000000000,-13.963634491,0.146188825,-4.331489086,17.734697342,-6.406327724,-1.233348489,-11.475047112,1.277427316,4.945213318,12.152070045,-4.583124638,-0.545206547,-1.693170786,0.579353869,-6.667112350,0.531946719,-0.005770784,0.549740016,0.531923890,0.115920097,-0.727017343,-0.088626139,-0.615160823,-0.172351494,0.038046189,0.781859696,0.826012433,0.338924885,0.223749787
4,79.987,1786752446595.176,29404517.576,0.000000000,-7.466691017,1.067785621,-4.584179878,13.992692947,-2.002469778,-0.628435731,-5.707924366,0.612260818,1.984999537,10.962186813,-1.900371671,0.102952488,-0.734352231,1.229913354,2.670883894,-2.988647938,0.707371712,1.719893098,0.841411769,-0.597645283,-0.565016866,0.151746348,-5.800222397,-0.973946750,-1.142003894,1.522327781,2.329429388,0.871055007,-0.020038601
5,99.987,1786752446615.176,29404537.576,0.000000000,-4.606463909,1.066079378,-4.057966232,10.986753464,-2.223370790,-0.212682486,-5.053004265,0.149388462,3.346191883,11.901832581,-0.551320314,-0.034317318,1.521873593,-0.427185237,2.894946575,-2.497791290,2.203446865,0.372197330,0.175939277,-0.877431393,0.086961269,0.799423337,-5.473167896,-1.142070174,-1.029246807,1.751420975,1.358239651,0.449659675,-0.585157096
6,119.986,1786752446635.175,29404557.576,0.000000000,-3.849443674,1.294406056,-4.530779839,10.971924782,-3.292271852,-0.072778679,-2.974575520,-1.000239968,2.359958649,7.390420914,-2.002824545,0.062719196,0.845041335,-1.267479897,0.196519002,0.146101668,2.872237921,-0.730145514,-0.672667265,-0.208310783,0.235727891,0.932675242,-3.088532448,-1.165137053,0.316431612,1.622937202,0.847175062,0.371755868,-0.839519739
7,139.986,1786752446655.175,29404577.576,0.000000000,-3.306279182,2.162686348,-3.962527037,8.779199600,-1.943111181,-0.882117093,-1.594835043,-2.951545477,-0.678446770,2.458982706,-3.679240227,0.004102321,-1.247224689,-0.942218184,-3.126622915,3.226043463,1.971798658,-0.295278907,-1.014237404,-0.630712390,0.020823754,0.919748843,-0.127030149,-0.761963069,2.324759483,0.612060726,0.894870400,0.394301474,-0.832826257
8,159.986,1786752446675.175,29404597.575,0.000000000,-1.034477711,3.399132967,-2.966195583,6.999223709,-1.900468707,-0.347179830,-0.101817846,-1.710803747,-1.009404898,0.600781918,-6.968908787,4.971648216,-0.808605790,0.562354147,-3.104326487,3.648967743,-0.220510408,0.207000658,-0.175395578,-1.127908945,0.293439716,0.466628820,1.738618135,-0.995822966,2.516337633,-0.403192073,0.644667089,-0.032549724,-0.580882609
9,179.986,1786752446695.175,29404617.575,0.000000000,0.853115499,2.747231722,-3.877601147,4.769059658,-1.067214131,-0.038022891,2.463829041,0.111012787,-1.972876191,1.890177011,-2.074347973,0.821737766,-1.335294485,2.868479013,0.490152806,1.537575364,-2.343467474,-0.297050923,2.216862679,-1.134052992,0.800559461,0.073252439,2.570758581,-2.468674421,1.433898807,-0.727224767,0.059819058,-0.283485681,-0.781093776
10,199.989,1786752446715.178,29404637.579,0.000000000,0.657545030,0.729449630,-0.252989322,4.867661476,-2.279751062,-0.339310139,2.408524990,-1.517952681,0.559887886,1.228321552,-1.007366896,0.620150506,0.712847352,0.592608035,0.759324193,0.453769207,-1.825948119,-0.950887024,3.151337624,-0.106848583,1.078653932,-0.419572383,3.295003414,-2.974863291,0.729436934,-0.248750865,-0.302142322,-0.157834440,-1.245827436
11,219.994,1786752446735.183,29404657.583,0.000000000,-0.226387575,1.085753083,1.091344595,3.956383467,-1.479250789,0.006352669,1.602819085,-0.917254329,3.207248926,1.758752704,0.102478735,0.626827300,1.517464519,0.025378486,1.007112980,0.099180512,-0.795081854,-1.080461621,3.444473743,0.472093850,0.735227227,-0.631488204,2.851913691,-2.805850267,0.663831651,0.331497341,-0.905664861,0.228879035,-1.329191566
12,239.985,1786752446755.174,29404677.574,0.000000000,-0.934235990,0.747014284,0.859987736,2.082346201,-0.797107756,0.882004440,2.456991673,-0.133530602,6.515637398,1.281009078,-0.112840623,-0.029331433,0.906190634,-0.901838064,2.348671913,-0.563083947,0.563933849,-0.813244879,3.331446648,0.139528602,0.466485023,-0.683687508,1.741794705,-2.243109941,0.896994293,0.791852534,-1.211368918,0.876685560,-1.376734614
13,259.985,1786752446775.174,29404697.574,0.000000000,-1.595066309,1.457642198,1.023849845,0.495153934,1.276446819,0.993242800,0.287577391,-1.491606951,2.525402546,4.100159645,2.189540625,1.495027781,1.352387071,-1.246864915,2.914078236,-1.066029072,1.173331976,-0.444643050,2.902187586,-0.452774405,0.413186550,-0.154571801,0.830431461,-2.092010975,1.353696346,0.457968533,-0.942564011,1.517330766,-1.270077229
