index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
0,0.000,1786752446515.189,29404437.589,0.000000000,-1.648422241,-0.011062684,0.013994742,0.175884441,-0.428292513,-0.009770706,-1.646021247,0.009676909,-0.016782649,0.175381824,-0.428195417,0.002965438,-0.000004428,0.005127580,2.205490351,0.003954211,0.429535657,0.159834117,-0.046593226,0.069333240,-0.053533532,0.016700067,0.000801850,-0.428768396,-0.161425665,-0.047125846,-0.068999462,-0.053565167,-0.016538929
1,19.988,1786752446535.177,29404457.577,0.000000000,0.076060824,51.092647552,-26.555528641,8.210538864,1.244506598,0.311207741,-12.016032219,-48.726974487,25.714149475,-0.225428566,-0.809390068,-0.662058353,-0.232603878,1.656740308,16.364896774,-5.601038456,0.596662939,1.821535349,2.765161753,1.044177294,-0.498897105,0.146347389,-16.194759369,2.325647116,-1.779898763,0.239963919,-0.150273845,-0.819844246,-0.437318414
2,39.987,1786752446555.176,29404477.576,0.000000000,-42.595020294,55.834991455,-20.111131668,25.005750656,2.785281897,0.228797123,-6.380565166,-52.240230560,21.371921539,-4.579704762,-0.823857665,-0.690369368,3.961534500,0.631789148,15.099273682,-13.881789207,2.135703802,3.164881229,2.895973444,0.132451206,3.600719690,0.581862211,-25.000000000,0.377257645,-2.133142710,0.021636894,0.759225368,1.952489138,-0.792146862
3,59.987,1786752446575.176,29404497.576,0.000000000,-88.000000000,66.742073059,-22.248607635,110.984146118,-5.428016186,-2.388266325,-46.567836761,-45.176956177,25.646001816,79.575912476,-4.299468040,-1.389387727,-0.443554491,0.003170036,21.389564514,-1.089099407,4.909475327,6.944722652,6.370719433,0.557757735,0.354453772,1.116390228,-20.328714371,-4.740416050,-3.972001791,0.819569468,2.053239822,0.835071802,-0.449608773
4,79.987,1786752446595.176,29404517.576,0.000000000,-2.120456934,51.496612549,-16.338499069,-0.931156754,3.409573078,0.846432626,4.229477882,-46.517639160,8.190073967,8.200771332,9.997612953,-2.297127485,8.294969559,-7.231342316,4.355609894,2.003386497,4.480405331,2.721612215,1.646134853,-0.827760100,1.081299305,0.705991626,-7.998748302,-2.919893980,-2.336742401,-1.749357581,0.865730464,-0.655879617,-0.576217532
5,99.987,1786752446615.176,29404537.576,0.000000000,10.090687752,40.727920532,-16.889982224,5.906829357,-0.139228404,0.536449671,25.823362350,-45.052276611,13.031082153,9.235637665,4.516083717,-1.187998891,6.027184963,-10.574563980,-20.643978119,4.402767658,2.825331450,-0.985273898,-1.773461342,-0.215274557,-0.534565032,0.284537137,-1.358327627,-0.895326674,0.681285739,-1.845610619,-0.631004930,-1.105666995,-0.192710847
6,119.986,1786752446635.175,29404557.576,0.000000000,19.560659409,30.995897293,-11.728736877,10.316914558,0.184234023,0.138005644,20.883666992,-44.096836090,14.266274452,1.756749511,9.782071114,-5.878865242,-2.959388494,-9.413716316,-30.574148178,4.658601761,0.572424054,-1.497421265,-2.698457003,0.309201092,-0.713968635,-0.166761294,4.317878723,0.894559085,2.743157148,-3.188078642,0.205701426,-1.063890576,0.384588122
7,139.986,1786752446655.175,29404577.576,0.000000000,23.665815353,15.649366379,-1.358923554,4.738783836,0.139220089,-0.148831666,6.430069447,-29.566398621,10.228866577,-0.288221359,10.588978767,-5.547849655,-13.447417259,4.174733639,-23.093647003,0.800880730,-3.453221798,-1.943325639,-1.446014047,-0.439399540,-0.466441184,-0.236430287,8.403449059,1.818052530,2.275254726,-3.085168839,0.266287416,-1.122597337,0.451169938
8,159.986,1786752446675.175,29404597.575,0.000000000,13.083601952,-4.214873314,9.622435570,4.556360722,-0.051183924,-0.432286620,-1.199426293,-27.083799362,10.581744194,-14.689714432,20.705657959,-5.621610641,-4.001393795,11.035163879,-10.897224426,-2.692170143,-3.431240320,-0.778077602,-2.576237917,-0.452417761,-0.470730573,-0.108638838,6.307730198,1.292114377,0.915326715,-0.534565270,0.129940897,-0.247262776,0.117612086
9,179.986,1786752446695.175,29404617.575,0.000000000,-34.307067871,-14.256063461,10.120045662,-5.008969307,-1.332564592,-0.315658420,43.412616730,-60.795742035,38.898643494,-50.770542145,50.000000000,-22.115129471,8.171630859,-4.525115490,-7.946473122,-4.495895863,2.815447569,1.932496548,-4.193459511,-0.270310998,-0.871338129,0.373094231,0.093885228,0.280516207,0.410118133,-0.122992709,-0.232332394,0.461205930,-0.157253802
