index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26,act_27,act_28
0,0.000,1786751905516.031,28863438.431,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,19.990,1786751905536.020,28863458.420,0.000000000,-0.956501484,-1.116349816,-0.192548901,1.336966157,-1.079573274,0.008672141,-2.070110559,1.917267799,-0.141199827,2.050671101,1.416424036,-0.041924093,-1.091636062,-0.273367524,0.161942080,0.002817057,0.669530451,-0.219937682,0.075942874,-0.021827888,-0.167842478,-0.012378773,-0.488772839,0.272736728,-0.181351215,0.200317755,-0.117357217,0.080306485,0.031072315
2,39.988,1786751905556.018,28863478.418,0.000000000,-1.192565680,-1.246169806,-0.157666817,1.652589679,-1.429911375,-0.179621592,-2.634455442,2.521130085,-0.324427068,2.924272776,2.170422792,-0.262998194,-1.883056164,-0.354377955,0.001936069,-0.076289251,0.686142504,-0.121376775,0.010165090,0.001924288,-0.191612184,-0.348721594,-1.022531986,0.102090262,-0.124084741,0.074054450,-0.462217510,0.216825664,0.273989469
3,59.990,1786751905576.020,28863498.420,0.000000000,-1.361902118,-0.733669162,-0.158088058,1.350188136,-1.195182681,-0.280318439,-2.012649298,2.023677349,-0.942629457,3.096519709,1.963052154,-0.366730481,-2.142640829,-0.211356074,0.010260900,-0.144182995,0.228494942,-0.071187489,-0.011079011,0.110716298,-0.047425799,-0.746476054,-1.574656129,-0.132386148,-0.011183828,-0.093703344,-0.665222585,0.567495823,0.206874132
4,79.988,1786751905596.018,28863518.419,0.000000000,-1.287117124,-0.281689316,-0.185245067,0.980858862,-0.733524621,0.002671130,-0.987053394,0.907103777,-1.229559660,2.758519173,1.175827146,-0.464226723,-2.236182928,-0.048176862,-0.117131092,-0.158789948,-0.123472326,-0.125444233,0.049495012,0.128161237,0.050733306,-1.193053484,-2.062506676,-0.315321475,0.171513706,-0.055313375,-0.599912524,0.711614847,-0.111026138
5,99.986,1786751905616.017,28863538.417,0.000000000,-1.408089995,0.353874415,0.333030194,0.548342288,-0.384293228,-0.465652227,-0.108276717,0.336333066,-1.548614025,2.643283606,-0.233672827,-0.600987017,-2.381464243,0.088780172,1.545246959,0.031571440,-0.299514711,-0.007505961,-0.015446825,0.175165877,0.168733388,-1.496796489,-2.202881098,-0.385913938,0.262940824,0.009755719,-0.386089921,0.731063247,-0.426837951
6,119.985,1786751905636.016,28863558.416,0.000000000,-1.875318408,1.069222808,0.605074525,0.792297900,-0.483411789,-0.999972105,-0.465764552,1.837703347,-1.653530121,2.515957355,-0.405707806,-0.877789557,-2.378776550,0.199395090,4.043786526,0.464435995,-0.687607169,-0.062235706,-1.004499197,0.242108479,0.216823936,-1.609274745,-2.206614733,-0.304009825,0.313400984,-0.005420040,-0.209282205,0.752135038,-0.790724456
7,139.988,1786751905656.018,28863578.418,0.000000000,-2.137307167,1.739105344,0.701465607,0.961173058,-0.955206454,-1.426762342,-0.876229286,2.977079868,-1.845154643,2.865891457,-1.167106032,-0.921625912,-1.947815180,0.021010809,4.767774582,0.838131070,-0.589494288,-0.236982793,-1.258975625,0.358517528,0.405958325,-1.590885997,-2.084752560,-0.082387768,0.324344933,-0.084477201,-0.060002007,0.723709464,-1.132204175
8,159.988,1786751905676.019,28863598.419,0.000000000,-2.020280600,1.776797414,0.565226674,1.150085092,-1.276474953,-1.877844095,-1.335736156,3.426471472,-1.355469584,3.097655773,-0.937943280,-0.956047475,-1.388582945,-0.141030610,5.226498604,1.301445365,-0.202586427,-0.303309321,-1.279010892,0.531219006,0.720755637,-1.147390723,-1.771659374,-0.000900602,0.367488801,0.117321536,-0.236015275,0.766825080,-1.364112020
9,179.985,1786751905696.016,28863618.416,0.000000000,-1.991860867,1.715638399,0.385219932,1.275601745,-1.089757562,-1.843861103,-1.499241114,3.153660059,-0.487091482,2.929796219,0.325951695,-0.991658807,-1.004856110,-0.149629831,5.400528908,1.495710850,0.070915900,-0.273741454,-1.046592116,0.658309996,1.014870405,-0.776758671,-1.415543318,-0.101512454,0.355131984,0.335232794,-0.340882152,0.936268449,-1.760908008
10,199.987,1786751905716.018,28863638.418,0.000000000,-1.841949582,1.393313169,0.332834989,1.339105606,-0.783241808,-1.628789783,-1.457243204,2.100700140,0.267168432,2.607193470,1.638901949,-0.953172743,-0.811162591,-0.132995576,5.137396812,1.253557563,0.132603705,-0.166593224,-0.561686277,0.659986794,1.156195045,-0.585752606,-1.089119077,-0.209694371,0.342241287,0.487834930,-0.192332283,1.218619108,-2.252727032
11,219.989,1786751905736.020,28863658.420,0.000000000,-1.356665254,0.398815960,0.543119431,1.538334250,-0.273851186,-1.229433417,-1.323585153,0.678395033,0.754336476,2.138425827,2.396645546,-0.861179948,-0.921365976,-0.189148962,4.842990875,0.852920949,-0.132112920,-0.141478211,-0.100443989,0.470009625,1.115004539,-0.461027861,-1.056069374,-0.294134378,0.388679385,0.712121487,0.050656609,1.432348490,-2.998495579
12,239.987,1786751905756.018,28863678.418,0.000000000,-0.752678752,-0.624827027,0.183756888,1.552689195,0.392138064,-0.436123371,-0.973247528,0.109180063,0.795627594,1.906033993,2.962526083,-1.011915565,-0.738184094,0.143407226,4.119500160,0.372855127,-0.535467565,-0.298318833,0.064653866,-0.028904516,1.004188895,-0.527148485,-1.131259799,-0.298620522,0.442583978,0.696805835,0.166390449,1.681950688,-3.784569025
