index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_ax,base_ay,base_az
0,0.000,1786751905516.031,28863438.431,0.000000000,0.840758681,0.000280697,-0.348068744
1,19.990,1786751905536.020,28863458.420,0.000000000,-23.937681198,-1.530404091,-8.991956711
2,39.988,1786751905556.018,28863478.418,0.000000000,-10.857987404,-1.496809840,-11.236186981
3,59.990,1786751905576.020,28863498.420,0.000000000,1.858643413,0.729157507,-9.799241066
4,79.988,1786751905596.018,28863518.419,0.000000000,4.059677601,2.671944141,-8.629839897
5,99.986,1786751905616.017,28863538.417,0.000000000,6.175226688,6.026156902,0.939971507
6,119.985,1786751905636.016,28863558.416,0.000000000,-4.720658302,17.385507584,14.657893181
7,139.988,1786751905656.018,28863578.418,0.000000000,11.613382339,14.433403015,15.721486092
8,159.988,1786751905676.019,28863598.419,0.000000000,10.426705360,5.662817478,10.695211411
9,179.985,1786751905696.016,28863618.416,0.000000000,3.152327776,-3.896435976,3.255899429
10,199.987,1786751905716.018,28863638.418,0.000000000,-5.507709026,-7.564900875,-2.918665171
11,219.989,1786751905736.020,28863658.420,0.000000000,-8.783226967,-0.308665633,-1.301999569
12,239.987,1786751905756.018,28863678.418,0.000000000,-4.255658627,4.968351364,-2.029483795
13,259.988,1786751905776.018,28863698.418,0.000000000,0.822822452,11.437948227,-6.893999577
14,279.986,1786751905796.017,28863718.417,0.000000000,-0.296849012,9.185582161,-6.886727810
15,299.989,1786751905816.019,28863738.420,0.000000000,-2.021725178,5.022016525,-5.064990520
16,319.988,1786751905836.019,28863758.419,0.000000000,2.590372801,1.011020303,-8.634773254
17,339.985,1786751905856.016,28863778.416,0.000000000,5.133761883,-2.173603773,-10.071718216
18,359.985,1786751905876.015,28863798.415,0.000000000,0.551400065,11.615954399,9.415663719
19,379.989,1786751905896.019,28863818.419,0.000000000,-4.412617683,10.134491920,15.996009827
20,399.987,1786751905916.018,28863838.418,0.000000000,-4.946368217,6.209152699,13.483759880
21,419.990,1786751905936.021,28863858.421,0.000000000,-4.590172768,9.485096931,12.171324730
22,439.987,1786751905956.018,28863878.418,0.000000000,-4.254248619,2.405921698,8.756972313
23,459.988,1786751905976.019,28863898.419,0.000000000,-8.145857811,-6.954656601,-2.256142855
24,479.986,1786751905996.017,28863918.417,0.000000000,-5.984823704,1.879871011,-1.036975741
25,499.986,1786751906016.017,28863938.417,0.000000000,-0.083622985,6.947926521,-2.267720938
26,519.985,1786751906036.016,28863958.416,0.000000000,3.559362650,7.889678478,-8.335185051
27,539.985,1786751906056.016,28863978.416,0.000000000,5.071562290,7.599678516,-8.541382790
28,559.984,1786751906076.015,28863998.415,0.000000000,-0.661477327,-8.305898666,0.331534833
29,579.985,1786751906096.016,28864018.416,0.000000000,-8.278876305,-16.821113586,12.229605675
30,599.986,1786751906116.016,28864038.416,0.000000000,-9.702473640,-8.574170113,9.273628235
31,619.986,1786751906136.016,28864058.416,0.000000000,-8.524682999,-1.309365392,4.305841923
32,639.984,1786751906156.015,28864078.415,0.000000000,-2.192564011,2.515290022,-0.066425249
33,659.985,1786751906176.016,28864098.416,0.000000000,6.114977837,5.990750313,-5.126342773
34,679.986,1786751906196.017,28864118.417,0.000000000,12.762062073,5.323151588,-6.219285488
35,699.984,1786751906216.015,28864138.415,0.000000000,12.459248543,-6.933162212,-4.486578465
36,719.986,1786751906236.016,28864158.416,0.000000000,-2.809603453,-4.988242626,1.911765218
37,739.985,1786751906256.016,28864178.416,0.000000000,-0.398890585,2.738152027,-8.616885185
38,759.985,1786751906276.016,28864198.416,0.000000000,3.548079491,6.575214863,-8.674828529
39,779.985,1786751906296.016,28864218.416,0.000000000,-9.854661942,-12.518090248,8.562929153
40,799.985,1786751906316.016,28864238.416,0.000000000,-14.167176247,-14.067200661,11.070553780
41,819.985,1786751906336.016,28864258.416,0.000000000,-10.262060165,7.095013142,-2.778918982
42,839.985,1786751906356.015,28864278.415,0.000000000,-6.724399090,4.783327103,-17.076837540
43,859.987,1786751906376.017,28864298.417,0.000000000,4.326961040,0.727529466,-9.549427986
44,879.984,1786751906396.015,28864318.415,0.000000000,4.868181705,-1.058042288,0.146109715
45,899.985,1786751906416.016,28864338.416,0.000000000,-7.616336823,-0.229303598,-8.541033745
46,919.988,1786751906436.019,28864358.419,0.000000000,-15.331552505,-6.343093872,-2.893753529
47,939.985,1786751906456.016,28864378.416,0.000000000,-9.841138840,-4.631171227,15.483707428
48,959.985,1786751906476.016,28864398.416,0.000000000,-1.230153203,0.543631375,14.942389488
49,979.984,1786751906496.015,28864418.415,0.000000000,-1.448457479,10.655999184,-9.663276672
50,999.984,1786751906516.015,28864438.415,0.000000000,3.887310982,2.153580904,-12.774682999
51,1019.985,1786751906536.015,28864458.415,0.000000000,5.285300732,-0.474822223,-0.079597771
52,1039.984,1786751906556.014,28864478.415,0.000000000,-0.773284435,-4.229268074,-2.527683973
53,1059.983,1786751906576.014,28864498.414,0.000000000,-4.134698868,-6.557270050,-4.505325794
54,1079.992,1786751906596.022,28864518.422,0.000000000,-13.388960838,-12.958230019,0.737784982
55,1099.986,1786751906616.017,28864538.417,0.000000000,-11.605758667,-5.295361042,14.311050415
56,1119.986,1786751906636.017,28864558.417,0.000000000,-8.456321716,1.828650355,12.513931274
57,1139.986,1786751906656.017,28864578.417,0.000000000,-1.917949319,7.949717999,-4.447761536
58,1159.985,1786751906676.016,28864598.416,0.000000000,-0.958573461,7.553422451,-27.284212112
59,1179.985,1786751906696.016,28864618.416,0.000000000,-0.332036227,4.303395748,-23.383480072
60,1199.984,1786751906716.014,28864638.415,0.000000000,0.479820192,0.133093089,-4.062840462
61,1219.986,1786751906736.017,28864658.417,0.000000000,1.141240954,-6.468145847,-2.003620625
62,1239.986,1786751906756.017,28864678.417,0.000000000,2.700414419,-4.950551033,1.489134550
63,1259.986,1786751906776.016,28864698.416,0.000000000,2.158457279,1.696489573,0.595932066
64,1279.986,1786751906796.017,28864718.417,0.000000000,-1.903563738,1.194272280,-3.006801128
65,1299.986,1786751906816.016,28864738.416,0.000000000,-14.017802238,29.219087601,-0.778610110
66,1319.986,1786751906836.016,28864758.416,0.000000000,-2.703107834,-6.526432037,-0.434954077
67,1339.985,1786751906856.015,28864778.415,0.000000000,0.000000000,0.000000000,0.000000000
68,1359.985,1786751906876.016,28864798.416,0.000000000,-7.399318218,-0.760224700,-7.263574123
69,1379.986,1786751906896.017,28864818.417,0.000000000,18.360851288,-14.039041519,-9.876091003
70,1399.985,1786751906916.016,28864838.416,0.000000000,8.262553215,-8.662970543,-13.424214363
71,1419.984,1786751906936.014,28864858.414,0.000000000,9.172687531,1.419908524,-5.956459522
72,1439.985,1786751906956.016,28864878.416,0.000000000,-1.644196749,16.297584534,4.204751492
73,1459.986,1786751906976.016,28864898.416,0.000000000,4.748096943,19.915756226,5.961729527
74,1479.985,1786751906996.015,28864918.415,0.000000000,6.686255455,20.125789642,11.403219223
75,1499.984,1786751907016.015,28864938.415,0.000000000,2.604079723,11.641834259,4.857533455
76,1519.985,1786751907036.016,28864958.416,0.000000000,-0.000132220,-0.500851095,-1.003226042
77,1539.989,1786751907056.020,28864978.420,0.000000000,4.721671104,0.273862243,-4.535223007
78,1559.996,1786751907076.027,28864998.427,0.000000000,-2.924054623,-0.664354622,-4.319404125
79,1579.988,1786751907096.019,28865018.419,0.000000000,-11.154078484,-1.208714485,-2.651934147
80,1599.988,1786751907116.019,28865038.419,0.000000000,-8.346417427,-0.694272876,-0.870004117
81,1619.987,1786751907136.018,28865058.418,0.000000000,-4.968768597,0.384753972,-0.557193637
82,1639.987,1786751907156.017,28865078.417,0.000000000,-0.657780588,0.618345380,-1.340743780
83,1659.989,1786751907176.019,28865098.419,0.000000000,2.901916504,-0.854221284,-4.592894077
84,1679.984,1786751907196.015,28865118.415,0.000000000,5.886173725,4.097184181,-1.915724635
85,1699.985,1786751907216.015,28865138.415,0.000000000,-4.013099194,-1.594723821,0.727930546
86,1719.984,1786751907236.015,28865158.415,0.000000000,-11.700173378,-2.651048899,12.730203629
87,1739.984,1786751907256.015,28865178.415,0.000000000,-9.083391190,-2.850455761,15.840960503
88,1759.984,1786751907276.015,28865198.415,0.000000000,-4.595229626,-1.991590023,14.901402473
89,1779.985,1786751907296.015,28865218.415,0.000000000,0.583324790,-0.751469672,9.583815575
90,1799.984,1786751907316.014,28865238.415,0.000000000,1.436728239,2.391634226,1.530633092
91,1819.985,1786751907336.015,28865258.415,0.000000000,4.060408592,6.249951363,-7.204713345
92,1839.987,1786751907356.018,28865278.418,0.000000000,4.541921616,2.446182013,-6.048143387
93,1859.987,1786751907376.018,28865298.418,0.000000000,4.145205021,1.271201134,-4.708611012
94,1879.987,1786751907396.018,28865318.418,0.000000000,1.891094804,0.395503104,-5.066998959
95,1899.987,1786751907416.017,28865338.418,0.000000000,-2.200300694,-2.967915535,-8.649704933
96,1919.991,1786751907436.021,28865358.422,0.000000000,-4.652425289,-9.753718376,3.008050680
97,1939.989,1786751907456.020,28865378.420,0.000000000,-8.006862640,-9.363463402,14.836767197
98,1959.988,1786751907476.019,28865398.419,0.000000000,-7.052204132,-2.335993767,7.929423809
99,1979.986,1786751907496.016,28865418.417,0.000000000,-7.472045898,8.140340805,-2.429958820
100,1999.986,1786751907516.017,28865438.417,0.000000000,4.048852921,8.307169914,-16.477682114
101,2019.986,1786751907536.016,28865458.416,0.000000000,8.864202499,5.072526455,-12.684536934
102,2039.983,1786751907556.013,28865478.414,0.000000000,12.040249825,0.479369074,-1.524559975
103,2059.984,1786751907576.015,28865498.415,0.000000000,5.067442417,-0.652911127,2.511447430
104,2079.990,1786751907596.021,28865518.421,0.000000000,-4.297313690,0.679511666,-5.992259979
105,2099.990,1786751907616.020,28865538.420,0.000000000,-10.936823845,-4.200656891,-5.133368969
106,2119.988,1786751907636.019,28865558.419,0.000000000,-10.959147453,-4.387322426,10.859411240
107,2139.992,1786751907656.023,28865578.423,0.000000000,-3.524049759,-0.876916289,9.444419861
108,2159.992,1786751907676.022,28865598.422,0.000000000,-5.218575954,1.390698195,6.502359867
109,2179.990,1786751907696.021,28865618.421,0.000000000,-7.126563549,3.251797676,0.605732024
110,2199.990,1786751907716.020,28865638.420,0.000000000,3.967369080,6.490105629,-15.597083092
111,2219.989,1786751907736.019,28865658.419,0.000000000,7.835678101,4.700046539,-3.164790869
112,2239.989,1786751907756.020,28865678.420,0.000000000,0.980192900,1.722249269,3.394547939
113,2259.989,1786751907776.020,28865698.420,0.000000000,-0.021266894,4.892804146,5.364345074
114,2279.989,1786751907796.020,28865718.420,0.000000000,-3.530410051,-6.473028660,-5.727712631
115,2299.989,1786751907816.020,28865738.420,0.000000000,-12.967505455,-10.894587517,-2.845236301
116,2319.990,1786751907836.020,28865758.420,0.000000000,-13.095423698,-4.687299728,17.202541351
117,2339.987,1786751907856.018,28865778.418,0.000000000,-7.747863770,0.819002450,11.005552292
118,2359.990,1786751907876.021,28865798.421,0.000000000,-1.655798316,8.407718658,-12.026069641
119,2379.990,1786751907896.021,28865818.421,0.000000000,-1.309828520,7.303401470,-26.873455048
120,2399.991,1786751907916.022,28865838.422,0.000000000,1.443681359,4.449861050,-16.592830658
121,2419.989,1786751907936.019,28865858.419,0.000000000,4.637636185,1.842724323,5.050147533
122,2439.992,1786751907956.022,28865878.423,0.000000000,2.090598345,1.271756291,9.121711731
123,2459.990,1786751907976.021,28865898.420,0.000000000,-0.482022583,-11.995572090,-4.606730461
124,2479.989,1786751907996.020,28865918.420,0.000000000,0.051734351,-4.787529945,-1.630813599
125,2499.989,1786751908016.020,28865938.420,0.000000000,-1.506193995,2.161448717,-1.649089575
126,2519.988,1786751908036.019,28865958.419,0.000000000,-2.553012609,5.141942024,-7.141759396
127,2539.988,1786751908056.018,28865978.418,0.000000000,-2.741524935,1.070451140,-11.072251320
128,2559.989,1786751908076.019,28865998.420,0.000000000,-10.780190468,18.708122253,-11.877307892
129,2579.990,1786751908096.020,28866018.420,0.000000000,0.528024614,-7.011022091,-1.643207431
130,2599.989,1786751908116.020,28866038.420,0.000000000,-34.061904907,-7.265697479,-16.127773285
131,2619.989,1786751908136.019,28866058.419,0.000000000,-10.146993637,-10.934366226,-10.644611359
132,2639.989,1786751908156.020,28866078.420,0.000000000,5.286359310,-11.147832870,-11.459532738
133,2659.990,1786751908176.021,28866098.420,0.000000000,14.192816734,0.258047283,-5.157301426
134,2679.989,1786751908196.020,28866118.420,0.000000000,21.786226273,9.764177322,8.007947922
135,2699.989,1786751908216.019,28866138.419,0.000000000,12.674329758,16.374317169,10.196321487
136,2719.990,1786751908236.020,28866158.420,0.000000000,2.574170113,21.412389755,4.215025902
137,2739.989,1786751908256.019,28866178.420,0.000000000,-11.373723030,12.770440102,-11.378412247
