index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,dq_16,dq_17,dq_18,dq_19,dq_20,dq_21,dq_22,dq_23,dq_24,dq_25,dq_26,dq_27,dq_28
0,0.000,1786751905516.031,28863438.431,0.000000000,0.005415090,0.001127104,0.001026881,-0.208730891,-0.255878419,0.000660020,0.005563641,-0.001094087,-0.000882376,-0.209201574,-0.255552560,-0.000147244,-0.000022047,-0.000192123,-0.247822315,-0.272125781,0.235813111,-0.330676436,0.049781315,0.375835299,0.092183158,-0.001996171,-0.270792663,-0.236321092,0.332544684,0.048076384,-0.376687944,0.092480741,0.002278777
1,19.990,1786751905536.020,28863458.420,0.000000000,-5.254212856,-0.680585623,-4.799223900,6.669642448,0.596513569,-1.671719074,-4.602082253,1.900838375,3.816998720,4.147473335,3.199107647,0.778788328,-0.776373386,0.652351141,-2.516710997,0.415868551,0.187387884,-0.169267669,-0.782009363,1.383204699,0.018093936,0.063154206,-0.497089624,0.171847284,-0.494726956,-0.743853211,-1.120228171,0.538822711,0.103504986
2,39.988,1786751905556.018,28863478.418,0.000000000,-4.664061069,-0.257351488,-6.747430325,9.198950768,0.798887968,-0.554468930,-4.559680462,1.464395523,5.747887135,6.859690189,2.677803278,0.131201074,-1.183058977,0.283001035,-0.400397629,0.114002325,0.512605011,0.030762566,-1.800490499,0.799206197,0.049727578,0.227570727,-2.112130404,0.921382725,-1.116514802,-1.633712769,-0.928171098,0.850278139,0.080080524
3,59.990,1786751905576.020,28863498.420,0.000000000,-3.440297604,1.687217236,-6.185203075,8.011825562,1.633778095,-0.037622556,-2.762691736,-0.731243372,4.892044544,4.004624367,2.389157772,-0.281219780,-1.535651088,0.096315108,0.489925444,0.068872325,0.486996680,0.341939628,-2.438911676,-0.381308287,0.275148690,0.391212761,-2.675534487,0.817514420,-0.317392021,-2.834999323,-0.171542346,1.032286644,-0.006082249
4,79.988,1786751905596.018,28863518.419,0.000000000,-2.400470018,3.944941521,-4.116185188,4.596944809,2.273851633,-0.008762692,-0.539006531,-2.547969580,1.470931411,-0.718765736,0.330249846,-0.155040458,-1.468111873,0.357763946,0.827552259,0.065325670,0.138144866,0.484999269,-3.227781057,-1.552055359,0.769059479,0.500876665,-2.417086124,0.029627457,0.776889682,-4.503658772,0.817215621,1.142461658,-0.167478055
5,99.986,1786751905616.017,28863538.417,0.000000000,-2.015426159,4.642989635,-2.014581442,2.639796019,2.465669394,0.668227434,1.629187346,-1.802604556,-1.139854431,-3.355471134,-7.119719028,5.035256386,0.525335550,0.643866718,0.385456771,-0.925617039,-0.307008624,0.017120861,-2.959824324,-1.714647770,1.100924373,0.223899901,-1.722206950,-1.217010498,0.969594538,-4.896426678,1.267960668,0.584683836,-0.579342842
6,119.985,1786751905636.016,28863558.416,0.000000000,-0.976023257,3.675657034,-0.575820327,1.727785826,2.508129120,0.075370356,-0.168532848,0.594726026,1.534000635,1.622162700,-2.960759401,0.139961615,2.908089399,0.300280392,0.846617043,-2.543985605,-0.729182124,-0.575688839,-2.136289358,-0.968326926,0.936493039,0.059514314,-2.091094017,-3.009020329,0.971321702,-4.172255516,1.303977251,0.200113863,-0.882631004
7,139.988,1786751905656.018,28863578.418,0.000000000,-0.869712234,1.787922621,-1.410867572,2.651387215,0.720266402,-0.813128889,2.202427864,0.092510395,0.225906774,0.499940366,-0.133119449,0.306095213,2.522176981,1.960413814,1.568476319,-3.555195093,-1.896095157,-1.438770294,-0.579227746,0.138847023,0.771059334,-0.105246186,-1.828194261,-5.184523582,0.543416440,-2.937926054,0.995364606,0.003051401,-1.150836587
8,159.988,1786751905676.019,28863598.419,0.000000000,-0.352756470,0.551647782,-0.377482384,2.870240450,-0.349156588,-1.179848433,3.226667166,-0.751867592,1.168036461,-0.630309999,0.002352631,0.006393979,2.539828300,1.145112753,1.153723598,-3.086424351,-1.643299937,-1.620279074,-0.096610725,0.538407683,0.326467931,-0.322193921,-1.556144476,-5.242182732,0.666172087,-1.408148527,0.890404046,-0.423930466,-1.317409515
9,179.985,1786751905696.016,28863618.416,0.000000000,-0.315201044,0.230570331,0.432142228,1.987735391,-0.205649629,-0.741766930,3.502970219,0.033247307,4.380620480,0.097666517,0.859247863,-0.411457300,1.743331790,-0.262543380,0.899436295,-2.179769754,-0.362237364,-1.119903564,-0.064448789,0.142190203,-0.237401441,-0.357287169,-1.858198404,-3.837077618,1.417125940,0.112055413,0.617522299,-0.627771080,-1.449563980
10,199.987,1786751905716.018,28863638.418,0.000000000,-1.091492057,-0.094074108,0.603064775,0.106992096,-0.089296624,-0.055661675,3.238792658,0.446899235,6.529912949,2.281545162,1.533255935,-0.099456258,0.295916885,-2.235854149,1.135574698,-2.001462221,1.206147552,-0.189518094,-0.366432965,-0.300055534,-0.474923819,-0.093921475,-2.145267248,-1.789626718,2.004893303,0.550044358,0.392725468,-0.756566167,-1.608389139
11,219.989,1786751905736.020,28863658.420,0.000000000,-0.786142468,1.839470148,0.368162364,-2.221134424,-0.482506484,0.084828965,0.292682648,-0.055173978,0.804345787,7.240324497,7.127363682,2.540198088,0.744420350,-2.162861347,2.277060032,-2.712570190,1.752651095,0.368430495,-0.161066949,-0.653973281,-0.505773306,0.368034184,-2.122232676,-1.043548703,2.053094387,0.040178258,0.517464221,-0.655125737,-1.826402545
12,239.987,1786751905756.018,28863678.418,0.000000000,0.106319502,3.164048910,-0.809623837,-3.607969284,1.190873146,-0.656306326,-2.358920574,0.483078241,-3.381460667,9.405226707,13.917305946,1.505203485,1.059712291,-0.574824274,3.142431974,-2.798311472,1.643776417,0.301740676,-0.134109020,-0.592469513,-0.432161033,1.204254031,-2.203863859,-1.211668134,2.260263443,-0.654812634,0.748873055,-0.360729575,-1.830617070
13,259.988,1786751905776.018,28863698.418,0.000000000,-0.670402408,0.518447697,-2.296808243,-0.964881241,2.800638676,-0.379230469,-4.069604397,-1.250818372,-4.384147644,7.757764339,-5.863367558,-2.604844570,-0.062919512,-0.271291852,1.099218726,-1.370705843,1.472227693,0.030446270,-0.368994594,-0.271938831,-0.603582442,1.689971447,-1.616567254,-1.319049478,2.509081364,-1.618421078,0.693804026,-0.274699092,-1.364441752
14,279.986,1786751905796.017,28863718.417,0.000000000,-0.209067598,-1.128053904,-2.214702845,1.889898419,2.877381802,0.151181668,-5.214004993,-1.722810984,-4.291035175,4.170845032,-13.658290863,-0.654554546,-0.569908321,0.443637311,0.021733988,-0.067205667,0.839885771,0.360792696,-0.985291362,-0.052719545,-0.287344426,1.467463136,-1.152956843,-1.310046315,1.893816113,-2.473228931,0.867919266,-0.597709119,-0.657493412
15,299.989,1786751905816.019,28863738.420,0.000000000,0.770153105,-1.301969647,-1.091510177,2.361414671,0.645328403,1.137667298,-6.684304714,-1.087287426,-5.321970940,0.370240122,-7.683652401,-0.066959672,-0.741854966,1.311549425,-0.633336604,1.154310703,0.404771656,0.944323123,-2.204040051,-0.008032857,0.083995976,0.898302078,-0.861786604,-0.739484787,0.818078637,-2.665928602,0.813367784,-0.865651965,-0.010278475
16,319.988,1786751905836.019,28863758.419,0.000000000,2.354048967,-2.267208338,-0.203550249,1.015149236,-2.447544813,0.660970867,-6.806336403,-0.806606889,-5.861910343,-1.235168338,-0.569226801,-1.681694031,-1.732559919,1.133588195,-0.474164724,2.047727346,0.676280200,1.392758012,-3.161520004,0.279042333,-0.061414462,0.506910086,-0.978289545,0.192114413,0.462726772,-2.247282505,0.123318911,-0.688606143,0.130001530
17,339.985,1786751905856.016,28863778.416,0.000000000,1.839580774,-3.895005465,0.212199658,3.557815313,-4.972629070,-0.165307596,-4.064320564,-0.556657434,-1.769219756,-5.684264660,2.801157713,-2.412165403,-2.531249762,0.489240259,-0.358596087,1.724186063,0.870380282,0.869572878,-2.224291563,0.452256173,-0.722639918,0.302022010,-0.148829073,0.324432433,0.054244723,-1.931996226,-0.870943010,-0.158928752,-0.096589752
18,359.985,1786751905876.015,28863798.415,0.000000000,0.923511028,-3.097243071,0.050538562,3.510447979,-3.367976665,0.345279753,0.148400873,-1.697241902,2.473157167,2.349335909,2.547053814,2.933435440,-2.108461380,0.783683181,0.217179269,-0.125852674,0.639076650,-0.796141744,-0.015832216,0.117443904,-0.798933983,0.129785612,1.788616896,-0.538025200,-0.839114547,-1.362261653,-2.100922346,0.180375665,-0.586699605
19,379.989,1786751905896.019,28863818.419,0.000000000,0.143618509,-0.272920072,0.939360023,1.909267068,-2.118846178,-0.864408433,1.203306079,-0.390809655,3.429931164,1.781831622,-5.323954105,3.921203613,0.718029261,1.443925142,-0.502094924,-0.927600384,0.132251695,-1.962671518,1.757962465,0.350006789,-0.498750091,0.021312173,2.731290817,-0.862595081,-0.889506996,0.232169107,-2.208980560,0.574022174,-0.670873404
20,399.987,1786751905916.018,28863838.418,0.000000000,0.013745097,0.376837730,1.945503235,2.408422947,-1.316152573,-2.184186935,1.329700470,-0.631684721,3.475512743,1.414206624,-2.974105597,-1.042404294,1.550847292,0.750374973,0.098729774,-1.035403490,0.237578273,-1.961454988,2.216899395,0.268221349,-0.199982330,-0.184817761,2.355548859,-0.770687938,-0.301086217,1.014800191,-1.443702936,1.283305645,-0.533083379
21,419.990,1786751905936.021,28863858.421,0.000000000,-1.784409165,0.772120178,0.847384155,3.450266838,-0.045161407,-2.869453907,2.454627037,-0.593645334,3.226705313,-1.082113266,-0.977717638,-1.346848965,1.148991466,0.820397377,0.219816819,-0.940436661,0.280250698,-1.737316847,2.782583475,0.085504092,0.066110350,-0.505675852,1.831235051,-0.709550202,0.376400799,1.550826550,-0.562078416,1.798515558,-0.117121287
22,439.987,1786751905956.018,28863878.418,0.000000000,-3.316763163,2.321629524,-0.888729393,2.427883625,1.147856355,-1.779368639,4.303519249,1.370444417,4.710060120,-4.682239532,-1.585640192,-1.760771155,1.360457778,1.040886998,0.204205602,-0.934786737,0.449194789,-1.260003328,2.987942934,-0.068436466,0.387253463,-0.783687592,1.205570459,-0.279451191,0.782498956,1.700532079,-0.065596379,2.127480745,0.230143547
23,459.988,1786751905976.019,28863898.419,0.000000000,-3.796375513,3.401415586,-0.511471152,-0.057390105,0.395764679,-0.184088662,2.538635015,1.156534791,7.219120979,-4.233894348,0.661580861,1.726331711,2.773105383,-2.033441305,-0.165586621,-0.834241629,1.715579510,-0.287433416,2.281426668,-0.729884446,0.265983135,-0.764134228,0.300504237,0.932210684,1.261051774,1.617157459,0.262271017,2.161883831,0.831112146
24,479.986,1786751905996.017,28863918.417,0.000000000,-2.909299374,4.400437355,-1.777762771,-4.030941010,1.548339128,2.256299496,2.270484209,0.180534750,5.128852367,-3.049139261,3.955249071,2.404343843,2.098590851,-2.394258738,1.699156404,-1.085991144,1.937336564,1.155997634,1.708797097,-0.943090558,0.036416471,-0.337977648,-1.149440765,0.866766334,1.356746197,1.154769182,0.091610976,1.531935692,1.382590294
25,499.986,1786751906016.017,28863938.417,0.000000000,-1.479727387,3.407532215,-1.401962280,-7.817710400,4.286505222,2.033373356,1.021278739,-1.897885680,0.050885171,-1.566759825,6.922211170,1.420486450,0.934124351,-1.620351195,2.725520372,-1.102229476,1.455914021,1.820168614,1.059499741,-0.887538970,0.299171895,0.031873588,-1.435624242,-0.019870745,0.798009336,0.266977221,0.000762682,0.475414395,1.198858142
26,519.985,1786751906036.016,28863958.416,0.000000000,-0.604048252,0.648789763,0.363102853,-6.948498249,6.188680172,1.799512267,-1.036975145,-4.631341457,-4.794269085,0.118122958,6.157015324,-0.268494964,0.017883914,-0.972996414,1.729876757,-0.618498147,0.920038223,1.012941718,0.002808377,-0.599092126,0.613828242,0.489550620,-0.293995291,-1.271346569,0.118786730,-0.877713203,-0.257555783,-0.192864880,0.421607643
27,539.985,1786751906056.016,28863978.416,0.000000000,-0.698639631,-0.570197165,1.760980964,-2.622102737,6.394888878,1.605913281,-1.638825178,-3.877635479,-6.868108273,2.500564337,0.211191654,0.211510837,-0.132158920,0.286039293,-0.142449722,0.605813444,0.199090526,0.246306941,-1.171906590,-0.060068924,0.329652131,0.797641158,0.773226082,-2.359986305,0.025553606,-1.115699053,-0.318938494,-0.843371749,-0.289822400
28,559.984,1786751906076.015,28863998.415,0.000000000,-0.171847925,-1.490914106,0.226953894,3.963698149,-5.776417732,-0.890856743,-1.060626626,-2.241896868,-5.225725651,2.786403179,-1.547583699,-0.147003889,-0.057039216,0.248551354,-1.113714337,1.559463143,0.146068141,0.336728066,-1.752975106,0.247985810,-0.138944417,0.638932347,0.684578717,-1.740506053,0.124356829,-0.049787004,0.293366134,-1.114103913,-0.772316158
29,579.985,1786751906096.016,28864018.416,0.000000000,1.657926321,-1.970928431,1.356495142,3.473771572,-6.127477646,-2.509742498,0.412673950,-1.565687656,-4.074502945,2.028322935,-1.436488867,-0.183304027,-0.423802078,-1.836125970,1.049234390,1.014967322,1.495414495,0.820089757,-1.880885124,1.207252502,-0.065035008,0.673221707,-0.501998484,0.751783431,0.158560798,1.028814912,0.772760153,-1.120338321,-1.163379192
30,599.986,1786751906116.016,28864038.416,0.000000000,0.653716505,-2.825997829,1.948162794,2.102081060,-2.446028471,-3.102285862,-0.554484844,-0.732684791,-4.421073914,0.733929515,-1.744192600,-0.320018589,-0.813638449,-2.824027061,0.625334084,0.858257294,1.914518595,1.255668759,-1.506550550,1.186589122,0.263577014,0.672827542,-0.740493655,2.019677639,0.093309969,1.218777299,0.256716996,-1.185477853,-0.776778042
31,619.986,1786751906136.016,28864058.416,0.000000000,0.043295994,-3.530090809,1.959252119,1.948973298,0.892915964,-5.559151173,-1.776237845,-0.241416827,-1.376948237,-0.225067317,-1.158150554,-0.154481903,-0.434037358,-2.627594471,0.549662888,0.425037771,1.526384950,1.112579584,-1.011310339,0.792297542,0.523373723,0.617971301,-0.519445121,1.821497798,-0.387085587,0.865394950,0.010050728,-1.414551854,-0.329047412
32,639.984,1786751906156.015,28864078.415,0.000000000,-1.169065833,-5.099143982,2.548182011,2.938695669,4.653461933,-0.550546467,-2.125022650,-0.554114401,2.330248833,-0.644359171,2.455296755,0.270261288,-0.164179191,-2.376593590,0.779224515,-0.108808093,0.889935613,0.571472764,-0.724736691,0.349108756,0.853928328,0.323223650,-0.000861169,1.231722116,-1.073490024,0.445810854,-0.030759754,-1.561735630,0.033444148
33,659.985,1786751906176.016,28864098.416,0.000000000,-1.999263525,-4.220275402,3.393866062,3.708755016,9.564020157,0.252490491,-1.267240644,-1.239832640,2.672250032,-2.228282928,4.794376850,-0.531778812,0.932123542,-1.444105029,0.987018168,0.181341767,0.122247949,0.181064621,-1.045668602,0.060875576,0.907600641,0.312411010,0.084504507,0.417117149,-1.110780478,0.414944202,0.338836044,-1.345967770,0.414492667
34,679.986,1786751906196.017,28864118.417,0.000000000,-3.164670944,-0.523993194,-2.294917583,4.057744980,0.574896157,4.277030945,2.185018301,1.062278748,0.096459165,-4.021631241,5.380483150,0.394594043,0.052313220,3.396917820,-0.963057697,1.673095703,-1.205959797,-0.197291180,-1.401079416,0.234511122,0.691030145,0.611881137,0.105928816,-0.653864861,-0.548462629,0.647632897,0.739213765,-0.744451046,0.819304109
35,699.984,1786751906216.015,28864138.415,0.000000000,-0.723553419,0.710032046,-6.978447437,1.581668973,-4.184205532,2.038972855,2.964385509,-0.763460457,-1.863566637,-6.894677639,17.399763107,-6.573732376,-0.108063675,2.978035212,-1.934947491,2.620064735,-0.355585396,-0.618711054,-2.176494598,0.144227237,0.734904408,0.521095872,-0.206472769,-0.027792983,0.413520545,1.447535515,1.182544827,-0.371976852,0.704968512
36,719.986,1786751906236.016,28864158.416,0.000000000,3.318407297,2.699272394,-6.488495350,-5.592983723,-1.582663774,2.524839878,3.156659365,-0.954366267,-1.298197389,-4.073429108,6.461058617,-0.484260827,0.117395401,1.329977155,-0.193270549,1.781440496,0.513785899,-0.092346258,-1.956430912,-0.108650014,0.325936317,0.083946206,-1.011525631,0.909066737,0.931481063,1.558618546,0.969498515,0.178599477,0.405069143
37,739.985,1786751906256.016,28864178.416,0.000000000,3.443609953,2.736330509,-2.118472099,-8.718740463,3.929381609,3.269091845,2.749655247,-0.345451087,-0.256172061,-0.766377747,1.235901833,0.513440132,-0.695638061,1.048368573,-0.121460244,0.773502886,0.208897486,-0.148655236,-0.606322050,-0.464506119,-0.303743273,-0.012567985,-0.430520773,0.077228852,1.142464876,0.128994986,-0.203185558,0.424457908,0.183753774
38,759.985,1786751906276.016,28864198.416,0.000000000,2.701933622,2.022005081,2.497299433,-2.834113121,0.221761242,-0.497301459,1.182663441,0.361991942,0.843879879,3.233752251,-2.778892279,1.610326529,0.150290892,0.709257126,-0.695440233,-0.014867179,-0.372368038,-0.826393127,1.205955625,-1.241539717,-0.833669782,0.089140110,0.435748935,-1.692408800,1.428512096,-1.009274483,-1.537677407,0.031162929,-0.130550042
39,779.985,1786751906296.016,28864218.416,0.000000000,2.212019205,1.198541880,4.586193562,1.419643641,-4.797722816,-2.991336823,0.806329250,0.501652241,1.227051497,2.763949871,-3.463367701,0.981030881,1.646818399,-1.539013863,-0.206272945,-1.213531852,0.046586193,-0.851336300,2.482517481,-1.044986963,-0.528589606,0.012643431,0.901300848,-0.779109299,0.800423741,-0.427321136,-1.150227427,-0.387424052,-0.780505776
40,799.985,1786751906316.016,28864238.416,0.000000000,0.960818827,0.970896721,5.768354416,-0.400119543,-1.055261612,-3.305899620,1.147611618,1.461359620,0.250756383,1.904807210,-3.533182383,0.642919302,2.393743277,-3.209858894,0.192128032,-2.394868851,0.701785624,-0.951819897,2.916413069,-0.573447824,0.194180951,-0.293825150,1.566663504,0.499368340,-0.082054168,-0.004881305,-0.614833593,-0.440500110,-1.044181824
41,819.985,1786751906336.016,28864258.416,0.000000000,-0.526704252,-1.524528503,5.191664219,-0.781101048,1.085817933,-3.567859888,-0.999691367,-1.347115636,1.549911499,-0.407366395,-9.913570404,-1.398121834,2.014171362,-4.097334385,-0.512807310,-2.294635057,0.407182485,-1.052375674,2.546428442,-1.127673388,0.375703722,-0.219236016,1.759540677,0.612210572,-0.745579898,0.150878355,-0.070924409,-0.406804770,-0.400763839
42,839.985,1786751906356.015,28864278.415,0.000000000,-3.575101137,-0.822525918,-0.934110761,3.234933853,-4.129804134,2.133922815,-1.166007280,0.335297942,-2.389975309,-1.018780828,-1.028809190,-0.754852951,0.366472989,-0.333968997,-1.905641913,-1.218010068,-0.028163569,-1.346096516,0.919746697,-1.819182873,0.776162386,0.128124058,1.350963354,-0.461855680,-1.179545283,0.013461526,0.069460981,-0.367150068,0.386271805
