index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,left_hand_dq_0,left_hand_dq_1,left_hand_dq_2,left_hand_dq_3,left_hand_dq_4,left_hand_dq_5,left_hand_dq_6
0,0.000,1786751905516.031,28863438.431,0.000000000,0.003923535,0.001741102,0.000758176,-0.000387114,-0.000079303,-0.000638629,-0.000118507
1,19.990,1786751905536.020,28863458.420,0.000000000,0.004170569,-0.001235684,0.255379796,-0.267329037,-0.258683860,-0.241439372,-0.254856586
2,39.988,1786751905556.018,28863478.418,0.000000000,0.004000264,-0.001984967,0.660424232,-0.655988514,-0.662227213,-0.635248542,-0.659174442
3,59.990,1786751905576.020,28863498.420,0.000000000,0.003783076,-0.001401890,0.955925405,-0.935977519,-0.955516100,-0.942932010,-0.956595719
4,79.988,1786751905596.018,28863518.419,0.000000000,0.003671683,0.000008476,1.174517751,-1.143064976,-1.169416189,-1.177556992,-1.174609780
5,99.986,1786751905616.017,28863538.417,0.000000000,0.003577845,0.002350011,1.338692069,-1.306239486,-1.326550961,-1.355728626,-1.333959341
6,119.985,1786751905636.016,28863558.416,0.000000000,0.003593491,0.004794568,1.462552071,-1.449134588,-1.444059372,-1.486110687,-1.449553132
7,139.988,1786751905656.018,28863578.418,0.000000000,0.003549826,0.007367736,1.561234713,-1.572607040,-1.531438231,-1.591044903,-1.534192562
8,159.988,1786751905676.019,28863598.419,0.000000000,0.003689476,0.005464260,1.612994909,-1.666366100,-1.584285855,-1.667026520,-1.584376693
9,179.985,1786751905696.016,28863618.416,0.000000000,0.003818460,0.001359087,1.655087471,-1.787233233,-1.642138124,-1.777541399,-1.640669942
10,199.987,1786751905716.018,28863638.418,0.000000000,0.003911719,-0.001856176,1.675045729,-1.894585729,-1.688245416,-1.886502028,-1.686928749
11,219.989,1786751905736.020,28863658.420,0.000000000,0.003918573,-0.001201610,1.690320730,-1.945178151,-1.717465281,-1.947281003,-1.717685103
12,239.987,1786751905756.018,28863678.418,0.000000000,0.003909838,0.000341812,1.707112908,-1.928116322,-1.729955435,-1.925369024,-1.729780078
13,259.988,1786751905776.018,28863698.418,0.000000000,0.003914653,0.000457736,1.721175432,-1.870768547,-1.732407570,-1.854270577,-1.730515003
14,279.986,1786751905796.017,28863718.417,0.000000000,0.003832387,0.001381255,1.735022783,-1.793552160,-1.728350401,-1.776507020,-1.726723194
15,299.989,1786751905816.019,28863738.420,0.000000000,0.003801138,0.001417248,1.745850563,-1.728773475,-1.724251151,-1.711908579,-1.722638726
16,319.988,1786751905836.019,28863758.419,0.000000000,0.003834184,-0.000135448,1.750418186,-1.694549918,-1.724411368,-1.665043473,-1.720769405
17,339.985,1786751905856.016,28863778.416,0.000000000,0.003887862,-0.001071446,1.749948740,-1.692304254,-1.728281975,-1.660843253,-1.724010825
18,359.985,1786751905876.015,28863798.415,0.000000000,0.003829181,0.001511846,1.751281857,-1.698748589,-1.729395747,-1.693349838,-1.728699446
19,379.989,1786751905896.019,28863818.419,0.000000000,0.003749636,0.003271881,1.755297899,-1.718529224,-1.728005528,-1.731273890,-1.731007814
20,399.987,1786751905916.018,28863838.418,0.000000000,0.003751338,0.002129939,1.754308224,-1.750281692,-1.729842782,-1.772420526,-1.734650016
21,419.990,1786751905936.021,28863858.421,0.000000000,0.003733399,0.001351692,1.750655174,-1.791519046,-1.732824087,-1.823260784,-1.739295483
22,439.987,1786751905956.018,28863878.418,0.000000000,0.003782145,0.000113059,1.745045185,-1.830317855,-1.736335874,-1.867847323,-1.743355274
23,459.988,1786751905976.019,28863898.419,0.000000000,0.003959573,-0.002995389,1.734048724,-1.887549520,-1.746302485,-1.926157236,-1.751326680
24,479.986,1786751905996.017,28863918.417,0.000000000,0.003921089,-0.002273662,1.728328228,-1.906105638,-1.751784563,-1.944545746,-1.755316854
25,499.986,1786751906016.017,28863938.417,0.000000000,0.003909543,0.000367811,1.732794404,-1.861971140,-1.748109579,-1.894049406,-1.750465393
26,519.985,1786751906036.016,28863958.416,0.000000000,0.003978861,0.002078901,1.742990851,-1.792284489,-1.740787148,-1.800362468,-1.740353107
27,539.985,1786751906056.016,28863978.416,0.000000000,0.004039817,0.002582721,1.752677917,-1.731847405,-1.734306931,-1.713211298,-1.730582356
28,559.984,1786751906076.015,28863998.415,0.000000000,0.003963245,0.001372711,1.756461024,-1.703353167,-1.731639504,-1.674848795,-1.726745605
29,579.985,1786751906096.016,28864018.416,0.000000000,0.003734789,0.001895552,1.759655595,-1.678418398,-1.728132129,-1.644406796,-1.725271225
30,599.986,1786751906116.016,28864038.416,0.000000000,0.003741882,0.002317530,1.762750983,-1.641089916,-1.723695993,-1.624271870,-1.723852992
31,619.986,1786751906136.016,28864058.416,0.000000000,0.003790114,0.003217290,1.765990019,-1.604651690,-1.719464540,-1.602492332,-1.721268177
32,639.984,1786751906156.015,28864078.415,0.000000000,0.003946872,0.003983144,1.769787908,-1.560382009,-1.713910699,-1.567443848,-1.715968251
33,659.985,1786751906176.016,28864098.416,0.000000000,0.004072639,0.003288344,1.770469785,-1.541411161,-1.711341739,-1.544939160,-1.711744428
34,679.986,1786751906196.017,28864118.417,0.000000000,0.004067362,0.002177032,1.769421816,-1.544346452,-1.712422490,-1.538675666,-1.711510897
35,699.984,1786751906216.015,28864138.415,0.000000000,0.004110381,-0.000863757,1.764688969,-1.597291827,-1.721804261,-1.573314786,-1.718641758
36,719.986,1786751906236.016,28864158.416,0.000000000,0.004035186,-0.001783050,1.758932471,-1.656003237,-1.732486844,-1.627092123,-1.727099299
37,739.985,1786751906256.016,28864178.416,0.000000000,0.003791950,-0.001629578,1.754945040,-1.690357804,-1.738987684,-1.670805693,-1.733266115
38,759.985,1786751906276.016,28864198.416,0.000000000,0.003534854,-0.000070655,1.753619432,-1.687724948,-1.739941955,-1.687754035,-1.735251546
39,779.985,1786751906296.016,28864218.416,0.000000000,0.003415811,0.000999659,1.751960635,-1.665006638,-1.735319018,-1.684298277,-1.733593345
40,799.985,1786751906316.016,28864238.416,0.000000000,0.003500653,0.002926365,1.752460718,-1.615366459,-1.728037357,-1.647322655,-1.728930116
41,819.985,1786751906336.016,28864258.416,0.000000000,0.003692715,0.003259894,1.753540277,-1.573884487,-1.724687696,-1.609194756,-1.724606514
42,839.985,1786751906356.015,28864278.415,0.000000000,0.003850543,0.001655082,1.753668785,-1.572379231,-1.725248098,-1.597466111,-1.724748611
43,859.987,1786751906376.017,28864298.417,0.000000000,0.003826877,0.000074676,1.751056433,-1.608202457,-1.725745082,-1.602016568,-1.728769898
44,879.984,1786751906396.015,28864318.415,0.000000000,0.003761563,-0.001545705,1.746155143,-1.595134020,-1.726755142,-1.567814469,-1.731741786
45,899.985,1786751906416.016,28864338.416,0.000000000,0.003610551,-0.002768730,1.740873933,-1.519199014,-1.730022788,-1.491857052,-1.733821630
46,919.988,1786751906436.019,28864358.419,0.000000000,0.003439483,-0.001490365,1.741013169,-1.366029978,-1.735221148,-1.348578691,-1.737466693
47,939.985,1786751906456.016,28864378.416,0.000000000,0.003406299,0.002906841,1.746904373,-1.108686090,-1.740228534,-1.115670562,-1.740038037
