index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
0,0.000,1786751905516.031,28863438.431,0.000000000,-1.647084713,0.067413859,0.083352968,-15.940402031,6.813481331,0.003776830,-1.654173374,-0.073990479,-0.080131352,-15.922123909,6.810236931,-0.006641006,0.000023866,0.002171430,0.934177995,-0.851744294,1.077339888,0.182400361,-1.506004572,0.116747238,-0.550525784,0.034938361,-0.857873738,-1.077748060,-0.183372721,-1.509641886,-0.116253898,-0.554098547,-0.031707939
1,19.990,1786751905536.020,28863458.420,0.000000000,14.027490616,50.012413025,-36.035049438,12.056544304,6.435678005,1.539086103,3.974114656,-47.002307892,36.264286041,4.413059711,8.563057899,-2.011428118,-2.582020760,-1.039077163,9.133219719,-2.339083195,1.114114642,0.118553646,-1.059510350,1.121475697,-0.265807241,0.136190772,-8.438334465,3.016966105,-0.907524765,-3.983625650,-0.710300922,-1.102009177,-0.185998157
2,39.988,1786751905556.018,28863478.418,0.000000000,5.057368279,61.267017365,-35.892395020,10.449143410,0.156116068,0.813247383,0.440410554,-67.160011292,37.702438354,4.166096210,2.296899796,-0.938294172,0.355689883,-3.609842777,0.911361635,-3.131090879,0.298640937,-0.007620838,-1.924508572,-0.435058028,-0.433934569,0.103607923,-11.103468895,2.218513489,0.037348315,-6.288736820,0.173873544,-2.133534908,0.182161704
3,59.990,1786751905576.020,28863498.420,0.000000000,-4.977007389,39.005432129,-16.814905167,2.296023607,0.190362275,0.552404284,12.482953072,-48.223693848,23.237262726,-3.904094458,2.808754921,-1.417951465,2.302542210,-4.529508591,-10.544052124,-3.512601376,-0.371330529,0.403990418,-3.203988314,-0.952597380,-0.821540773,0.238586873,-10.997670174,-1.108066082,0.903250098,-8.245085716,0.429238617,-2.880571365,0.188798025
4,79.988,1786751905596.018,28863518.419,0.000000000,-3.442900658,3.930458307,5.093991280,-2.838632822,-0.620878518,-0.278254122,16.952636719,-18.077972412,4.020372391,-7.587846756,14.457685471,-7.153198719,3.079199553,-1.735183835,-15.386514664,-4.141143322,-0.258732080,0.170698538,-4.485533714,-0.624934852,-1.520601034,0.104004003,-10.995122910,-2.784101725,0.340463340,-8.736124039,0.563326716,-3.443254709,-0.005075726
5,99.986,1786751905616.017,28863538.417,0.000000000,-6.914952755,-26.703731537,22.117824554,0.237354398,-0.652981043,-0.370776236,23.447937012,-3.414249420,-2.340093136,-33.160125732,40.033695221,-15.050081253,11.177400589,-8.403689384,-19.591318130,-4.194444180,1.267542362,0.717503965,-5.503386021,-0.301097810,-2.108356953,0.217634663,-11.854979515,-2.781292200,0.484600127,-7.563917637,0.332548738,-2.923752308,0.099657461
6,119.985,1786751905636.016,28863558.416,0.000000000,-22.289527893,-22.091497421,8.967709541,-0.795283198,-0.753642201,-0.202014342,56.297145844,-18.233697891,23.235786438,-51.928169250,50.000000000,-16.222623825,8.164702415,-13.541780472,-19.349500656,-4.500670910,4.258300304,1.704022765,-5.842249393,0.075656869,-2.414636612,0.437313974,-11.498598099,-3.378293037,0.405600041,-6.717969418,0.192046717,-2.365051031,0.237266675
7,139.988,1786751905656.018,28863578.418,0.000000000,-35.194705963,-8.566799164,4.602885246,1.726590991,-0.601409793,-0.323089540,65.294219971,-34.303668976,52.135414124,-87.759605408,50.000000000,-22.409126282,9.532557487,-22.939245224,-26.255025864,-2.327479124,8.152091980,3.395951509,-6.882734299,0.606899917,-2.542352915,0.530985951,-7.879532814,0.586940229,1.754677415,-5.890470505,0.153113902,-1.939292550,0.446517825
8,159.988,1786751905676.019,28863598.419,0.000000000,-32.499641418,3.744012356,-7.204985619,4.906816006,-0.949092686,-0.131311104,54.740901947,-40.358901978,60.367256165,-71.522048950,50.000000000,-21.328504562,4.743306637,-28.787647247,-20.044321060,-2.035490036,11.554991722,5.119441509,-4.557633400,0.644991636,-2.125504732,0.830763400,-4.365464687,4.618534088,3.693987846,-4.682216644,0.379035830,-1.783308864,0.588257492
9,179.985,1786751905696.016,28863618.416,0.000000000,-31.804588318,10.015973091,-14.062001228,-3.001241922,-0.793968439,0.108612359,44.155986786,-34.369762421,45.434810638,-26.088857651,50.000000000,-18.037103653,-0.400325984,-26.213262558,-8.381801605,-2.444099665,12.165414810,6.102045536,-2.359698296,0.006376744,-1.284146905,1.292248845,-1.512736917,6.740802765,4.727963448,-3.803596973,0.275385916,-1.481925130,0.646348119
