index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28
0,0.000,1786751905516.031,28863438.431,0.000000000,-0.295778692,-0.000746731,-0.002134396,0.842408001,-0.587629378,-0.000170744,-0.295715958,0.000811064,0.002046082,0.842251122,-0.587534606,0.000241605,0.000000707,-0.000064899,-0.017904842,0.276401520,0.109418198,0.008709510,0.702142715,-0.032454859,0.026806243,-0.001961982,0.276742637,-0.109353758,-0.008757236,0.702505469,0.032474842,0.026999127,0.001752833
1,19.990,1786751905536.020,28863458.420,0.000000000,-0.357923716,-0.006695644,-0.043196458,0.904770195,-0.595966518,-0.019467272,-0.351297885,0.017217532,0.031695388,0.881430507,-0.574395359,0.011681179,-0.006879276,0.006131622,-0.059237182,0.281161100,0.113297366,0.003287863,0.696129262,-0.017145611,0.027906731,-0.001676053,0.274564385,-0.111081593,-0.008662139,0.696369588,0.019289577,0.032597370,0.003138461
2,39.988,1786751905556.018,28863478.418,0.000000000,-0.453846335,-0.012993491,-0.164905444,1.063351870,-0.573484242,-0.039586909,-0.441792876,0.057914626,0.132977873,0.996780038,-0.551762760,0.021428190,-0.027703632,0.017021453,-0.082401834,0.285003811,0.120994531,0.002718910,0.670201600,0.008236298,0.028102314,0.001142352,0.243865341,-0.097687908,-0.027630575,0.673053503,-0.003114035,0.046334915,0.004351680
3,59.990,1786751905576.020,28863498.420,0.000000000,-0.528692365,0.006341704,-0.296301156,1.232913375,-0.549507737,-0.044705149,-0.512186527,0.063831329,0.241087958,1.108206391,-0.533801079,0.037431829,-0.054552965,0.019921323,-0.075767890,0.285627782,0.132306337,0.006434479,0.627302885,0.011290683,0.030655080,0.007444773,0.191383556,-0.077579446,-0.044002905,0.628594697,-0.013402062,0.064184062,0.004797332
4,79.988,1786751905596.018,28863518.419,0.000000000,-0.581405580,0.073475212,-0.395905703,1.350572228,-0.506115019,-0.044871885,-0.536070704,0.030091334,0.294006765,1.131830573,-0.579794109,0.069751151,-0.085219093,0.027116960,-0.057917431,0.285921067,0.137642026,0.015842836,0.569310486,-0.011902262,0.042641319,0.017012263,0.139561340,-0.070534475,-0.036254320,0.551375568,-0.004148575,0.086963385,0.002370636
5,99.986,1786751905616.017,28863538.417,0.000000000,-0.621396065,0.167889968,-0.453761399,1.416391373,-0.457319915,-0.034195043,-0.516105175,-0.006511636,0.289299816,1.088735580,-0.706076264,0.171458617,-0.091818579,0.040163197,-0.041593783,0.274898797,0.135516152,0.020084178,0.507248700,-0.045685299,0.062081944,0.024048680,0.098582774,-0.084276155,-0.017462276,0.454412639,0.018491330,0.102564275,-0.006105906
6,119.985,1786751905636.016,28863558.416,0.000000000,-0.651409626,0.250899523,-0.468451858,1.455530047,-0.406808704,-0.028719518,-0.497497499,-0.011524688,0.308971226,1.057696104,-0.834294856,0.173659846,-0.046824146,0.043769348,-0.036752999,0.239747152,0.126309454,0.013229372,0.455504119,-0.071213484,0.082526445,0.026125491,0.062930435,-0.128051743,0.002657507,0.364426076,0.044599358,0.108944245,-0.021776602
7,139.988,1786751905656.018,28863578.418,0.000000000,-0.666086376,0.298803508,-0.496486783,1.502269030,-0.381686538,-0.041102715,-0.469524443,-0.004811209,0.318360001,1.083369136,-0.847774088,0.185281560,0.003616873,0.074019037,-0.002376703,0.171701074,0.095475085,-0.008763519,0.433855116,-0.076476984,0.098715171,0.025499670,0.020684347,-0.217823431,0.016462360,0.295427710,0.067050695,0.110064685,-0.042954661
8,159.988,1786751905676.019,28863598.419,0.000000000,-0.674412966,0.313394785,-0.507246494,1.543321729,-0.381103665,-0.056868788,-0.425366342,-0.011657638,0.329741627,1.078464031,-0.848087966,0.185904711,0.042015329,0.097143047,0.016812650,0.122610539,0.068049394,-0.032713976,0.429985940,-0.070525400,0.106443025,0.021916596,-0.003555936,-0.297860473,0.024818631,0.266148448,0.080599703,0.106399521,-0.061445013
9,179.985,1786751905696.016,28863618.416,0.000000000,-0.681809306,0.320038557,-0.502022624,1.592700005,-0.386649281,-0.075356282,-0.357633173,-0.021566372,0.387515664,1.066347599,-0.838497579,0.183394849,0.086749613,0.103905953,0.030943772,0.074296765,0.048772447,-0.060848065,0.429012448,-0.062572002,0.106508099,0.014517649,-0.035324994,-0.387822241,0.045694444,0.257709295,0.095326483,0.096372418,-0.087920375
10,199.987,1786751905716.018,28863638.418,0.000000000,-0.702946186,0.317263007,-0.493952125,1.612565041,-0.389776111,-0.082708411,-0.278725594,-0.007735489,0.525319993,1.070904136,-0.834491789,0.157459304,0.100429557,0.074954845,0.044927400,0.036481850,0.061323471,-0.072514497,0.424742997,-0.064499989,0.099066138,0.009568697,-0.073653363,-0.438383728,0.081505224,0.266526371,0.104800463,0.083033748,-0.117534988
11,219.989,1786751905736.020,28863658.420,0.000000000,-0.726242542,0.333429486,-0.486165315,1.590607405,-0.395407975,-0.081890732,-0.241635069,-0.003640460,0.598223925,1.170927048,-0.745756686,0.183577955,0.105621770,0.027993433,0.079370230,-0.010666254,0.094151489,-0.068756402,0.419569343,-0.074041232,0.088885412,0.012253036,-0.115706041,-0.462123811,0.122337520,0.272204071,0.113101415,0.068838574,-0.150854170
12,239.987,1786751905756.018,28863678.418,0.000000000,-0.733454645,0.385981202,-0.497613698,1.530211210,-0.390208185,-0.087228201,-0.263421565,0.000554107,0.555399120,1.341722369,-0.523199856,0.231125325,0.121972091,0.005592973,0.138275877,-0.067967474,0.126863346,-0.059858300,0.417797357,-0.086892121,0.080128036,0.028086562,-0.158572450,-0.484640926,0.164344594,0.265465975,0.125560686,0.058570240,-0.186467290
13,259.988,1786751905776.018,28863698.418,0.000000000,-0.737980664,0.420800894,-0.531751752,1.481143832,-0.352113903,-0.097043760,-0.327726305,-0.009372997,0.470503271,1.499491453,-0.308611006,0.187359050,0.128843725,-0.001812903,0.181700215,-0.108990446,0.159156844,-0.057059359,0.411731035,-0.095239408,0.070720822,0.057137676,-0.196365982,-0.509064734,0.212375745,0.241588175,0.140217423,0.052839469,-0.217540100
14,279.986,1786751905796.017,28863718.417,0.000000000,-0.743107378,0.415200323,-0.578482211,1.494572639,-0.295786619,-0.098901540,-0.422779769,-0.036690876,0.389052302,1.606509924,-0.518103778,0.156262279,0.123751603,0.002286909,0.190635234,-0.120236658,0.182226554,-0.053955376,0.398889095,-0.097769789,0.060605384,0.089671358,-0.224505499,-0.535014033,0.257006079,0.199058309,0.154602587,0.043724578,-0.236444175
15,299.989,1786751905816.019,28863738.420,0.000000000,-0.734773874,0.391227216,-0.606597006,1.541841269,-0.258991152,-0.086279549,-0.540966988,-0.061490908,0.297048539,1.646654844,-0.728390038,0.150029674,0.111192487,0.022305707,0.184605137,-0.107868910,0.192848638,-0.040323772,0.366908640,-0.098193020,0.058889333,0.112648889,-0.242992222,-0.555964530,0.282100260,0.145490125,0.171573505,0.027988473,-0.242336527
16,319.988,1786751905836.019,28863758.419,0.000000000,-0.696498871,0.352130204,-0.616525412,1.573447108,-0.290167600,-0.070251152,-0.678385198,-0.081471570,0.180475116,1.629751563,-0.784105480,0.123856574,0.084706232,0.046355747,0.175185531,-0.073068939,0.204096258,-0.015111811,0.308985770,-0.094889455,0.059137113,0.125311702,-0.262605071,-0.558444381,0.292640060,0.097140647,0.179394007,0.012426563,-0.240149677
17,339.985,1786751905856.016,28863778.416,0.000000000,-0.652592480,0.284901023,-0.619747043,1.623972893,-0.378660262,-0.069385655,-0.779726982,-0.094797008,0.102816679,1.549881816,-0.746468484,0.078864396,0.036845181,0.065608621,0.169934392,-0.035329197,0.218674108,0.007415876,0.256369621,-0.086954683,0.049102567,0.133017987,-0.273514986,-0.553416312,0.296552956,0.055227201,0.169466183,0.005211662,-0.239952862
