index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
0,0.000,1786880068165.615,14855983.549,0.000000000,6.148216248,-0.786129236,0.085931219,-1.748878002,-0.065120779,-0.000767311,5.985551834,-0.788847148,0.027742816,-1.206122398,-0.131135255,-0.000742256,1.056681871,5.678971291,-10.268983841,2.123716593,-0.099693403,-0.330110222,-0.590487778,0.163622871,-0.174930707,-0.194297284,1.457834244,-2.039014816,-0.761789620,-0.650480747,-0.056135155,-0.265830427,-0.203966096
1,19.985,1786880068185.599,14856003.534,0.000000000,-12.442081451,30.482828140,-19.111148834,-7.603567600,1.354475379,0.296213686,42.472938538,-8.525108337,0.430986196,22.902948380,3.396644354,0.238858506,15.456254959,-1.397487640,-12.076603889,4.018620014,-0.033479244,-0.644571364,-1.096529603,1.597184539,-0.093157478,-0.015181169,-7.751177311,0.206350937,0.621330082,-3.362974644,-0.662331700,-0.520072579,-0.357956558
2,39.984,1786880068205.599,14856023.534,0.000000000,-25.865571976,21.783245087,-12.465768814,-4.308351517,-1.580686569,0.178876773,42.145362854,-26.424055099,15.949347496,8.289533615,0.150440693,-0.658163309,19.160377502,-4.340479374,-17.382871628,4.936434269,0.090256326,-0.787909269,-1.295367956,0.183591157,-0.345613003,0.078579709,-12.976134300,0.335948020,-0.275602371,-7.593771935,-0.463712364,-2.073719025,-0.048477966
3,59.983,1786880068225.598,14856043.533,0.000000000,-33.013805389,5.419100285,-0.459840029,-10.902466774,-2.300119638,-0.356569678,45.892894745,-21.457403183,16.168191910,6.728249073,-0.343125731,-0.683049202,12.634362221,2.785742998,-18.907407761,5.048435211,-1.389064789,-0.700729191,-0.973679125,-0.039613381,-0.284707934,-0.127815232,-17.057758331,-2.015400648,-1.848815560,-12.572798729,-0.414761841,-3.891077042,-0.120979473
4,79.986,1786880068245.601,14856063.536,0.000000000,-1.160245895,-11.227870941,15.860131264,-6.165726185,-0.277568698,-0.060552664,15.497943878,5.265656948,-7.937096596,6.676200867,-0.478868753,0.713389337,0.995530069,13.352975845,-16.263027191,2.534118891,-1.756454349,-0.463054687,-0.925244927,-0.589197934,-0.154080704,-0.138198897,-18.587120056,-3.577291250,-3.261546373,-15.676174164,-0.680253327,-5.000000000,-0.549799562
5,99.986,1786880068265.600,14856083.535,0.000000000,33.154678345,-17.408638000,8.619504929,6.705397129,0.072502188,0.076157980,-30.414041519,14.237719536,-10.769109726,-5.693885326,-1.325065136,0.553188562,-1.071721792,15.595596313,-9.544836044,-2.050584078,-1.986528635,-1.240770578,-1.877809763,-0.979314566,-0.471368253,-0.329687119,-15.220793724,-2.364675522,-1.518492103,-11.723582268,-0.050833911,-5.000000000,-0.772967458
6,119.984,1786880068285.599,14856103.534,0.000000000,30.524000168,-12.271140099,4.987914562,9.319277763,0.641628265,0.062906578,-41.284137726,12.034087181,-9.688179970,-12.901616096,-1.169602871,0.285978109,-7.277929783,6.198473454,4.364885807,-6.487851143,-1.191775322,-1.090640187,-2.156354666,-0.413297653,-0.797247231,-0.432226837,-5.529629707,0.907400668,2.340949535,-4.150205135,0.384126157,-4.709197998,0.059669640
7,139.983,1786880068305.598,14856123.533,0.000000000,11.105641365,-8.056113243,5.132025242,5.609853268,0.289447457,-0.330457479,-30.987659454,10.775238991,-6.158727169,-11.706368446,-0.592334747,0.199976534,-10.505937576,-7.222497463,14.157647133,-8.809579849,-0.354816645,-0.874959588,-1.995473981,0.087839000,-0.853533030,-0.278162956,5.898113728,3.236299515,4.809757233,2.186300755,0.257712722,-0.148662969,1.085426331
8,159.983,1786880068325.597,14856143.532,0.000000000,2.666687965,0.710947990,0.098637186,2.053578138,0.199582309,-0.160076171,-24.265794754,8.679437637,-4.185001373,-8.987113953,-0.549613118,0.172597796,-9.622575760,-14.467777252,17.420145035,-8.658877373,0.208332315,-0.363933861,-1.293789744,0.101285346,-0.680326760,-0.049695496,13.629917145,3.809839725,4.828828812,6.597775459,-0.018972371,2.504771709,1.555793524
9,179.987,1786880068345.601,14856163.536,0.000000000,30.301214218,25.010692596,-3.958230734,-27.207103729,-10.206007004,1.157641649,-24.575256348,12.957215309,-1.975697994,-8.538900375,-0.587728143,0.158292070,-7.956306458,-9.947556496,14.694204330,-5.994318008,-0.355076045,-0.382857621,-1.046131611,0.272912920,-0.524252057,0.016628454,17.006385803,2.196823359,3.517534494,7.678594112,-0.252835512,3.714485884,1.435881615
