index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,left_hand_q_0,left_hand_q_1,left_hand_q_2,left_hand_q_3,left_hand_q_4,left_hand_q_5,left_hand_q_6
0,0.000,1786879554179.491,14341997.426,0.000000000,-0.007087088,0.146314278,0.073939279,-0.033881579,-0.039770592,-0.034409363,-0.039670140
1,19.993,1786879554199.484,14342017.419,0.000000000,-0.007070697,0.142535970,0.075613305,-0.035839960,-0.041625086,-0.036120001,-0.041488260
2,40.015,1786879554219.506,14342037.441,0.000000000,-0.007047669,0.136387646,0.085919589,-0.046356738,-0.051993567,-0.046031237,-0.051766880
3,60.030,1786879554239.521,14342057.456,0.000000000,-0.008301362,0.138336673,0.106963128,-0.063805185,-0.069118723,-0.063537136,-0.068900511
4,80.001,1786879554259.492,14342077.427,0.000000000,-0.008590547,0.139121160,0.133834422,-0.085886262,-0.091082819,-0.085916996,-0.090908781
5,100.026,1786879554279.517,14342097.452,0.000000000,-0.008586872,0.136838958,0.163064033,-0.110936731,-0.116494499,-0.111214317,-0.116357200
6,120.055,1786879554299.546,14342117.481,0.000000000,-0.008561680,0.131884545,0.193928316,-0.138105094,-0.144403979,-0.138304055,-0.144255474
7,140.011,1786879554319.502,14342137.437,0.000000000,-0.008536367,0.124267638,0.225837931,-0.167171016,-0.174192369,-0.166876271,-0.173970953
8,160.032,1786879554339.523,14342157.458,0.000000000,-0.008512164,0.114226490,0.258365661,-0.198256209,-0.205459759,-0.197139427,-0.205115691
9,180.026,1786879554359.517,14342177.452,0.000000000,-0.008493534,0.105455235,0.282995433,-0.222934127,-0.229701102,-0.221255317,-0.229271188
10,200.092,1786879554379.583,14342197.518,0.000000000,-0.008468910,0.093030095,0.316045821,-0.257755429,-0.262897730,-0.255617738,-0.262394220
11,220.001,1786879554399.492,14342217.427,0.000000000,-0.008443506,0.082139641,0.349491268,-0.293926567,-0.296752632,-0.291614622,-0.296227545
12,240.012,1786879554419.503,14342237.438,0.000000000,-0.008414541,0.074863777,0.383495450,-0.330338448,-0.330912501,-0.328143835,-0.330422550
13,260.067,1786879554439.558,14342257.493,0.000000000,-0.008379834,0.072306544,0.418140858,-0.366253287,-0.365119010,-0.364368230,-0.364701539
14,280.024,1786879554459.515,14342277.450,0.000000000,-0.008339580,0.072010979,0.453212112,-0.402331620,-0.399417222,-0.400884986,-0.399079353
15,299.991,1786879554479.482,14342297.417,0.000000000,-0.008300275,0.071895845,0.488438755,-0.438985705,-0.433876634,-0.437781960,-0.433574438
16,319.993,1786879554499.484,14342317.419,0.000000000,-0.008266441,0.071735546,0.523670256,-0.475525200,-0.468435585,-0.474329263,-0.468133837
17,339.990,1786879554519.481,14342337.416,0.000000000,-0.008237533,0.071523726,0.558896244,-0.510945499,-0.502997696,-0.509582400,-0.502673447
18,359.993,1786879554539.484,14342357.419,0.000000000,-0.008211468,0.071324952,0.594187260,-0.544734895,-0.537483811,-0.543019116,-0.537117779
19,379.991,1786879554559.482,14342377.417,0.000000000,-0.008184958,0.071132250,0.629547834,-0.577181280,-0.571899652,-0.575115323,-0.571491659
20,399.990,1786879554579.481,14342397.416,0.000000000,-0.008156260,0.070934400,0.664877474,-0.609378457,-0.606333911,-0.607216120,-0.605903327
21,419.993,1786879554599.484,14342417.419,0.000000000,-0.008134186,0.070714712,0.691258669,-0.634167910,-0.632235527,-0.632339776,-0.631829858
22,439.993,1786879554619.484,14342437.419,0.000000000,-0.008106520,0.070243619,0.726227343,-0.668559670,-0.666889489,-0.667717576,-0.666590452
23,459.992,1786879554639.483,14342457.418,0.000000000,-0.008078627,0.069727249,0.761040390,-0.704084396,-0.701640248,-0.704226077,-0.701455355
24,480.033,1786879554659.524,14342477.459,0.000000000,-0.008050300,0.069480129,0.795848489,-0.739586771,-0.736373067,-0.740592957,-0.736288607
25,500.002,1786879554679.493,14342497.428,0.000000000,-0.008021313,0.069305085,0.830736756,-0.774478197,-0.771037161,-0.776137412,-0.771028459
26,519.994,1786879554699.485,14342517.420,0.000000000,-0.007990876,0.069126077,0.865696192,-0.808888078,-0.805673122,-0.810930252,-0.805703640
27,539.990,1786879554719.481,14342537.416,0.000000000,-0.007959903,0.068928577,0.900668919,-0.843275309,-0.840355396,-0.845447600,-0.840393603
28,559.989,1786879554739.480,14342557.415,0.000000000,-0.007928477,0.068732895,0.935629725,-0.877799094,-0.875056982,-0.879792571,-0.875087976
29,580.024,1786879554759.515,14342577.450,0.000000000,-0.007895051,0.068541102,0.970533311,-0.912596941,-0.909739554,-0.914126456,-0.909750581
30,600.004,1786879554779.495,14342597.430,0.000000000,-0.007862182,0.068354048,1.005373001,-0.947515607,-0.944371521,-0.948484719,-0.944355726
31,620.025,1786879554799.516,14342617.451,0.000000000,-0.007830481,0.068167143,1.040155292,-0.982434332,-0.978950858,-0.982910872,-0.978919208
32,640.033,1786879554819.524,14342637.459,0.000000000,-0.007797675,0.067982152,1.074913502,-1.017193317,-1.013493538,-1.017298222,-1.013451099
33,659.991,1786879554839.482,14342657.417,0.000000000,-0.007771811,0.067839742,1.100975394,-1.043181181,-1.039400935,-1.043076396,-1.039342523
34,680.022,1786879554859.513,14342677.448,0.000000000,-0.007736410,0.067644194,1.135715365,-1.077798367,-1.073966742,-1.077502966,-1.073868275
35,700.024,1786879554879.515,14342697.450,0.000000000,-0.007700152,0.067443930,1.170416832,-1.112424135,-1.108536601,-1.112094522,-1.108388782
36,720.036,1786879554899.527,14342717.462,0.000000000,-0.007663292,0.067243211,1.205060005,-1.147143483,-1.143093109,-1.146801949,-1.142884016
37,740.023,1786879554919.514,14342737.449,0.000000000,-0.007630106,0.067048736,1.239679217,-1.181830883,-1.177633405,-1.181412458,-1.177358508
38,759.992,1786879554939.483,14342757.418,0.000000000,-0.007601843,0.066858627,1.274302125,-1.216352105,-1.212157845,-1.215861201,-1.211828470
39,780.024,1786879554959.515,14342777.450,0.000000000,-0.007578161,0.066667870,1.308914304,-1.250708103,-1.246657848,-1.250239134,-1.246292830
40,799.991,1786879554979.482,14342797.417,0.000000000,-0.007557699,0.066481888,1.343529344,-1.284825802,-1.281137586,-1.284520626,-1.280763626
41,819.990,1786879554999.481,14342817.416,0.000000000,-0.007536833,0.066298164,1.378189206,-1.318728447,-1.315638423,-1.318684578,-1.315283775
42,839.991,1786879555019.482,14342837.417,0.000000000,-0.007512799,0.066109329,1.412940860,-1.352525234,-1.350233912,-1.352751136,-1.349910378
43,859.990,1786879555039.481,14342857.416,0.000000000,-0.007486687,0.065883502,1.447770357,-1.385375857,-1.384942532,-1.385800600,-1.384654403
44,879.989,1786879555059.480,14342877.415,0.000000000,-0.007465744,0.065670386,1.473904490,-1.408599257,-1.411011457,-1.409139514,-1.410760403
45,899.989,1786879555079.480,14342897.415,0.000000000,-0.007433849,0.065308653,1.508735061,-1.436861992,-1.445786834,-1.437458277,-1.445586801
46,919.989,1786879555099.480,14342917.415,0.000000000,-0.007399703,0.064934492,1.543220520,-1.461338043,-1.480556846,-1.461915851,-1.480389237
47,939.989,1786879555119.480,14342937.415,0.000000000,-0.007364961,0.064590499,1.575876117,-1.481612086,-1.515283346,-1.482184768,-1.515126586
48,960.010,1786879555139.501,14342957.436,0.000000000,-0.007329035,0.064321347,1.605439901,-1.497657061,-1.549405456,-1.498152375,-1.549252868
49,980.029,1786879555159.520,14342977.455,0.000000000,-0.007293676,0.064108200,1.631173253,-1.509730816,-1.581435680,-1.510089874,-1.581282735
50,1000.030,1786879555179.521,14342997.456,0.000000000,-0.007260012,0.063898578,1.652745962,-1.518297195,-1.610256195,-1.518501043,-1.610105991
51,1020.024,1786879555199.515,14343017.450,0.000000000,-0.007228689,0.063640229,1.670142531,-1.523915172,-1.635221124,-1.523980975,-1.635078430
52,1040.013,1786879555219.503,14343037.439,0.000000000,-0.007199219,0.063381054,1.683576107,-1.527075768,-1.656065941,-1.527028799,-1.655930519
53,1060.008,1786879555239.499,14343057.434,0.000000000,-0.007171020,0.063166834,1.693413496,-1.528239727,-1.672809362,-1.528121710,-1.672685385
54,1080.025,1786879555259.516,14343077.451,0.000000000,-0.007143519,0.062965177,1.700104237,-1.528478265,-1.685669899,-1.528349996,-1.685562491
55,1100.032,1786879555279.523,14343097.458,0.000000000,-0.007116555,0.062763743,1.704138756,-1.528618932,-1.695006132,-1.528491139,-1.694920301
56,1120.023,1786879555299.515,14343117.449,0.000000000,-0.007096433,0.062610805,1.705712914,-1.528719664,-1.699953914,-1.528593183,-1.699887633
57,1140.025,1786879555319.516,14343137.451,0.000000000,-0.007069433,0.062408384,1.706367016,-1.528850794,-1.704192281,-1.528727055,-1.704153776
58,1160.010,1786879555339.501,14343157.436,0.000000000,-0.007042219,0.062208079,1.706543684,-1.528980017,-1.706192970,-1.528859258,-1.706180215
59,1180.023,1786879555359.514,14343177.449,0.000000000,-0.007014790,0.062008850,1.706679940,-1.529108644,-1.706668019,-1.528990507,-1.706667423
60,1200.024,1786879555379.515,14343197.450,0.000000000,-0.006987258,0.061810080,1.706812263,-1.529236555,-1.706826925,-1.529120803,-1.706827521
61,1220.026,1786879555399.517,14343217.452,0.000000000,-0.006959527,0.061610244,1.706943512,-1.529364824,-1.706959963,-1.529251337,-1.706960797
62,1240.025,1786879555419.516,14343237.451,0.000000000,-0.006931656,0.061408956,1.707073927,-1.529493928,-1.707090259,-1.529382467,-1.707091212
63,1260.010,1786879555439.501,14343257.436,0.000000000,-0.006903721,0.061206296,1.707203746,-1.529624224,-1.707219720,-1.529514432,-1.707220674
64,1280.000,1786879555459.491,14343277.426,0.000000000,-0.006875400,0.061001979,1.707333207,-1.529756546,-1.707348585,-1.529647827,-1.707349777
65,1300.025,1786879555479.516,14343297.451,0.000000000,-0.006846735,0.060796909,1.707462192,-1.529890180,-1.707477212,-1.529782057,-1.707478404
66,1320.003,1786879555499.494,14343317.429,0.000000000,-0.006817835,0.060591459,1.707590938,-1.530024886,-1.707605481,-1.529916763,-1.707606673
67,1340.001,1786879555519.492,14343337.427,0.000000000,-0.006788767,0.060385711,1.707719207,-1.530159831,-1.707733274,-1.530051708,-1.707734346
68,1359.989,1786879555539.480,14343357.415,0.000000000,-0.006766909,0.060231484,1.707815170,-1.530261159,-1.707828879,-1.530152917,-1.707829952
69,1380.026,1786879555559.517,14343377.452,0.000000000,-0.006737984,0.060026474,1.707942724,-1.530395746,-1.707955956,-1.530287504,-1.707957029
70,1400.025,1786879555579.516,14343397.451,0.000000000,-0.006709589,0.059823085,1.708069921,-1.530528903,-1.708082676,-1.530421257,-1.708083630
71,1420.024,1786879555599.515,14343417.450,0.000000000,-0.006681736,0.059620712,1.708196998,-1.530661821,-1.708209157,-1.530555010,-1.708210230
72,1440.031,1786879555619.522,14343437.457,0.000000000,-0.006654094,0.059418645,1.708323836,-1.530795336,-1.708335400,-1.530689120,-1.708336711
73,1460.024,1786879555639.515,14343457.450,0.000000000,-0.006626627,0.059217755,1.708450556,-1.530928135,-1.708461523,-1.530822396,-1.708462834
74,1480.070,1786879555659.561,14343477.496,0.000000000,-0.006599447,0.059018042,1.708576679,-1.531059742,-1.708587170,-1.530954599,-1.708588481
75,1500.030,1786879555679.521,14343497.456,0.000000000,-0.006572673,0.058820438,1.708702445,-1.531189203,-1.708712459,-1.531084895,-1.708713889
76,1520.000,1786879555699.491,14343517.426,0.000000000,-0.006546280,0.058625463,1.708827734,-1.531315923,-1.708837271,-1.531212926,-1.708838820
77,1540.026,1786879555719.517,14343537.452,0.000000000,-0.006520212,0.058432270,1.708952665,-1.531440973,-1.708961844,-1.531339765,-1.708963513
78,1559.999,1786879555739.490,14343557.425,0.000000000,-0.006494524,0.058240149,1.709077358,-1.531565428,-1.709085941,-1.531466126,-1.709087968
79,1579.991,1786879555759.482,14343577.417,0.000000000,-0.006475494,0.058097109,1.709171057,-1.531658769,-1.709179282,-1.531560779,-1.709181547
80,1600.024,1786879555779.515,14343597.450,0.000000000,-0.006450525,0.057907425,1.709297419,-1.531785488,-1.709305167,-1.531690359,-1.709307432
81,1620.031,1786879555799.521,14343617.457,0.000000000,-0.006426168,0.057716854,1.709425926,-1.531918526,-1.709433079,-1.531827927,-1.709435344
82,1640.013,1786879555819.504,14343637.439,0.000000000,-0.006400811,0.057521638,1.709552884,-1.532055259,-1.709558964,-1.531966448,-1.709561586
83,1660.001,1786879555839.491,14343657.427,0.000000000,-0.006373507,0.057324972,1.709675670,-1.532187819,-1.709680915,-1.532095194,-1.709683895
84,1680.129,1786879555859.619,14343677.555,0.000000000,-0.006345193,0.057125628,1.709794998,-1.532316446,-1.709800005,-1.532218695,-1.709803104
85,1699.989,1786879555879.480,14343697.415,0.000000000,-0.006316706,0.056925040,1.709910870,-1.532437682,-1.709915638,-1.532337546,-1.709918857
86,1720.024,1786879555899.515,14343717.450,0.000000000,-0.006288914,0.056728784,1.710024595,-1.532551646,-1.710029244,-1.532450676,-1.710032821
87,1740.012,1786879555919.503,14343737.438,0.000000000,-0.006263169,0.056536704,1.710137486,-1.532659769,-1.710142016,-1.532560706,-1.710145950
88,1760.051,1786879555939.542,14343757.477,0.000000000,-0.006238021,0.056356385,1.710251808,-1.532759547,-1.710257173,-1.532663584,-1.710260272
89,1779.991,1786879555959.482,14343777.417,0.000000000,-0.006212430,0.056185495,1.710368752,-1.532857180,-1.710375071,-1.532763600,-1.710376978
90,1800.100,1786879555979.591,14343797.526,0.000000000,-0.006185602,0.056010030,1.710487485,-1.532964945,-1.710494637,-1.532870173,-1.710495114
91,1820.025,1786879555999.516,14343817.450,0.000000000,-0.006165279,0.055875514,1.710577965,-1.533054233,-1.710585475,-1.532955527,-1.710585237
92,1840.023,1786879556019.514,14343837.449,0.000000000,-0.006138504,0.055693798,1.710700750,-1.533181310,-1.710707664,-1.533077836,-1.710707426
93,1860.023,1786879556039.514,14343857.449,0.000000000,-0.006110844,0.055508960,1.710823774,-1.533313155,-1.710829854,-1.533206105,-1.710829854
94,1879.992,1786879556059.483,14343877.418,0.000000000,-0.006082519,0.055324294,1.710945606,-1.533443332,-1.710950732,-1.533333302,-1.710950971
95,1900.028,1786879556079.519,14343897.454,0.000000000,-0.006055438,0.055143360,1.711065888,-1.533566475,-1.711070180,-1.533456087,-1.711070657
96,1920.029,1786879556099.520,14343917.455,0.000000000,-0.006029586,0.054963224,1.711184502,-1.533685446,-1.711188197,-1.533576608,-1.711189032
97,1940.026,1786879556119.517,14343937.452,0.000000000,-0.006003770,0.054780368,1.711301684,-1.533803940,-1.711304665,-1.533697486,-1.711305737
98,1960.071,1786879556139.562,14343957.497,0.000000000,-0.005976471,0.054590192,1.711417079,-1.533926606,-1.711419582,-1.533821344,-1.711420655
99,1980.012,1786879556159.503,14343977.438,0.000000000,-0.005947087,0.054392371,1.711531281,-1.534056067,-1.711533308,-1.533948183,-1.711533904
100,2000.037,1786879556179.528,14343997.463,0.000000000,-0.005917422,0.054197796,1.711645365,-1.534184098,-1.711647272,-1.534071565,-1.711647034
101,2020.034,1786879556199.525,14344017.460,0.000000000,-0.005889262,0.054009464,1.711760163,-1.534308434,-1.711762071,-1.534191608,-1.711760998
102,2040.075,1786879556219.566,14344037.501,0.000000000,-0.005862982,0.053826235,1.711875558,-1.534429431,-1.711877465,-1.534309745,-1.711875916
103,2060.029,1786879556239.520,14344057.455,0.000000000,-0.005844326,0.053692147,1.711962461,-1.534517646,-1.711964250,-1.534397244,-1.711962461
104,2080.013,1786879556259.504,14344077.439,0.000000000,-0.005820719,0.053516887,1.712078094,-1.534631610,-1.712079644,-1.534511924,-1.712077856
105,2100.029,1786879556279.521,14344097.455,0.000000000,-0.005798350,0.053343453,1.712193370,-1.534743309,-1.712194443,-1.534625769,-1.712193012
106,2120.029,1786879556299.520,14344117.455,0.000000000,-0.005777059,0.053171106,1.712308407,-1.534854054,-1.712309122,-1.534739971,-1.712308168
107,2140.026,1786879556319.517,14344137.452,0.000000000,-0.005756272,0.052997865,1.712423205,-1.534965515,-1.712423325,-1.534855962,-1.712422967
108,2160.038,1786879556339.529,14344157.463,0.000000000,-0.005735234,0.052821252,1.712537646,-1.535079837,-1.712537289,-1.534975290,-1.712537289
109,2180.013,1786879556359.503,14344177.438,0.000000000,-0.005713265,0.052639533,1.712651730,-1.535199404,-1.712650776,-1.535098791,-1.712650895
110,2200.025,1786879556379.516,14344197.451,0.000000000,-0.005690373,0.052454356,1.712764978,-1.535322189,-1.712763309,-1.535224080,-1.712763548
111,2220.027,1786879556399.518,14344217.453,0.000000000,-0.005666731,0.052268058,1.712877512,-1.535446286,-1.712875247,-1.535349250,-1.712875605
112,2240.026,1786879556419.517,14344237.452,0.000000000,-0.005643025,0.052082919,1.712989688,-1.535569668,-1.712986708,-1.535473824,-1.712987185
113,2260.029,1786879556439.520,14344257.455,0.000000000,-0.005619239,0.051898248,1.713101625,-1.535693049,-1.713097930,-1.535598159,-1.713098526
114,2280.013,1786879556459.504,14344277.439,0.000000000,-0.005595456,0.051713683,1.713212967,-1.535816312,-1.713208556,-1.535722256,-1.713209271
115,2300.027,1786879556479.518,14344297.453,0.000000000,-0.005577492,0.051575411,1.713296413,-1.535909057,-1.713291407,-1.535815358,-1.713292241
116,2320.001,1786879556499.491,14344317.427,0.000000000,-0.005553351,0.051390141,1.713407397,-1.536034107,-1.713401556,-1.535940409,-1.713402629
117,2340.029,1786879556519.521,14344337.455,0.000000000,-0.005529346,0.051206253,1.713518262,-1.536158442,-1.713511586,-1.536064744,-1.713512778
118,2360.034,1786879556539.525,14344357.460,0.000000000,-0.005505606,0.051024377,1.713629127,-1.536281466,-1.713621616,-1.536188126,-1.713623047
119,2379.989,1786879556559.480,14344377.415,0.000000000,-0.005482254,0.050845139,1.713739872,-1.536402583,-1.713731766,-1.536309719,-1.713733196
120,2399.989,1786879556579.480,14344397.415,0.000000000,-0.005459167,0.050668027,1.713850737,-1.536522865,-1.713842034,-1.536430478,-1.713843584
121,2419.989,1786879556599.480,14344417.415,0.000000000,-0.005436495,0.050493132,1.713962674,-1.536643624,-1.713953257,-1.536552072,-1.713954926
122,2439.989,1786879556619.480,14344437.415,0.000000000,-0.005414808,0.050317530,1.714077592,-1.536770821,-1.714067578,-1.536682963,-1.714068651
123,2459.987,1786879556639.479,14344457.413,0.000000000,-0.005393648,0.050139014,1.714190960,-1.536900401,-1.714179754,-1.536814690,-1.714181185
124,2479.988,1786879556659.479,14344477.414,0.000000000,-0.005371784,0.049960338,1.714301109,-1.537025809,-1.714288712,-1.536937118,-1.714290619
125,2499.988,1786879556679.479,14344497.414,0.000000000,-0.005349606,0.049779627,1.714409232,-1.537148714,-1.714396238,-1.537057757,-1.714398384
