index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,left_hand_dq_0,left_hand_dq_1,left_hand_dq_2,left_hand_dq_3,left_hand_dq_4,left_hand_dq_5,left_hand_dq_6
0,0.000,1786879788149.489,14575967.424,0.000000000,-0.000165788,-0.076484941,-0.009140031,0.005385374,0.006211206,0.005371433,0.006179445
1,19.991,1786879788169.480,14575987.415,0.000000000,0.000967172,-0.231676951,0.247462377,-0.263029814,-0.253632665,-0.232766643,-0.249150112
2,39.991,1786879788189.480,14576007.415,0.000000000,-0.076910920,0.147477180,0.845793307,-0.682739317,-0.663963199,-0.673369050,-0.662583411
3,59.988,1786879788209.477,14576027.412,0.000000000,-0.016647516,0.061268751,1.210348845,-0.966914177,-0.958472967,-0.967433989,-0.958549201
4,79.988,1786879788229.477,14576047.412,0.000000000,0.000124886,-0.110329926,1.364471793,-1.164863586,-1.171147227,-1.178835869,-1.173217058
5,99.990,1786879788249.479,14576067.414,0.000000000,0.001356876,-0.242961481,1.475195646,-1.298995256,-1.323921561,-1.307443380,-1.325190663
6,119.989,1786879788269.478,14576087.413,0.000000000,0.001336924,-0.370947301,1.549584150,-1.403254628,-1.436080217,-1.392222285,-1.434476137
7,139.988,1786879788289.478,14576107.412,0.000000000,0.001251771,-0.492393762,1.596403718,-1.505669832,-1.522250056,-1.472120404,-1.517294288
8,159.988,1786879788309.478,14576127.412,0.000000000,0.001224112,-0.615990818,1.620041847,-1.634222507,-1.594408393,-1.596932054,-1.588759899
9,179.994,1786879788329.483,14576147.418,0.000000000,0.001233549,-0.677330673,1.630636692,-1.730985045,-1.639415741,-1.704839468,-1.635231614
10,199.994,1786879788349.483,14576167.418,0.000000000,0.001169509,-0.655922949,1.648554564,-1.823873520,-1.682974100,-1.802181840,-1.679714084
11,219.993,1786879788369.482,14576187.417,0.000000000,0.001407337,-0.483947724,1.679157615,-1.835627198,-1.702708960,-1.839932203,-1.704027176
12,239.990,1786879788389.479,14576207.414,0.000000000,0.001564204,-0.277903616,1.709157586,-1.822853923,-1.711852908,-1.834820986,-1.714531541
13,259.990,1786879788409.479,14576227.414,0.000000000,0.001679886,-0.058020607,1.739182115,-1.773867488,-1.709693909,-1.796802759,-1.714452505
14,279.990,1786879788429.479,14576247.414,0.000000000,0.001948078,-0.005808117,1.760638833,-1.748376131,-1.709015846,-1.765412688,-1.712428689
15,299.989,1786879788449.479,14576267.413,0.000000000,0.001968757,-0.004212252,1.769348145,-1.756688595,-1.713765860,-1.760612249,-1.714335918
16,319.989,1786879788469.478,14576287.413,0.000000000,0.001719659,-0.007251383,1.769469857,-1.753942847,-1.718924165,-1.746203184,-1.717504382
17,339.989,1786879788489.479,14576307.413,0.000000000,0.001441213,-0.008758686,1.768066525,-1.720619559,-1.721100211,-1.701345563,-1.718602300
18,359.993,1786879788509.482,14576327.417,0.000000000,0.001303674,-0.009615618,1.767521381,-1.673573017,-1.721392751,-1.649710059,-1.718904853
19,379.993,1786879788529.482,14576347.417,0.000000000,0.001351647,-0.009828554,1.766634107,-1.639451742,-1.722137928,-1.621608377,-1.720523477
20,399.991,1786879788549.480,14576367.415,0.000000000,0.001488656,-0.010767946,1.764171124,-1.633893847,-1.724431396,-1.629980206,-1.723843098
21,419.992,1786879788569.481,14576387.416,0.000000000,0.001549831,-0.009985577,1.759727478,-1.652024746,-1.728198886,-1.660473108,-1.728249550
22,439.991,1786879788589.480,14576407.415,0.000000000,0.001574031,-0.009737757,1.753178596,-1.683559179,-1.730778337,-1.723664284,-1.734331489
23,459.990,1786879788609.479,14576427.414,0.000000000,0.001578460,-0.013767516,1.745302796,-1.732916594,-1.734873772,-1.784764290,-1.739853382
24,479.991,1786879788629.480,14576447.415,0.000000000,0.001575329,-0.014516034,1.739374042,-1.775262356,-1.738807678,-1.815002680,-1.742310166
25,499.990,1786879788649.479,14576467.414,0.000000000,0.001543248,-0.010204257,1.736778975,-1.795777321,-1.739833593,-1.815520406,-1.741167665
26,519.989,1786879788669.478,14576487.413,0.000000000,0.001571574,-0.008929797,1.736603618,-1.793625355,-1.737976193,-1.802092552,-1.737666011
27,539.990,1786879788689.479,14576507.414,0.000000000,0.001504689,-0.008278574,1.738290429,-1.776144505,-1.734170794,-1.777363539,-1.733528495
28,559.989,1786879788709.478,14576527.413,0.000000000,0.001499426,-0.008024848,1.740055084,-1.757083893,-1.729589820,-1.748901486,-1.729591727
29,579.993,1786879788729.481,14576547.416,0.000000000,0.001706914,-0.008209879,1.739513516,-1.747563958,-1.726342797,-1.734559059,-1.726098895
30,599.991,1786879788749.479,14576567.415,0.000000000,0.001603245,-0.008528876,1.739291072,-1.738926172,-1.724989414,-1.724292397,-1.724580407
31,619.992,1786879788769.481,14576587.416,0.000000000,0.001447619,-0.008807285,1.740462422,-1.729065299,-1.725324869,-1.715195417,-1.725800753
32,639.990,1786879788789.479,14576607.414,0.000000000,0.001482733,-0.009097834,1.741656065,-1.721027255,-1.726905584,-1.712107301,-1.727882624
33,659.991,1786879788809.479,14576627.415,0.000000000,0.001623604,-0.009398733,1.741448998,-1.720561862,-1.728358030,-1.714191914,-1.728755593
34,679.991,1786879788829.480,14576647.415,0.000000000,0.001709375,-0.009885457,1.739673018,-1.727961183,-1.730404496,-1.722918034,-1.729347229
35,699.989,1786879788849.478,14576667.413,0.000000000,0.001637282,-0.010197692,1.734686017,-1.737502694,-1.729581475,-1.742811322,-1.728229046
36,719.989,1786879788869.479,14576687.413,0.000000000,0.001542816,-0.010074602,1.729892612,-1.748012424,-1.727890372,-1.753084183,-1.726321340
37,739.988,1786879788889.477,14576707.412,0.000000000,0.001436609,-0.009670607,1.728690386,-1.747221351,-1.727448344,-1.750388384,-1.725700378
38,759.992,1786879788909.481,14576727.416,0.000000000,0.001359705,-0.009403074,1.729977250,-1.740016818,-1.728050709,-1.741827488,-1.726577044
39,779.992,1786879788929.481,14576747.416,0.000000000,0.001336832,-0.009408660,1.732011080,-1.733828425,-1.729506612,-1.735824943,-1.728442430
40,799.990,1786879788949.479,14576767.414,0.000000000,0.001358987,-0.009547017,1.734997034,-1.730578423,-1.731954694,-1.733983994,-1.731879115
41,819.990,1786879788969.479,14576787.414,0.000000000,0.001484342,-0.009951834,1.737317204,-1.736636043,-1.734766841,-1.740862012,-1.735719919
42,839.989,1786879788989.478,14576807.413,0.000000000,0.001664249,-0.009555252,1.738374949,-1.714531302,-1.735628605,-1.715435147,-1.737043738
43,859.989,1786879789009.478,14576827.413,0.000000000,0.001678089,-0.009257856,1.738615513,-1.608309507,-1.735483527,-1.604435921,-1.736911654
44,879.988,1786879789029.477,14576847.412,0.000000000,0.001588547,-0.009267481,1.737904906,-1.443405628,-1.734812021,-1.438956857,-1.736039281
