index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,right_hand_q_0,right_hand_q_1,right_hand_q_2,right_hand_q_3,right_hand_q_4,right_hand_q_5,right_hand_q_6
0,0.000,1786879788149.489,14575967.424,0.000000000,0.001066522,-0.013142031,-0.035027791,0.043820601,0.040828783,0.043788817,0.040814530
1,19.991,1786879788169.480,14575987.415,0.000000000,0.001066106,-0.012776896,-0.036840472,0.045754075,0.042681701,0.045553703,0.042642318
2,39.991,1786879788189.480,14576007.415,0.000000000,0.001057705,-0.012684136,-0.047084328,0.056261364,0.053049985,0.055467460,0.052921981
3,59.988,1786879788209.477,14576027.412,0.000000000,0.001044010,-0.012630467,-0.064043112,0.073593639,0.070143804,0.072099075,0.069910698
4,79.988,1786879788229.477,14576047.412,0.000000000,0.001027656,-0.012583120,-0.085892990,0.096655376,0.092248462,0.094642855,0.091935001
5,99.990,1786879788249.479,14576067.414,0.000000000,0.001013630,-0.012557706,-0.111318715,0.124673709,0.118124187,0.122471943,0.117773332
6,119.989,1786879788269.478,14576087.413,0.000000000,0.001008734,-0.012602021,-0.139487386,0.155548111,0.146612212,0.153091177,0.146205977
7,139.988,1786879788289.478,14576107.412,0.000000000,0.001010461,-0.012726197,-0.169887736,0.186563581,0.176650345,0.183413103,0.176121593
8,159.988,1786879788309.478,14576127.412,0.000000000,0.001013647,-0.012855227,-0.201976582,0.216147780,0.207542136,0.212169632,0.206883237
9,179.994,1786879788329.483,14576147.418,0.000000000,0.001015060,-0.012928554,-0.226830214,0.237053975,0.231040746,0.232628256,0.230323598
10,199.994,1786879788349.483,14576167.418,0.000000000,0.001014009,-0.013012254,-0.260745108,0.263014585,0.262614936,0.258206725,0.261871248
11,219.993,1786879788369.482,14576187.417,0.000000000,0.001009020,-0.013072464,-0.295312047,0.287389904,0.294420093,0.282350957,0.293690443
12,239.990,1786879788389.479,14576207.414,0.000000000,0.001001731,-0.013094489,-0.330215096,0.311862946,0.326609194,0.306870669,0.325939626
13,259.990,1786879788409.479,14576227.414,0.000000000,0.000992320,-0.013129743,-0.365297526,0.338477284,0.359358191,0.333828747,0.358789295
14,279.990,1786879788429.479,14576247.414,0.000000000,0.000985116,-0.013190222,-0.400480986,0.368651360,0.392760247,0.364600301,0.392313689
15,299.989,1786879788449.479,14576267.413,0.000000000,0.000980838,-0.013239035,-0.435675085,0.401856691,0.426693827,0.398627639,0.426381409
16,319.989,1786879788469.478,14576287.413,0.000000000,0.000979086,-0.013266534,-0.470799088,0.437543660,0.461052865,0.435255140,0.460870832
17,339.989,1786879788489.479,14576307.413,0.000000000,0.000978562,-0.013283107,-0.505813777,0.475303501,0.495751172,0.473906130,0.495676786
18,359.993,1786879788509.482,14576327.417,0.000000000,0.000976602,-0.013295054,-0.540729523,0.514613330,0.530683219,0.513788939,0.530679405
19,379.993,1786879788529.482,14576347.417,0.000000000,0.000972546,-0.013304662,-0.575582743,0.554646552,0.565719724,0.554125369,0.565772951
20,399.991,1786879788549.480,14576367.415,0.000000000,0.000967246,-0.013299700,-0.601676583,0.584931314,0.592032969,0.584426105,0.592129350
21,419.992,1786879788569.481,14576387.416,0.000000000,0.000959870,-0.013279368,-0.636392117,0.625499189,0.627151251,0.624768436,0.627307475
22,439.991,1786879788589.480,14576407.415,0.000000000,0.000954924,-0.013246017,-0.671035945,0.665835679,0.662267864,0.664999962,0.662504256
23,459.990,1786879788609.479,14576427.414,0.000000000,0.000952396,-0.013193781,-0.705647171,0.705364406,0.697371781,0.704815686,0.697705805
24,479.991,1786879788629.480,14576447.415,0.000000000,0.000951369,-0.013124206,-0.740237296,0.744264722,0.732508600,0.743995011,0.732904851
25,499.990,1786879788649.479,14576467.414,0.000000000,0.000951281,-0.013044349,-0.774783671,0.782972932,0.767710388,0.782802343,0.768116772
26,519.989,1786879788669.478,14576487.413,0.000000000,0.000951511,-0.012959538,-0.809291124,0.821681201,0.802972913,0.821312726,0.803338110
27,539.990,1786879788689.479,14576507.414,0.000000000,0.000952121,-0.012888890,-0.843781650,0.860241830,0.838242054,0.859555662,0.838539600
28,559.989,1786879788709.478,14576527.413,0.000000000,0.000953843,-0.012853073,-0.878275514,0.898328543,0.873380601,0.897444189,0.873612821
29,579.993,1786879788729.481,14576547.416,0.000000000,0.000955636,-0.012835959,-0.912786603,0.935887933,0.908354938,0.934761524,0.908514082
30,599.991,1786879788749.479,14576567.415,0.000000000,0.000956707,-0.012832125,-0.947363436,0.972665608,0.943185687,0.971292853,0.943266392
31,619.992,1786879788769.481,14576587.416,0.000000000,0.000956358,-0.012842477,-0.982032478,1.008447170,0.977869928,1.006948352,0.977883279
32,639.990,1786879788789.479,14576607.414,0.000000000,0.000954643,-0.012860799,-1.016782999,1.043267727,1.012414932,1.041799068,1.012385011
33,659.991,1786879788809.479,14576627.415,0.000000000,0.000952257,-0.012871880,-1.042883396,1.068900466,1.038254976,1.067523360,1.038213611
34,679.991,1786879788829.480,14576647.415,0.000000000,0.000948337,-0.012871059,-1.077704787,1.102768660,1.072678566,1.101584077,1.072648048
35,699.989,1786879788849.478,14576667.413,0.000000000,0.000944460,-0.012846340,-1.112522840,1.136658549,1.107147336,1.135808706,1.107144833
36,719.989,1786879788869.479,14576687.413,0.000000000,0.000941700,-0.012798233,-1.147308707,1.170994997,1.141714811,1.170515299,1.141744018
37,739.988,1786879788889.477,14576707.412,0.000000000,0.000940350,-0.012739153,-1.182026029,1.205983043,1.176346421,1.205676675,1.176411152
38,759.992,1786879788909.481,14576727.416,0.000000000,0.000940794,-0.012679064,-1.216656923,1.241473794,1.210985899,1.241137028,1.211079359
39,779.992,1786879788929.481,14576747.416,0.000000000,0.000942222,-0.012620493,-1.251200914,1.277265072,1.245601058,1.276767015,1.245705724
40,799.990,1786879788949.479,14576767.414,0.000000000,0.000943121,-0.012573321,-1.285668612,1.313023090,1.280146837,1.312340498,1.280255079
41,819.990,1786879788969.479,14576787.414,0.000000000,0.000944090,-0.012549843,-1.320070028,1.348195672,1.314564943,1.347411752,1.314672709
42,839.989,1786879788989.478,14576807.413,0.000000000,0.000945293,-0.012538223,-1.354452372,1.381677151,1.348898530,1.380848646,1.348994136
43,859.989,1786879789009.478,14576827.413,0.000000000,0.000945962,-0.012537261,-1.388886452,1.412077546,1.383227468,1.411183357,1.383304596
44,879.988,1786879789029.477,14576847.412,0.000000000,0.000945286,-0.012544501,-1.423400640,1.438478351,1.417591929,1.437536836,1.417644024
45,899.991,1786879789049.480,14576867.415,0.000000000,0.000943856,-0.012551295,-1.449334860,1.455404043,1.443395734,1.454483986,1.443428397
46,919.996,1786879789069.485,14576887.420,0.000000000,0.000941126,-0.012555122,-1.483952761,1.474163175,1.477834225,1.473376393,1.477844477
47,939.992,1786879789089.481,14576907.416,0.000000000,0.000938266,-0.012546448,-1.518572330,1.488897443,1.512292266,1.488366365,1.512288570
48,959.992,1786879789109.481,14576927.416,0.000000000,0.000936561,-0.012525064,-1.552495360,1.500075936,1.546298027,1.499820113,1.546296835
49,979.991,1786879789129.480,14576947.415,0.000000000,0.000935671,-0.012495656,-1.584175825,1.508117437,1.578351498,1.508105040,1.578358769
50,999.990,1786879789149.479,14576967.414,0.000000000,0.000935164,-0.012465131,-1.612526417,1.513388276,1.607275963,1.513588786,1.607291937
51,1019.989,1786879789169.478,14576987.413,0.000000000,0.000935077,-0.012434812,-1.636949897,1.516352892,1.632394910,1.516700506,1.632417917
52,1039.989,1786879789189.478,14577007.413,0.000000000,0.000935254,-0.012404342,-1.657216549,1.517488360,1.653413653,1.517905951,1.653440237
53,1059.989,1786879789209.478,14577027.413,0.000000000,0.000935578,-0.012374281,-1.673370600,1.517735124,1.670323968,1.518160462,1.670349479
54,1079.992,1786879789229.481,14577047.416,0.000000000,0.000936025,-0.012346141,-1.685651064,1.517880082,1.683326006,1.518302679,1.683345318
55,1099.992,1786879789249.481,14577067.416,0.000000000,0.000935840,-0.012318318,-1.694431543,1.518015742,1.692766786,1.518435955,1.692776322
56,1119.993,1786879789269.482,14577087.417,0.000000000,0.000935153,-0.012292338,-1.700183153,1.518149376,1.699099422,1.518568158,1.699098229
57,1139.991,1786879789289.480,14577107.415,0.000000000,0.000934508,-0.012274491,-1.702813148,1.518248439,1.702107787,1.518666506,1.702098012
58,1159.990,1786879789309.479,14577127.414,0.000000000,0.000933504,-0.012252015,-1.704475284,1.518379092,1.704195619,1.518796563,1.704173923
59,1179.991,1786879789329.479,14577147.415,0.000000000,0.000932471,-0.012230631,-1.704823852,1.518508196,1.704712033,1.518925190,1.704684496
60,1199.990,1786879789349.479,14577167.414,0.000000000,0.000931570,-0.012209837,-1.704972863,1.518635869,1.704875112,1.519052148,1.704846978
