index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26,act_27,act_28
0,0.000,1786879834207.484,14622025.419,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,20.001,1786879834227.485,14622045.420,0.000000000,-1.041128755,0.371599019,0.524326801,0.767506719,-0.248079151,-0.434118479,-1.181985736,-0.077275030,-0.599422634,0.072127268,1.547938466,0.474561393,-1.207254648,0.369778812,0.380917668,-0.067170627,0.295186400,-0.051839851,0.053756639,-0.136752889,0.234684765,-0.106645942,-0.515289426,0.387677431,-0.177578583,0.267013282,0.171966091,0.068675980,-0.293958306
2,39.998,1786879834247.481,14622065.417,0.000000000,-1.299927831,0.707793951,0.786522090,0.563275695,-0.620997846,-0.416373283,-1.387915730,0.432612330,-0.875321209,0.274445772,1.455611706,0.737304211,-1.990951538,-0.042119101,0.211419404,-0.095353283,0.282355040,-0.030338809,-0.080503285,-0.297501564,0.076565482,-0.313081533,-1.185889602,0.398528159,-0.274177819,0.332906514,-0.043141440,0.281118333,-0.324223250
3,59.993,1786879834267.476,14622085.412,0.000000000,-1.514246106,1.140422463,0.609725654,0.163971841,-0.400296867,0.165866286,-0.860941887,0.527823627,-1.204873204,-0.029338568,1.440648437,0.930944681,-2.474720001,-0.362570167,-0.001204930,-0.334129125,-0.031043673,-0.280005813,-0.217082754,-0.385106713,-0.199275941,-0.562082827,-2.187648058,0.312817544,-0.409532636,0.294336438,-0.131676733,0.305048823,-0.196793228
4,79.988,1786879834287.472,14622105.407,0.000000000,-0.710071743,0.567177773,0.102059379,0.295157611,0.228432924,1.148518205,0.288629681,-0.260087192,-1.524905443,-0.202311218,1.245626807,0.783989012,-2.522309780,-0.137759164,-0.288965046,-0.441197932,-0.287256807,-0.014117502,-0.019803287,-0.502699614,-0.533295453,-0.857587814,-3.173007488,0.227609351,-0.629344106,0.162287354,-0.182209834,0.157758147,0.048678361
5,99.989,1786879834307.473,14622125.408,0.000000000,0.309266686,-0.041918203,-0.058945470,0.496774703,0.243864954,1.300015211,0.291248262,-0.419450223,-1.155954480,0.051828299,0.844221950,0.285458833,-2.060162067,0.303927064,-0.258591890,-0.489358425,-0.220470309,-0.034106925,0.099079385,-0.622722089,-0.356923878,-1.251642108,-3.244568586,0.115489662,-0.700228035,-0.140402228,-0.380234510,0.084109865,0.150613755
6,119.992,1786879834327.476,14622145.411,0.000000000,0.768174589,-0.044043399,-0.316209495,0.666919291,-0.025480852,0.642582297,-0.014783581,-0.446967036,0.139742047,0.033741705,0.473117590,-0.362301081,-0.971117735,0.444131613,-0.149778068,-0.465502322,-0.024829159,-0.085270986,0.135885641,-0.560310125,0.255078018,-1.478294849,-2.419731617,0.075700924,-0.687602699,-0.449979216,-0.440231502,0.067182623,0.116725139
7,139.990,1786879834347.474,14622165.409,0.000000000,0.507565498,0.483079553,-0.523954988,0.513923526,-0.308256984,-0.399517685,-0.159983188,-0.408427864,1.436667919,-0.005710371,0.072595395,-0.734438062,0.280042470,0.614923000,0.053350210,-0.273994952,0.082746677,-0.125567868,0.178656265,-0.425583094,0.852261722,-1.557124376,-1.268732786,0.168104798,-0.758063555,-0.696488738,-0.376256496,0.368111432,0.104464717
8,159.988,1786879834367.471,14622185.407,0.000000000,0.282312751,0.628243089,-0.644657671,0.493427604,-0.623966575,-1.134595871,-0.575646043,-0.391028881,2.082136393,0.241747856,-0.330680251,-0.800941050,1.076034904,1.572940350,0.259744108,-0.015751749,0.074943237,-0.044483878,0.165546030,-0.279981196,1.050658226,-1.471224904,-0.238363326,0.282494307,-0.904597223,-0.972761035,-0.585596204,0.847287178,0.002980627
9,179.987,1786879834387.471,14622205.406,0.000000000,-0.248665899,0.391924709,-0.633618355,0.492161363,-0.917629719,-1.565770864,-1.025857925,-0.367466211,2.488565445,1.233310342,-0.737170279,-0.602903485,1.145803094,1.781604648,0.163803771,0.223826051,0.089546755,-0.057891995,0.124354422,-0.017596966,0.876305401,-1.161785126,0.206986979,0.376177043,-0.967511952,-1.251097918,-1.070399880,1.481449127,-0.484322846
