index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_qw,base_qx,base_qy,base_qz
0,0.000,1786879881810.471,14669628.406,0.000000000,0.999860168,-0.003104424,0.016432302,-0.000178944
1,19.998,1786879881830.469,14669648.404,0.000000000,0.999362767,-0.008802380,0.034552235,0.001636042
2,40.002,1786879881850.473,14669668.408,0.000000000,0.998698056,-0.019740684,0.046534754,0.006858816
3,60.005,1786879881870.477,14669688.411,0.000000000,0.997906566,-0.026722657,0.057608370,0.012235557
4,80.008,1786879881890.479,14669708.415,0.000000000,0.997120202,-0.033133782,0.066286922,0.016109403
5,100.005,1786879881910.477,14669728.412,0.000000000,0.995972931,-0.047172975,0.073640861,0.019738548
6,120.002,1786879881930.474,14669748.409,0.000000000,0.995680034,-0.059955798,0.069890946,0.011907785
7,140.000,1786879881950.472,14669768.407,0.000000000,0.996169269,-0.067085773,0.055973422,-0.003640313
8,160.000,1786879881970.472,14669788.407,0.000000000,0.996819675,-0.064573444,0.045565210,-0.010230822
9,180.003,1786879881990.475,14669808.410,0.000000000,0.998202980,-0.042935770,0.041597843,-0.004120539
10,200.001,1786879882010.473,14669828.408,0.000000000,0.998890042,-0.017518112,0.043428708,0.005077122
11,220.001,1786879882030.472,14669848.407,0.000000000,0.997455955,-0.021693984,0.063350588,0.024447681
12,240.001,1786879882050.472,14669868.407,0.000000000,0.995022476,-0.029120477,0.091361411,0.027118649
13,260.005,1786879882070.477,14669888.411,0.000000000,0.993404090,-0.044094197,0.102827929,0.025109204
14,280.006,1786879882090.477,14669908.412,0.000000000,0.990852654,-0.070824735,0.109857604,0.033559449
15,300.012,1786879882110.483,14669928.418,0.000000000,0.986619890,-0.089190081,0.128848597,0.044992771
16,320.007,1786879882130.478,14669948.413,0.000000000,0.983223259,-0.095882066,0.144946441,0.055400416
17,340.006,1786879882150.477,14669968.412,0.000000000,0.981080830,-0.093429103,0.156276301,0.065795958
18,360.000,1786879882170.471,14669988.406,0.000000000,0.983938277,-0.078651823,0.146246240,0.065508395
19,380.000,1786879882190.471,14670008.406,0.000000000,0.989883244,-0.057001222,0.122608148,0.043003421
20,400.000,1786879882210.471,14670028.406,0.000000000,0.993750393,-0.037655495,0.104936711,0.005520154
21,420.004,1786879882230.476,14670048.411,0.000000000,0.994833410,-0.028323216,0.094190769,-0.025148043
22,440.004,1786879882250.476,14670068.411,0.000000000,0.994547963,-0.029095557,0.092427514,-0.038535025
23,459.995,1786879882270.467,14670088.401,0.000000000,0.994761705,-0.028328588,0.086900778,-0.045769472
24,479.999,1786879882290.470,14670108.405,0.000000000,0.995420575,-0.024175579,0.077279158,-0.050806805
25,500.000,1786879882310.471,14670128.406,0.000000000,0.996077955,-0.026381126,0.068705164,-0.049115039
26,520.001,1786879882330.473,14670148.408,0.000000000,0.996366203,-0.032600772,0.062408239,-0.047924988
27,540.002,1786879882350.473,14670168.408,0.000000000,0.996394992,-0.034555770,0.060853038,-0.047956917
28,560.013,1786879882370.484,14670188.419,0.000000000,0.996250212,-0.035024427,0.064279959,-0.046118714
29,580.004,1786879882390.476,14670208.411,0.000000000,0.996229291,-0.036925327,0.064383708,-0.044927076
30,600.005,1786879882410.477,14670228.412,0.000000000,0.996108174,-0.040699083,0.063065194,-0.046204720
31,620.000,1786879882430.471,14670248.406,0.000000000,0.995567501,-0.044767592,0.065067485,-0.051062498
32,640.000,1786879882450.471,14670268.406,0.000000000,0.994707465,-0.047132701,0.069076046,-0.059699912
33,659.999,1786879882470.470,14670288.405,0.000000000,0.993866563,-0.043564346,0.072062373,-0.071682528
34,680.003,1786879882490.474,14670308.409,0.000000000,0.993360221,-0.033098988,0.071685903,-0.083672583
35,700.004,1786879882510.475,14670328.411,0.000000000,0.993497431,-0.024111390,0.064737745,-0.090501793
36,719.990,1786879882530.462,14670348.397,0.000000000,0.993964195,-0.024353478,0.058995582,-0.089227811
37,739.996,1786879882550.467,14670368.402,0.000000000,0.994744718,-0.024720244,0.051290486,-0.085095152
38,759.998,1786879882570.470,14670388.405,0.000000000,0.995779335,-0.024912478,0.043328840,-0.076977022
39,780.004,1786879882590.475,14670408.410,0.000000000,0.996630549,-0.024974423,0.039234538,-0.067560799
40,800.007,1786879882610.479,14670428.413,0.000000000,0.996992469,-0.028024962,0.038580127,-0.061091878
41,820.005,1786879882630.476,14670448.411,0.000000000,0.997076392,-0.030519962,0.034923073,-0.060725026
42,840.008,1786879882650.479,14670468.414,0.000000000,0.997082412,-0.031250786,0.036976624,-0.059014842
43,860.008,1786879882670.479,14670488.414,0.000000000,0.997239470,-0.032238703,0.039080888,-0.054284263
44,880.000,1786879882690.471,14670508.406,0.000000000,0.997488678,-0.032404810,0.037279919,-0.050759491
45,900.000,1786879882710.472,14670528.407,0.000000000,0.997651339,-0.030818421,0.035403237,-0.049885951
46,920.000,1786879882730.472,14670548.407,0.000000000,0.997887254,-0.026276328,0.032401882,-0.049806844
47,940.001,1786879882750.473,14670568.408,0.000000000,0.998035192,-0.026515877,0.030727042,-0.047733609
48,960.000,1786879882770.472,14670588.407,0.000000000,0.997689545,-0.024432637,0.033068832,-0.054084066
49,980.001,1786879882790.472,14670608.407,0.000000000,0.997176290,-0.020538166,0.032296713,-0.064610936
50,999.999,1786879882810.470,14670628.406,0.000000000,0.996988058,-0.019266205,0.026557148,-0.070273317
51,1019.992,1786879882830.464,14670648.399,0.000000000,0.997194886,-0.019260913,0.021467967,-0.069068544
52,1040.001,1786879882850.472,14670668.407,0.000000000,0.997742355,-0.020251783,0.019842930,-0.060879726
53,1060.013,1786879882870.485,14670688.420,0.000000000,0.998364270,-0.021904670,0.020139813,-0.048819501
54,1080.005,1786879882890.476,14670708.411,0.000000000,0.998695552,-0.023224983,0.020882512,-0.040394705
