index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_qw,torso_qx,torso_qy,torso_qz
0,0.000,1786878550702.444,13338520.379,0.000000000,0.961652517,-0.121155262,0.243691847,-0.034060344
1,19.993,1786878550722.437,13338540.372,0.000000000,0.964944363,-0.116394907,0.233296037,-0.030126663
2,39.991,1786878550742.435,13338560.370,0.000000000,0.969444394,-0.111175090,0.217751995,-0.020042988
3,59.992,1786878550762.436,13338580.371,0.000000000,0.974605501,-0.107147127,0.196613103,-0.002629668
4,79.997,1786878550782.441,13338600.376,0.000000000,0.978925407,-0.101974584,0.176621914,0.010529920
5,99.994,1786878550802.438,13338620.373,0.000000000,0.985293508,-0.087071843,0.145751983,0.019277070
6,119.993,1786878550822.437,13338640.372,0.000000000,0.991169631,-0.064070433,0.115123786,0.014976220
7,139.992,1786878550842.436,13338660.371,0.000000000,0.994921923,-0.039404113,0.092568152,-0.002962181
8,159.992,1786878550862.436,13338680.371,0.000000000,0.996022820,-0.020672845,0.082325459,-0.027086878
9,179.992,1786878550882.436,13338700.371,0.000000000,0.994665980,-0.016809596,0.092424594,-0.042599220
10,199.992,1786878550902.436,13338720.371,0.000000000,0.991558015,-0.028871942,0.120135680,-0.039325353
11,219.993,1786878550922.437,13338740.372,0.000000000,0.988297343,-0.043743562,0.145331070,-0.015289559
12,239.992,1786878550942.436,13338760.371,0.000000000,0.984842896,-0.053776577,0.163918748,0.017978335
13,259.993,1786878550962.437,13338780.371,0.000000000,0.979212463,-0.064282633,0.187876299,0.041391265
14,279.991,1786878550982.435,13338800.370,0.000000000,0.973347783,-0.069182619,0.211170033,0.056702085
15,299.992,1786878551002.436,13338820.371,0.000000000,0.969642460,-0.070790350,0.224805236,0.065152720
16,319.993,1786878551022.437,13338840.371,0.000000000,0.967010915,-0.070971347,0.234623387,0.069316752
17,339.993,1786878551042.437,13338860.372,0.000000000,0.966016293,-0.067692623,0.240674913,0.065619171
18,359.994,1786878551062.438,13338880.373,0.000000000,0.965887725,-0.060031395,0.245956615,0.054428574
19,379.991,1786878551082.435,13338900.370,0.000000000,0.966643751,-0.049469002,0.248985901,0.034039885
20,399.994,1786878551102.438,13338920.373,0.000000000,0.969796479,-0.036317158,0.241132066,0.005588692
21,419.994,1786878551122.438,13338940.372,0.000000000,0.973413944,-0.023066437,0.226461753,-0.025461221
22,439.992,1786878551142.436,13338960.371,0.000000000,0.976884723,-0.011215980,0.208610028,-0.045302361
23,459.991,1786878551162.435,13338980.370,0.000000000,0.979280114,-0.005471182,0.195435151,-0.052778926
24,479.992,1786878551182.436,13339000.371,0.000000000,0.980735898,-0.005842599,0.188279450,-0.051708575
25,499.991,1786878551202.435,13339020.370,0.000000000,0.981687903,-0.009452942,0.184740096,-0.045503289
26,519.991,1786878551222.435,13339040.370,0.000000000,0.982445598,-0.016389834,0.181928903,-0.037866656
27,539.992,1786878551242.436,13339060.371,0.000000000,0.982798696,-0.024136228,0.179917499,-0.033968005
28,559.991,1786878551262.435,13339080.370,0.000000000,0.982616544,-0.037105899,0.178957596,-0.032589242
29,579.992,1786878551282.436,13339100.371,0.000000000,0.981504261,-0.046825740,0.182335734,-0.034791861
30,599.992,1786878551302.436,13339120.371,0.000000000,0.979406774,-0.050252080,0.191382378,-0.040123846
31,619.993,1786878551322.437,13339140.372,0.000000000,0.977174342,-0.047559287,0.201089308,-0.049310640
32,639.991,1786878551342.435,13339160.370,0.000000000,0.975090981,-0.039597329,0.208717763,-0.063769035
33,659.992,1786878551362.436,13339180.371,0.000000000,0.973196387,-0.029036220,0.212576732,-0.082806133
34,679.991,1786878551382.435,13339200.370,0.000000000,0.972222328,-0.018404890,0.210376590,-0.100928895
35,699.992,1786878551402.436,13339220.371,0.000000000,0.972606421,-0.009368598,0.203697518,-0.111607850
36,719.994,1786878551422.437,13339240.372,0.000000000,0.974132478,-0.002224247,0.196182877,-0.112130545
37,739.994,1786878551442.438,13339260.373,0.000000000,0.975846291,0.000618220,0.192199051,-0.103841767
38,759.992,1786878551462.436,13339280.371,0.000000000,0.976951897,0.000375810,0.191820979,-0.093645751
39,779.993,1786878551482.437,13339300.372,0.000000000,0.978291750,-0.002646473,0.192812040,-0.075906426
40,799.994,1786878551502.438,13339320.373,0.000000000,0.979439378,-0.008117016,0.193403944,-0.056811642
41,819.992,1786878551522.436,13339340.371,0.000000000,0.980464041,-0.014245676,0.191456318,-0.042800073
42,839.992,1786878551542.436,13339360.370,0.000000000,0.980868638,-0.021993451,0.189926058,-0.036621146
43,859.994,1786878551562.437,13339380.372,0.000000000,0.980826378,-0.028881753,0.189445883,-0.035435736
44,879.992,1786878551582.436,13339400.371,0.000000000,0.980437160,-0.032700464,0.190438822,-0.037506826
45,899.992,1786878551602.436,13339420.371,0.000000000,0.980195820,-0.033459406,0.190866724,-0.040823378
46,919.992,1786878551622.436,13339440.371,0.000000000,0.980618477,-0.032207616,0.188258037,-0.043691453
47,939.994,1786878551642.438,13339460.373,0.000000000,0.981561065,-0.028920686,0.183782637,-0.043879025
48,959.993,1786878551662.437,13339480.372,0.000000000,0.982395768,-0.025368141,0.180511221,-0.040874157
49,979.996,1786878551682.440,13339500.375,0.000000000,0.982683420,-0.022246318,0.180101454,-0.037441805
50,999.992,1786878551702.436,13339520.371,0.000000000,0.982604861,-0.020457430,0.181143805,-0.035441265
51,1019.992,1786878551722.436,13339540.370,0.000000000,0.982359946,-0.019599417,0.182915166,-0.033567801
52,1039.992,1786878551742.436,13339560.371,0.000000000,0.982345819,-0.021050099,0.183152080,-0.031763688
53,1059.991,1786878551762.435,13339580.370,0.000000000,0.982470572,-0.024500882,0.182589427,-0.028502932
54,1079.992,1786878551782.436,13339600.371,0.000000000,0.982622683,-0.028291663,0.182030961,-0.022737190
