index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,dq_16,dq_17,dq_18,dq_19,dq_20,dq_21,dq_22,dq_23,dq_24,dq_25,dq_26,dq_27,dq_28
0,0.000,1786878645527.518,13433345.453,0.000000000,-1.186285138,0.150191918,-0.034643985,0.159443766,-0.030383078,0.000478612,-1.161851883,0.137669355,-0.065280028,0.072674625,-0.012825578,0.000284076,-0.172027916,0.548655272,-1.773606539,0.595064461,-0.265777349,-0.270623982,0.026435848,0.010177359,0.044405449,-0.095220231,0.734254122,-0.273492932,-0.009393775,-0.132415071,-0.000704021,-0.006342406,0.001663561
1,19.991,1786878645547.509,13433365.444,0.000000000,-2.545316219,-0.303958237,-3.901921988,1.437726498,2.038462639,-0.424921900,-2.721512556,0.102703810,-1.485675454,5.056691170,1.365567923,0.226551071,-0.301227927,1.478677750,-3.228024244,1.354718328,-0.492153496,-0.843964219,-0.614613891,1.716930747,0.322263032,-0.041914187,1.306095719,-0.687844455,0.147899687,-0.548992813,-0.658777535,0.607794464,-0.318673998
2,40.001,1786878645567.519,13433385.454,0.000000000,-2.113216400,-0.318785667,-6.546319962,2.387443781,-0.407814175,-0.257582158,-0.453663766,0.088405617,-1.068595409,4.596308708,0.572756171,-0.420783967,0.182993993,1.789320588,-2.865686417,1.895170450,-0.254992455,-1.626706004,-1.650517106,2.138910532,0.486148179,0.058425732,1.223568797,-0.658061802,-0.050464723,-1.082641721,-1.250412345,1.461437941,-0.330325633
3,60.002,1786878645587.519,13433405.454,0.000000000,-2.195506811,0.441677898,-4.219537258,1.104984283,-2.868756294,-1.139450908,1.271845818,-0.373590827,0.891623557,2.784048319,-0.683499217,-1.341009498,0.538000464,1.149616241,-3.617053509,2.579956532,-0.325076550,-1.393581986,-2.748979568,1.156590104,0.296919286,0.231859580,1.517052412,-0.461202085,-0.512432754,-2.784888029,-1.739799857,2.438570738,0.070531361
4,79.998,1786878645607.516,13433425.451,0.000000000,-2.711929083,3.388754368,1.944085121,-0.888211846,-2.421212435,0.490971029,2.248447895,-0.512607157,0.149269328,1.852009654,-1.523188829,0.053554393,0.223554716,1.949836254,-4.398541451,3.649584770,-0.730499625,-1.332324266,-3.341007233,0.461992115,0.139365271,0.021100340,1.677883148,-0.706526816,-1.380353093,-5.805242062,-2.414315939,2.999064684,0.766925216
5,99.991,1786878645627.509,13433445.444,0.000000000,-0.831465542,3.392741203,2.737113476,-1.510097980,-0.390651375,0.643842936,2.820744514,-0.486590296,-0.673532069,1.475453377,-1.504412055,0.944166720,0.383902460,3.116216660,-3.550265551,4.044389725,-1.321030974,-1.341702938,-3.581386089,-0.223956689,0.081419162,0.013089046,0.459756792,-1.358453512,-1.673035383,-7.880165100,-2.465193510,2.434692383,0.705566287
6,119.995,1786878645647.512,13433465.447,0.000000000,2.294343710,2.140548468,1.354075670,-1.499380708,3.281623840,0.157595560,3.649842978,-1.053869486,-1.161301732,-0.117335625,-0.307754129,0.960767567,0.370880663,3.572389603,-1.092406273,3.523454189,-1.572057605,-1.170072079,-3.509292364,-0.565405250,-0.106615700,0.017461071,-2.231984138,-2.173361301,-0.460064888,-6.841340065,-1.973420739,-0.626435697,-0.133102089
7,139.993,1786878645667.510,13433485.445,0.000000000,3.325524807,0.350850016,0.648319960,-0.336446106,5.632687569,-0.185066670,3.935373545,-2.139349937,-1.222956181,-2.294391155,0.712232709,0.993575513,-0.637363315,2.251935005,1.100791812,2.342074633,-0.919464231,-0.822455943,-3.384221792,-0.065552682,-0.503646910,0.127860427,-4.501488209,-2.416521072,1.755756855,-3.863189220,-1.902284145,-3.631226540,-0.986759961
8,159.991,1786878645687.509,13433505.444,0.000000000,2.099573135,-0.986714065,-1.024169803,1.168244839,10.554464340,-0.016036905,2.874581814,-2.219559431,-1.010242224,-3.892525196,1.357442856,0.583836257,-1.448657751,0.655890942,1.713749647,0.954265833,0.038554192,-0.285851538,-2.897315025,0.546517789,-0.935210705,0.370272368,-5.405379772,-1.516993284,2.760800600,-1.137644649,-2.171701908,-4.833359718,-1.111397147
9,179.990,1786878645707.508,13433525.443,0.000000000,-3.290857792,-3.375259161,-1.492965937,9.415709496,-10.851062775,-1.517025113,1.466100693,-3.467507362,-1.075659275,-5.233750343,1.732600331,-0.247347206,-2.046212673,-2.570356607,2.337535381,-1.512065172,1.485704184,0.716753602,-2.105594635,0.779963017,-1.558903337,0.590456605,-5.071253777,0.517790675,1.765447617,0.151672348,-1.635785222,-4.709248543,-1.306638956
