index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28
0,0.000,1786878695571.482,13483389.417,0.000000000,-0.307376176,0.005599764,-0.004344640,0.657429576,-0.358606905,0.000046690,-0.308227718,0.005481575,-0.003471178,0.655828357,-0.358232111,0.000047484,-0.015902298,-0.219734326,0.415238053,0.040565901,0.216639474,0.027911773,0.638270557,-0.011592210,0.008132406,0.013094345,0.088286430,-0.051752772,0.057280194,0.644400537,0.002821817,0.016664352,0.011516908
1,19.988,1786878695591.471,13483409.406,0.000000000,-0.343252957,0.001720963,-0.039526094,0.671364665,-0.340908557,-0.004354551,-0.349089563,0.006426093,-0.016324565,0.706403136,-0.347566724,0.002391686,-0.019184986,-0.194602892,0.346853018,0.070653833,0.204894215,0.015143694,0.633540273,0.002073218,0.010417261,0.010237507,0.119478919,-0.066964962,0.057516776,0.636870384,-0.002836932,0.021300966,0.009202689
2,39.990,1786878695611.472,13483429.407,0.000000000,-0.388582945,0.001361144,-0.152423307,0.703542888,-0.325992167,-0.010113609,-0.380827606,0.012147630,-0.047791034,0.813921154,-0.320626050,0.001346377,-0.020271756,-0.152722210,0.277160347,0.109612219,0.194361880,-0.007366148,0.610166609,0.041635145,0.016256044,0.009670103,0.147742927,-0.082936227,0.055542275,0.621551037,-0.023323286,0.042635150,0.001892350
3,59.988,1786878695631.471,13483449.406,0.000000000,-0.434857994,0.009073866,-0.252219290,0.720042050,-0.374568075,-0.026161483,-0.380168706,0.014107780,-0.041220959,0.899669290,-0.327329934,-0.014714998,-0.010330105,-0.121512979,0.202390313,0.163173661,0.189370140,-0.037249651,0.562786877,0.069727831,0.022272084,0.010129686,0.178205922,-0.092143603,0.043784689,0.573754311,-0.057426851,0.086189598,-0.000908198
4,79.987,1786878695651.470,13483469.405,0.000000000,-0.480499893,0.065494232,-0.242282957,0.691812456,-0.420772880,-0.018931929,-0.345263243,0.015214896,-0.029033540,0.957893074,-0.363938332,-0.016309079,0.000098660,-0.084028952,0.128003925,0.230473727,0.178946495,-0.065538421,0.501865745,0.077940896,0.023768755,0.011461649,0.207213566,-0.102506004,0.018590584,0.473777890,-0.104080513,0.139574751,0.006000314
5,99.993,1786878695671.476,13483489.411,0.000000000,-0.489053518,0.132076457,-0.186353713,0.646464109,-0.470934749,-0.012267777,-0.282109499,0.012094946,-0.027822811,0.993258774,-0.393279970,-0.005295891,0.014805386,-0.032149665,0.076868057,0.302510321,0.159103319,-0.094676055,0.435105085,0.071581960,0.024963887,0.013203831,0.215546846,-0.123027921,-0.010365550,0.334287554,-0.150578752,0.180067822,0.013401940
6,120.029,1786878695691.511,13483509.447,0.000000000,-0.450355828,0.172066867,-0.151415333,0.601744175,-0.527121842,-0.011738916,-0.205756977,-0.006917052,-0.034759808,0.997342944,-0.399331212,0.008434161,0.028461909,0.020343598,0.059925698,0.369109452,0.134932205,-0.121156827,0.363403946,0.055795852,0.025138903,0.014467459,0.182733357,-0.155968562,-0.018665452,0.202490985,-0.184855253,0.176651150,0.009969349
7,139.995,1786878695711.477,13483529.412,0.000000000,-0.406937748,0.181205466,-0.139369339,0.576700628,-0.549785316,-0.014522081,-0.145232096,-0.036665861,-0.051439308,0.978044271,-0.385882974,0.020568797,0.023985755,0.049542937,0.071923628,0.408092231,0.119963005,-0.136837795,0.306708664,0.045295283,0.023728644,0.015573745,0.128161758,-0.184115350,-0.002334879,0.127013430,-0.205851167,0.147286624,0.000496027
8,160.030,1786878695731.512,13483549.447,0.000000000,-0.382445693,0.153068215,-0.138231635,0.598680556,-0.484286427,-0.079269648,-0.072036944,-0.103452884,-0.081714809,0.932877123,-0.350818008,0.036510766,-0.003395739,0.042655736,0.116410568,0.429570794,0.118543133,-0.149788827,0.234054595,0.039901055,0.015376042,0.018938428,0.028563865,-0.206448466,0.043122016,0.071135834,-0.234884560,0.082514636,-0.017188407
9,180.024,1786878695751.507,13483569.442,0.000000000,-0.413371533,0.090904936,-0.101370461,0.744525373,-0.363013655,-0.098062769,-0.017150084,-0.190446913,-0.079189897,0.869833350,-0.342593938,0.045612417,-0.012955385,-0.046759482,0.199995533,0.401096135,0.149934143,-0.146104172,0.183973402,0.043398824,-0.001063077,0.027594071,-0.081741877,-0.186399937,0.098168887,0.068120040,-0.267649859,0.010053866,-0.029963771
