index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26,act_27,act_28
0,0.000,1786883914116.474,18701934.409,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,19.989,1786883914136.462,18701954.397,0.000000000,-1.039751291,0.489617705,0.651358426,0.743330479,-0.271454722,-0.422744393,-1.270687819,-0.100355998,-0.686883271,0.128308222,1.548078418,0.494031131,-1.292290568,0.355835021,0.364941567,-0.021919362,0.279723376,-0.038305331,0.042651616,-0.152036712,0.248160705,-0.151669413,-0.504581869,0.417932600,-0.152373567,0.324759543,0.124071948,0.114214450,-0.336424142
2,39.986,1786883914156.459,18701974.394,0.000000000,-1.280395508,0.890707493,0.891505241,0.522369325,-0.713022947,-0.334152848,-1.453119040,0.470299572,-1.005665183,0.393449843,1.343349934,0.713617861,-2.149627209,-0.032405857,0.210474551,-0.010048509,0.217610642,-0.036683414,-0.105952725,-0.330914110,0.073473871,-0.398345768,-1.228559971,0.428409725,-0.245379552,0.425257236,-0.134972423,0.323178470,-0.354548335
3,59.988,1786883914176.461,18701994.396,0.000000000,-1.536519766,1.612433791,0.761184394,0.123479500,-0.816271901,0.293602973,-1.057126284,1.026211381,-1.634957790,0.302468359,1.166568756,0.962177217,-2.716716051,-0.424162626,-0.052444518,-0.170615911,-0.172007337,-0.271381408,-0.314727247,-0.452019572,-0.221684560,-0.703182459,-2.308151722,0.341271073,-0.345298797,0.390596718,-0.323632151,0.374596119,-0.177605554
4,79.983,1786883914196.456,18702014.391,0.000000000,-0.861850917,1.202645779,0.146257535,0.192499489,-0.065051548,1.195023060,0.218510106,-0.227996305,-1.822073817,0.122814685,1.133314490,0.821988761,-2.831675529,-0.464321971,0.101200067,-0.194982439,-0.526570976,-0.094270110,-0.145893246,-0.398862004,-0.597047925,-1.082676291,-3.463139534,0.223225638,-0.509878397,0.373734146,-0.407055914,0.165137261,0.121967986
5,99.987,1786883914216.460,18702034.395,0.000000000,0.084407434,-0.018371478,-0.117032468,0.360650092,0.353810102,1.526066065,0.261980683,-0.693314970,-1.609804988,0.251348883,0.830787182,0.407053053,-2.529420614,0.471523762,-0.293833882,-0.230362296,-0.489306659,-0.001129441,0.083431028,-0.433104187,-0.555028975,-1.351986766,-3.762508154,0.015832523,-0.597848356,0.126834512,-0.628386855,-0.019891288,0.308187574
6,119.984,1786883914236.458,18702054.393,0.000000000,0.744490147,-0.372080445,-0.244855553,0.612960339,0.138283297,1.057566762,-0.092609301,-0.608631611,-0.390675575,0.423472166,0.517913043,-0.150355890,-1.588680863,1.039936185,-0.285950363,-0.286205679,-0.240160987,-0.026678562,0.154585987,-0.439422756,0.029454987,-1.384622216,-2.945013285,-0.085978679,-0.554726064,-0.158814043,-0.734252155,-0.075910881,0.238841787
7,139.988,1786883914256.461,18702074.396,0.000000000,0.817113698,0.106519453,-0.571218789,0.635614574,-0.169784173,-0.010811429,-0.324532211,-0.400013000,1.011721849,0.361823440,0.082082942,-0.536708951,-0.187634915,2.009168863,-0.145845041,-0.099257655,-0.089905038,-0.004794169,0.186019182,-0.292546898,0.656876147,-1.300463319,-1.632846475,0.036898278,-0.550503790,-0.277641803,-0.737837195,0.171745613,0.168817088
8,159.984,1786883914276.457,18702094.392,0.000000000,-0.636305273,0.528645337,-0.310283184,0.073016629,-1.091864944,-1.459428072,-0.665083349,-0.010709267,2.557056427,1.860893726,-0.490038782,-0.808506429,0.413516015,1.132231832,0.332286030,0.351943284,0.192708969,-0.083519429,0.039027892,0.091616891,0.850932658,-1.002874136,-0.479270339,0.163421348,-0.653561711,-0.172125533,-0.924054265,0.867476523,-0.076230198
9,179.985,1786883914296.458,18702114.393,0.000000000,-2.557140827,1.074417949,-0.010718253,-0.424179703,-1.656506300,-2.254414558,-1.165199995,-0.053962793,3.763659239,3.054472685,-0.656542897,-0.678156793,0.277195305,-1.952437282,0.800742984,0.609786570,0.218983412,0.039335113,-0.059564240,0.444692910,0.930993855,-0.646942377,0.012755199,0.201097682,-0.633295238,-0.216067240,-1.440243244,1.438446522,-0.529725313
10,199.983,1786883914316.457,18702134.391,0.000000000,-2.954375744,1.425527573,0.387634814,-0.282852769,-1.534815550,-2.336062193,-1.055486441,-0.008190166,3.047604561,2.311082602,-0.549242556,-0.312465429,-0.229648143,-2.145909071,3.976351261,0.737979710,-0.075049400,0.042116117,-0.262638092,0.507685065,1.133369923,-0.711240828,-0.366232216,0.439054996,-0.607901573,-0.566603303,-1.859549642,1.854768753,-0.993940532
11,219.988,1786883914336.461,18702154.397,0.000000000,-2.097103596,0.279872179,0.500959158,-0.057080343,-0.816534877,-1.710299969,-0.277343363,-0.842903197,0.955053329,1.064523101,-1.257559896,-0.235072508,-0.985182285,-0.564896584,1.093677998,0.706382990,-0.338284671,0.158026591,0.236389518,0.085039966,0.681586444,-1.641518235,-1.533118606,0.349807322,-0.369475335,-0.674002886,-1.716932535,2.384625196,-1.054181457
12,239.986,1786883914356.460,18702174.395,0.000000000,-0.440868050,-0.193302557,0.617620051,-0.410554200,-0.192929104,0.257207870,-1.015196204,-1.081098080,-3.248423815,-0.142552763,-0.508797646,0.652414262,-0.940709054,3.155338049,-0.149299160,0.250861496,-0.317370117,0.755689025,0.755318999,-0.541000307,-0.430752009,-3.153571844,-2.512019634,0.303255767,-0.460954309,-0.240652427,-1.957778692,2.206102848,-0.558603108
13,259.984,1786883914376.458,18702194.393,0.000000000,0.486911118,-0.335249841,0.011746526,-0.378459245,-0.414184600,1.945055842,-0.011867216,-1.104219198,-2.152606249,0.049477685,0.345265359,0.166363910,-1.139387488,0.930983186,0.444254130,-0.235233217,-0.777047217,0.226090014,0.433598429,-0.602366328,-0.468903124,-2.636928320,-2.628815413,0.658235908,-0.590198815,-0.563279092,-2.419953108,2.080952406,-0.173063904
14,279.987,1786883914396.461,18702214.396,0.000000000,1.000239015,0.245114729,-0.689986885,-0.084052861,-0.222830400,1.698146701,0.501354754,-0.891871333,-1.214679122,1.428106189,-0.215558514,-0.327355325,-0.183596149,3.219905853,2.773279190,0.000808798,-0.730815351,-0.150191829,-0.366073579,-0.321753442,0.007782083,-2.029274702,-1.586032748,0.687032461,-0.783699512,-0.592447698,-2.292451143,2.077278376,-0.642368138
15,299.984,1786883914416.458,18702234.393,0.000000000,0.975853622,-0.214639321,-0.261459053,-0.684564054,0.061674342,1.724911571,0.845345199,-0.916875720,-1.443282604,1.581442714,-0.504174590,-0.266702145,0.098131686,3.687824726,3.815044403,0.315890551,-0.720627725,0.470923215,-0.897880256,-0.137783736,0.395217866,-2.310723543,-1.468582869,0.900887012,-0.974998653,-0.286027551,-2.365274668,2.392732143,-0.450334191
16,319.986,1786883914436.460,18702254.395,0.000000000,1.406146526,-0.698103964,-0.309415519,-0.517379582,0.686958551,2.264106035,0.747083485,-1.577355623,-2.387374640,0.637117863,0.063016996,-0.282548368,0.073803648,3.715118885,2.905107021,0.465429634,-0.694748223,0.550229132,-0.443608493,-0.164781421,0.354221523,-2.963382483,-2.019512653,0.890580833,-0.962707698,-0.343973368,-2.873222589,2.469514847,0.080408320
