index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,dq_16,dq_17,dq_18,dq_19,dq_20,dq_21,dq_22,dq_23,dq_24,dq_25,dq_26,dq_27,dq_28
0,0.000,1786883984622.468,18772440.403,0.000000000,-0.897455871,0.163956732,-0.138816625,-0.016607631,-0.048786249,0.001237110,-0.923603594,0.160353795,-0.151725128,-0.043433264,-0.046122048,0.001209287,-0.076422423,0.945789039,-2.208118916,0.961336911,-0.481140703,-0.451273352,0.000267473,0.014638324,0.017242739,-0.163513049,1.153861523,-0.579264462,-0.010283980,-0.278574139,-0.001846519,-0.024227347,-0.000780705
1,19.979,1786883984642.447,18772460.382,0.000000000,-3.658403873,-0.683296978,-3.008516073,1.629508615,1.556617260,-0.403067321,-4.191267014,-0.117463514,-0.947914362,4.895360470,0.701472878,0.203949630,-0.404792935,1.270857334,-4.800225258,1.688207269,-0.624755800,-0.804086208,-0.330355197,1.098801374,0.249508619,-0.134464115,1.847398043,-0.772679687,0.097345926,-0.472139120,-0.364872813,0.366161108,-0.196988747
2,39.977,1786883984662.445,18772480.380,0.000000000,-2.406876326,-0.912430644,-7.622478485,2.980692148,-0.094381161,-1.145520449,-0.720622778,0.198780194,-1.067040682,5.045074940,0.944466412,-0.683868766,-0.151925832,2.097959995,-2.869437218,1.974925995,-0.367351532,-1.628741860,-1.890648246,2.029756784,0.580173671,0.003523095,1.379406691,-0.862975419,-0.068677686,-1.526876569,-1.181330681,1.632197142,-0.405386120
3,59.978,1786883984682.446,18772500.381,0.000000000,-2.260243654,-0.284338444,-6.192751408,2.284405708,-3.295503378,-0.929050207,0.247613043,0.168776199,0.339317352,4.209047318,-0.097069584,-1.360599518,0.295711070,1.759047031,-3.193465948,2.546741962,-0.172402337,-1.893307209,-2.672196150,1.616023898,0.618493497,0.002756997,1.588945150,-0.704715610,-0.329954445,-2.601011515,-1.585807920,2.409083366,-0.173991516
4,79.979,1786883984702.447,18772520.382,0.000000000,-2.947241306,2.582821846,0.497235954,-0.455716103,-4.800765514,0.251477838,1.924565315,-0.420981795,0.464863092,2.757436514,-1.015190721,-0.348395109,-0.171980664,1.877820849,-4.217050076,3.969507456,-0.390852451,-1.608147383,-3.980211496,0.404895365,0.459161311,-0.069520511,1.986145496,-0.831447601,-1.011740327,-5.943759918,-2.298635483,3.609770775,0.633650720
5,99.978,1786883984722.446,18772540.381,0.000000000,-1.856982708,3.374641418,2.890588522,-2.002166986,-3.968787670,1.169273376,3.205927372,-0.428173423,0.267554462,2.487199306,-1.855368137,0.952516317,0.099360757,2.406729698,-3.673597336,4.276834965,-0.732439578,-1.433951020,-4.290515900,-0.331184149,0.251591504,-0.132246628,1.431469083,-1.289216399,-1.414718270,-7.993124008,-2.214965343,3.906093597,0.781364799
6,119.977,1786883984742.445,18772560.380,0.000000000,0.631067276,3.079355955,1.949388146,-2.435007095,-4.620558739,0.299673915,3.363458157,-0.609318495,-0.564210117,2.089257479,-0.903960943,1.223297596,1.401620746,3.032341480,-2.113045454,3.693919420,-1.114149690,-1.383477807,-4.132119179,-1.421655059,0.027406052,-0.155633241,-0.161170438,-2.202982664,-0.959106326,-8.124946594,-1.304280043,2.337500095,0.150388584
7,139.978,1786883984762.446,18772580.380,0.000000000,2.643946171,1.890654802,0.820169270,-2.027534962,-2.063875437,-0.791830063,3.516713142,-1.265847802,-1.136588097,0.528329313,0.008643831,1.030494094,1.235992551,2.925121784,0.106141210,2.602176428,-1.142585278,-1.063990712,-3.554512739,-1.639778376,-0.522043943,-0.045729954,-3.065505505,-2.946870804,0.278612971,-5.368498802,-0.387545645,-1.977168918,-0.760485530
8,159.980,1786883984782.448,18772600.383,0.000000000,3.507524967,0.570242405,0.410676956,-2.372047186,-0.507770717,-0.756264627,4.385064602,-2.301480770,-1.946450114,-1.150440931,1.029108763,1.020581961,0.050345860,2.040535450,1.622288823,1.858294249,-0.775913894,-0.833586097,-3.214080095,-1.185652018,-0.877801180,0.084105462,-4.502369881,-2.853142738,1.218350649,-3.493791342,-0.396764457,-3.621537447,-1.104025841
9,179.977,1786883984802.445,18772620.380,0.000000000,1.834073901,-0.935054362,0.174737349,-2.005939484,1.515820384,-0.760751963,2.789218426,-2.865479708,-2.095569372,-2.615654945,1.621238828,0.687741697,-1.264830232,0.032550637,1.476457834,0.756783545,0.368007839,-0.647646725,-2.625419378,-0.269284248,-1.309241414,0.372473419,-5.429388523,-1.707729816,2.446745396,-0.774286270,-1.056703925,-4.893359184,-1.107488990
