index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28
0,0.000,1786883984622.468,18772440.403,0.000000000,-0.303221166,0.005154877,-0.003948321,0.657648683,-0.358167350,0.000041722,-0.304039836,0.005017215,-0.002957251,0.655998170,-0.357784927,0.000043618,-0.016412953,-0.237152115,0.423814625,0.036111269,0.223312095,0.031343170,0.638535738,-0.011436631,0.008165051,0.013985513,0.084451936,-0.043717343,0.060123518,0.647121727,0.002026915,0.016989419,0.012004188
1,19.979,1786883984642.447,18772460.382,0.000000000,-0.325441271,0.002502617,-0.019733148,0.665665746,-0.350619614,-0.001966596,-0.329121590,0.005186174,-0.008483158,0.680274248,-0.354508519,0.001070290,-0.018630838,-0.225684196,0.388334274,0.049843967,0.217547461,0.024921807,0.636869669,-0.005869485,0.009464343,0.012446289,0.099901691,-0.050830938,0.060506545,0.643329263,0.000192173,0.018649941,0.011013950
2,39.977,1786883984662.445,18772480.380,0.000000000,-0.374835998,-0.007969614,-0.139085710,0.707157314,-0.329729915,-0.016853588,-0.365123600,0.009447719,-0.039503675,0.786004066,-0.326977551,-0.003251256,-0.022935510,-0.185001537,0.324517787,0.084559597,0.206748679,0.000380913,0.612128019,0.032637503,0.018309141,0.011782540,0.128181025,-0.068508677,0.060792297,0.623967230,-0.016882457,0.040093359,0.003263645
3,59.978,1786883984682.446,18772500.381,0.000000000,-0.397687435,-0.013007371,-0.206835225,0.732732177,-0.346755445,-0.026708543,-0.365605295,0.010781161,-0.040935416,0.831462622,-0.323029727,-0.013377395,-0.020676503,-0.166647747,0.293703407,0.108134739,0.204781786,-0.018031711,0.588004470,0.050539870,0.023999831,0.011796609,0.142973393,-0.075938709,0.058649950,0.602709174,-0.031009415,0.060722202,0.000435508
4,79.979,1786883984702.447,18772520.382,0.000000000,-0.451428533,0.009344683,-0.261353791,0.746686399,-0.434286922,-0.032489363,-0.340293765,0.006479226,-0.023171751,0.896423995,-0.336672634,-0.031619612,-0.017040748,-0.133693233,0.215528816,0.175809488,0.200030386,-0.054409191,0.518595397,0.068814442,0.034204386,0.011250692,0.180541709,-0.090372637,0.043907426,0.514335871,-0.070488207,0.121445976,0.005458659
5,99.978,1786883984722.446,18772540.381,0.000000000,-0.492545545,0.051124208,-0.234547660,0.729152918,-0.498735398,-0.024935706,-0.299333423,-0.002658324,-0.019524619,0.934463263,-0.355272621,-0.029437406,-0.022933591,-0.100903384,0.152457222,0.240454867,0.190599620,-0.076389149,0.455848485,0.068817936,0.038433332,0.009554398,0.206362382,-0.107313626,0.024902234,0.405123651,-0.104025789,0.178701878,0.016521784
6,119.977,1786883984742.445,18772560.380,0.000000000,-0.495095074,0.100034684,-0.197500989,0.693457425,-0.563426554,-0.014767555,-0.247167021,-0.010784314,-0.024848726,0.967390537,-0.375742614,-0.011780190,-0.009150874,-0.057894826,0.113033317,0.299677461,0.175546661,-0.097368434,0.392522544,0.053147469,0.040008303,0.007324586,0.212785915,-0.135353625,0.006673901,0.280067682,-0.129402310,0.225466460,0.023069130
7,139.978,1786883984762.446,18772580.380,0.000000000,-0.456759810,0.148884252,-0.176096737,0.649556458,-0.628381610,-0.019752966,-0.181476459,-0.029331530,-0.044211626,0.992279768,-0.383916289,0.009816199,0.021514265,0.005605190,0.094554871,0.361657202,0.150744498,-0.121584095,0.316784739,0.021169065,0.034715760,0.005113281,0.174727336,-0.189865097,-0.000440754,0.146143362,-0.144371688,0.222098410,0.016656430
8,159.980,1786883984782.448,18772600.383,0.000000000,-0.426435769,0.160291731,-0.169556245,0.628822923,-0.639921367,-0.027288649,-0.144257784,-0.047149800,-0.058856994,0.988421857,-0.378699780,0.019695124,0.027343279,0.029712418,0.103832111,0.382688165,0.141607225,-0.130808368,0.283797771,0.007323684,0.027271692,0.005387972,0.134141609,-0.218959942,0.008609697,0.104736090,-0.147627860,0.191283450,0.007036053
9,179.977,1786883984802.445,18772620.380,0.000000000,-0.379294246,0.153695703,-0.159259439,0.587803543,-0.627582073,-0.042137846,-0.079235889,-0.099953122,-0.097356901,0.948559761,-0.351134419,0.036385164,0.010881039,0.045319874,0.132513583,0.407278687,0.140228301,-0.144907013,0.226815253,-0.004502727,0.004157282,0.009958939,0.030470647,-0.263463974,0.050892852,0.070044540,-0.161780134,0.101326756,-0.015703900
