index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,right_hand_q_0,right_hand_q_1,right_hand_q_2,right_hand_q_3,right_hand_q_4,right_hand_q_5,right_hand_q_6
0,0.000,1786883984622.468,18772440.403,0.000000000,0.000835862,-0.031757344,-0.034178182,0.044788178,0.041652013,0.044757694,0.041644029
1,19.979,1786883984642.447,18772460.382,0.000000000,0.000834327,-0.031482238,-0.034781188,0.045435499,0.042266011,0.045351066,0.042249978
2,39.977,1786883984662.445,18772480.380,0.000000000,0.000827371,-0.031261057,-0.042978954,0.053914472,0.050596278,0.053328101,0.050505307
3,59.978,1786883984682.446,18772500.381,0.000000000,0.000822044,-0.031198051,-0.049937062,0.061039057,0.057628088,0.060112678,0.057486273
4,79.979,1786883984702.447,18772520.382,0.000000000,0.000809445,-0.031094730,-0.068275146,0.080271982,0.076172471,0.078708619,0.075934313
5,99.978,1786883984722.446,18772540.381,0.000000000,0.000800534,-0.031019310,-0.085066117,0.098567471,0.093243212,0.096688390,0.092954740
6,119.977,1786883984742.445,18772560.380,0.000000000,0.000795045,-0.030964993,-0.103876427,0.119167797,0.112352692,0.117079251,0.112026557
7,139.978,1786883984762.446,18772580.380,0.000000000,0.000794005,-0.030945899,-0.131484747,0.148129135,0.140057176,0.145760074,0.139674142
8,159.980,1786883984782.448,18772600.383,0.000000000,0.000794990,-0.030968880,-0.146214917,0.162543640,0.154558301,0.159962803,0.154135406
9,179.977,1786883984802.445,18772620.380,0.000000000,0.000797093,-0.031052809,-0.177210838,0.190336153,0.184382558,0.187187657,0.183866456
10,199.981,1786883984822.448,18772640.383,0.000000000,0.000797465,-0.031095883,-0.193329588,0.203719020,0.199608833,0.200347707,0.199061334
11,219.981,1786883984842.448,18772660.383,0.000000000,0.000794654,-0.031201992,-0.226564571,0.229547396,0.230514601,0.226211846,0.229992941
12,239.990,1786883984862.458,18772680.392,0.000000000,0.000791766,-0.031272586,-0.252164572,0.248512015,0.254049420,0.245525628,0.253606051
13,259.982,1786883984882.449,18772700.385,0.000000000,0.000788846,-0.031335026,-0.278170526,0.268098712,0.277948171,0.265620023,0.277610093
14,279.977,1786883984902.444,18772720.379,0.000000000,0.000785842,-0.031382646,-0.304440558,0.288984656,0.302251816,0.287258685,0.302055538
15,299.984,1786883984922.452,18772740.387,0.000000000,0.000781576,-0.031404685,-0.339663535,0.319480598,0.335301906,0.318716109,0.335287184
16,319.977,1786883984942.445,18772760.380,0.000000000,0.000778960,-0.031379797,-0.366072357,0.344420016,0.360559374,0.344138712,0.360642016
17,339.978,1786883984962.446,18772780.381,0.000000000,0.000776235,-0.031330042,-0.392415524,0.370783746,0.386145771,0.370766908,0.386291593
18,359.977,1786883984982.445,18772800.379,0.000000000,0.000773170,-0.031267889,-0.418676496,0.398284554,0.411994964,0.398448706,0.412191451
19,379.978,1786883985002.446,18772820.380,0.000000000,0.000770159,-0.031200457,-0.444853961,0.426750422,0.438057005,0.427128643,0.438309133
20,399.977,1786883985022.445,18772840.380,0.000000000,0.000766265,-0.031095825,-0.479625016,0.465811998,0.473061949,0.466526359,0.473395258
21,419.979,1786883985042.446,18772860.381,0.000000000,0.000764381,-0.031040641,-0.496968210,0.485594600,0.490635753,0.486451507,0.491006255
22,439.977,1786883985062.445,18772880.380,0.000000000,0.000760748,-0.030917114,-0.531586885,0.525257707,0.525870979,0.526255071,0.526293755
23,459.977,1786883985082.445,18772900.380,0.000000000,0.000759102,-0.030853653,-0.548875153,0.545037389,0.543514132,0.545999229,0.543947279
24,479.978,1786883985102.446,18772920.381,0.000000000,0.000758397,-0.030730190,-0.583414316,0.584648430,0.578849494,0.585320771,0.579261661
25,499.976,1786883985122.444,18772940.379,0.000000000,0.000760006,-0.030639220,-0.609282434,0.614523947,0.605393767,0.614847720,0.605754137
26,519.983,1786883985142.451,18772960.386,0.000000000,0.000762552,-0.030549519,-0.635124385,0.644489169,0.631962836,0.644384623,0.632244110
27,539.982,1786883985162.449,18772980.384,0.000000000,0.000764762,-0.030461842,-0.669622362,0.683865249,0.667307854,0.683362484,0.667494714
28,559.983,1786883985182.450,18773000.385,0.000000000,0.000764776,-0.030431351,-0.686923921,0.703031898,0.684901476,0.702487469,0.685064554
29,580.003,1786883985202.471,18773020.406,0.000000000,0.000763008,-0.030366441,-0.721629739,0.740350366,0.719965100,0.739881873,0.720116019
30,599.980,1786883985222.448,18773040.383,0.000000000,0.000761313,-0.030310264,-0.747734368,0.767600954,0.746193647,0.767227113,0.746350288
31,619.976,1786883985242.443,18773060.378,0.000000000,0.000757760,-0.030222891,-0.782606721,0.803262651,0.781128585,0.803032041,0.781311035
32,639.978,1786883985262.446,18773080.381,0.000000000,0.000756159,-0.030177163,-0.800057173,0.820929050,0.798588991,0.820778668,0.798790693
33,659.975,1786883985282.443,18773100.378,0.000000000,0.000754007,-0.030079199,-0.834941685,0.856238723,0.833510399,0.856307924,0.833762586
34,679.980,1786883985302.448,18773120.383,0.000000000,0.000753669,-0.030029021,-0.852365196,0.873964489,0.850970328,0.874131322,0.851248503
35,699.977,1786883985322.444,18773140.379,0.000000000,0.000754836,-0.029917490,-0.887148023,0.909719586,0.885907710,0.910078883,0.886226952
36,719.976,1786883985342.444,18773160.379,0.000000000,0.000756052,-0.029828478,-0.913177133,0.936858058,0.912130177,0.937282026,0.912467539
37,739.980,1786883985362.447,18773180.382,0.000000000,0.000757710,-0.029740222,-0.939171791,0.964222193,0.938365519,0.964571714,0.938704610
38,759.978,1786883985382.446,18773200.381,0.000000000,0.000760722,-0.029628251,-0.973794699,1.000897169,0.973341763,1.000970364,0.973657548
39,779.980,1786883985402.448,18773220.383,0.000000000,0.000763963,-0.029551795,-0.999726951,1.028441906,0.999535918,1.028240681,0.999814391
40,799.977,1786883985422.445,18773240.380,0.000000000,0.000767662,-0.029493064,-1.025631785,1.055789351,1.025646210,1.055366516,1.025877357
41,819.977,1786883985442.445,18773260.380,0.000000000,0.000770907,-0.029448394,-1.051535249,1.082745194,1.051657438,1.082183003,1.051841021
42,839.979,1786883985462.447,18773280.381,0.000000000,0.000772077,-0.029396417,-1.086127996,1.117990375,1.086235762,1.117350817,1.086376429
43,859.980,1786883985482.447,18773300.382,0.000000000,0.000771849,-0.029367730,-1.103456974,1.135388851,1.103509784,1.134731054,1.103639722
44,879.976,1786883985502.443,18773320.379,0.000000000,0.000770230,-0.029307257,-1.138191462,1.169842124,1.138072371,1.169232368,1.138205528
45,899.985,1786883985522.453,18773340.388,0.000000000,0.000768656,-0.029263495,-1.164294124,1.195375204,1.163995624,1.194965959,1.164156675
46,919.976,1786883985542.444,18773360.379,0.000000000,0.000768775,-0.029199671,-1.199087858,1.229243398,1.198513627,1.229158163,1.198738813
47,939.977,1786883985562.445,18773380.379,0.000000000,0.000770357,-0.029162576,-1.216457367,1.246212959,1.215754628,1.246258497,1.216007590
48,959.979,1786883985582.447,18773400.382,0.000000000,0.000775297,-0.029082194,-1.251121759,1.280281663,1.250202179,1.280509830,1.250484824
49,979.979,1786883985602.447,18773420.382,0.000000000,0.000779089,-0.029021217,-1.277064681,1.305902243,1.276007652,1.306202412,1.276297569
50,999.977,1786883985622.445,18773440.380,0.000000000,0.000782372,-0.028959071,-1.302970052,1.331571221,1.301789165,1.331890225,1.302086353
51,1019.978,1786883985642.446,18773460.381,0.000000000,0.000786928,-0.028870512,-1.337463021,1.365534663,1.336148381,1.365768194,1.336451292
52,1039.977,1786883985662.445,18773480.380,0.000000000,0.000790057,-0.028801924,-1.363315225,1.389980316,1.361927867,1.390079975,1.362229228
53,1059.978,1786883985682.446,18773500.381,0.000000000,0.000792452,-0.028734025,-1.389168262,1.412900448,1.387728572,1.412843943,1.388021111
54,1079.977,1786883985702.445,18773520.380,0.000000000,0.000794139,-0.028667884,-1.415031910,1.433880925,1.413555264,1.433670878,1.413832426
55,1099.976,1786883985722.443,18773540.378,0.000000000,0.000795705,-0.028582117,-1.449524045,1.458371639,1.448011756,1.457989097,1.448266745
56,1119.984,1786883985742.452,18773560.387,0.000000000,0.000796347,-0.028540336,-1.466774225,1.469030380,1.465248585,1.468584418,1.465491652
57,1139.978,1786883985762.446,18773580.380,0.000000000,0.000797695,-0.028460208,-1.501294732,1.487135649,1.499748945,1.486607671,1.499964237
58,1159.977,1786883985782.445,18773600.379,0.000000000,0.000798441,-0.028402664,-1.527158022,1.497968674,1.525614738,1.497422218,1.525808454
59,1179.975,1786883985802.442,18773620.377,0.000000000,0.000799393,-0.028327500,-1.560663581,1.509012699,1.559191585,1.508491158,1.559350729
60,1199.978,1786883985822.446,18773640.380,0.000000000,0.000799843,-0.028290741,-1.576569796,1.513194561,1.575155854,1.512706876,1.575296044
61,1219.985,1786883985842.453,18773660.388,0.000000000,0.000800970,-0.028214972,-1.605998755,1.519225955,1.604734421,1.518832207,1.604834318
62,1239.979,1786883985862.447,18773680.382,0.000000000,0.000801976,-0.028156722,-1.625624299,1.521972895,1.624490380,1.521660209,1.624563098
