index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_wx,base_wy,base_wz
0,0.000,1786884122206.493,18910024.428,0.000000000,0.005460182,-0.001885161,0.003166719
1,19.975,1786884122226.468,18910044.403,0.000000000,-0.754030108,1.782536387,0.334626138
2,39.982,1786884122246.475,18910064.410,0.000000000,-1.321240306,1.413683414,0.405569017
3,59.981,1786884122266.474,18910084.409,0.000000000,-0.744668305,0.960200608,1.067326069
4,79.974,1786884122286.467,18910104.402,0.000000000,-0.396568894,1.038930058,1.296565652
5,99.976,1786884122306.469,18910124.404,0.000000000,-1.190308094,1.187903404,0.853361428
6,119.973,1786884122326.467,18910144.402,0.000000000,-1.509280920,-0.034401618,-0.839856565
7,139.977,1786884122346.470,18910164.405,0.000000000,-1.297149539,-1.983486891,-1.162236452
8,159.973,1786884122366.466,18910184.401,0.000000000,-0.389373779,-1.750911713,-1.293703675
9,179.976,1786884122386.469,18910204.404,0.000000000,0.003057559,0.157144606,0.440802068
10,199.974,1786884122406.468,18910224.402,0.000000000,3.238434076,-0.086988501,0.670223057
11,219.978,1786884122426.471,18910244.406,0.000000000,3.052811861,1.314647198,-0.625771165
12,239.972,1786884122446.466,18910264.400,0.000000000,0.940343261,2.051870346,0.352121830
13,259.979,1786884122466.472,18910284.407,0.000000000,-1.452036738,1.758294702,1.406931162
14,279.979,1786884122486.472,18910304.407,0.000000000,-3.180383205,1.466898680,0.949324608
15,299.972,1786884122506.465,18910324.400,0.000000000,-0.692087531,0.431786388,0.320233256
16,319.973,1786884122526.466,18910344.401,0.000000000,-0.410445333,1.853567481,0.543568969
17,339.970,1786884122546.463,18910364.398,0.000000000,-1.988257885,2.642802238,1.667500734
18,359.981,1786884122566.474,18910384.409,0.000000000,-2.060902119,1.530213594,1.804481149
19,379.971,1786884122586.464,18910404.399,0.000000000,-0.667804480,-0.955746293,1.048793435
20,399.976,1786884122606.469,18910424.404,0.000000000,-0.022181895,-1.347836018,0.439314336
21,419.998,1786884122626.491,18910444.426,0.000000000,1.773597598,-1.834435225,-1.089327812
22,439.979,1786884122646.472,18910464.407,0.000000000,1.700561285,-0.399122745,-2.126107454
23,459.971,1786884122666.464,18910484.399,0.000000000,1.551824212,0.028677151,-3.051868916
24,479.973,1786884122686.466,18910504.401,0.000000000,1.236967087,-0.074604139,-3.039186239
25,499.979,1786884122706.473,18910524.407,0.000000000,0.352812111,0.056024063,-2.298761129
26,519.974,1786884122726.467,18910544.402,0.000000000,0.319396734,0.215875715,-1.635324359
27,539.979,1786884122746.472,18910564.407,0.000000000,-0.079886034,-0.140832409,-0.511994958
28,560.008,1786884122766.501,18910584.436,0.000000000,-0.011203613,-0.356658936,0.523965418
29,579.979,1786884122786.472,18910604.407,0.000000000,0.155298099,-0.342641026,0.789781511
30,599.974,1786884122806.467,18910624.402,0.000000000,-0.536730528,-0.340521693,0.361037970
31,619.979,1786884122826.472,18910644.407,0.000000000,-0.281475991,-0.276945472,0.514571488
32,639.972,1786884122846.465,18910664.400,0.000000000,-0.111644410,0.394983441,0.374542505
33,659.971,1786884122866.464,18910684.399,0.000000000,0.073446557,0.394544691,-0.109589756
34,679.975,1786884122886.468,18910704.403,0.000000000,-0.149185792,-0.604204714,-0.730742514
35,699.973,1786884122906.466,18910724.401,0.000000000,-0.160505071,-0.294072717,-1.192091346
36,719.973,1786884122926.467,18910744.401,0.000000000,0.363838464,-0.091194823,-1.547992229
37,739.973,1786884122946.466,18910764.401,0.000000000,1.203440070,-0.600358725,-1.575051546
38,759.976,1786884122966.469,18910784.405,0.000000000,0.365415156,-0.813850343,-1.036803126
