index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_qw,base_qx,base_qy,base_qz
0,0.000,1786884122206.493,18910024.428,0.000000000,0.999936759,-0.002846371,0.010879869,-0.000060942
1,19.975,1786884122226.468,18910044.403,0.000000000,0.999596953,-0.006124557,0.027695078,0.001192224
2,39.982,1786884122246.475,18910064.410,0.000000000,0.999302506,-0.012099649,0.035171546,0.003324025
3,59.981,1786884122266.474,18910084.409,0.000000000,0.998649657,-0.022898003,0.044809751,0.012909027
4,79.974,1786884122286.467,18910104.402,0.000000000,0.998013794,-0.024969932,0.053582828,0.021768987
5,99.976,1786884122306.469,18910124.404,0.000000000,0.997085929,-0.031050812,0.062721968,0.030355809
6,119.973,1786884122326.467,18910144.402,0.000000000,0.996203184,-0.045937948,0.067017481,0.031266291
7,139.977,1786884122346.470,18910164.405,0.000000000,0.996341348,-0.053344373,0.061532993,0.025922745
8,159.973,1786884122366.466,18910184.401,0.000000000,0.997049749,-0.061882589,0.043240927,0.013875529
9,179.976,1786884122386.469,18910204.404,0.000000000,0.997372210,-0.062709130,0.035417970,0.007863460
10,199.974,1786884122406.468,18910224.402,0.000000000,0.998264134,-0.042712528,0.037544440,0.015321660
11,219.978,1786884122426.471,18910244.406,0.000000000,0.998752296,-0.025815018,0.040337801,0.014154259
12,239.972,1786884122446.466,18910264.400,0.000000000,0.998255014,-0.005457602,0.057320356,0.013095348
13,259.979,1786884122466.472,18910284.407,0.000000000,0.997542083,-0.010204324,0.066299275,0.020251162
14,279.979,1786884122486.472,18910304.407,0.000000000,0.994999945,-0.039545912,0.084041253,0.036718857
15,299.972,1786884122506.465,18910324.400,0.000000000,0.993731737,-0.050766852,0.089364216,0.043977067
16,319.973,1786884122526.466,18910344.401,0.000000000,0.992764711,-0.052336726,0.097958498,0.045642637
17,339.970,1786884122546.463,18910364.398,0.000000000,0.988802731,-0.064595513,0.121445388,0.057858758
18,359.981,1786884122566.474,18910384.409,0.000000000,0.986139357,-0.075078808,0.131483763,0.067855410
19,379.971,1786884122586.464,18910404.399,0.000000000,0.984012425,-0.086243361,0.131282181,0.083944201
20,399.976,1786884122606.469,18910424.404,0.000000000,0.984500408,-0.086207196,0.125200510,0.087476410
21,419.998,1786884122626.491,18910444.426,0.000000000,0.987779319,-0.073453322,0.110285126,0.082059823
22,439.979,1786884122646.472,18910464.407,0.000000000,0.990864217,-0.060055435,0.098734304,0.069519281
23,459.971,1786884122666.464,18910484.399,0.000000000,0.993211150,-0.047136672,0.097620502,0.042189632
24,479.973,1786884122686.466,18910504.401,0.000000000,0.994119167,-0.041323841,0.096687175,0.025904411
25,499.979,1786884122706.473,18910524.407,0.000000000,0.994750202,-0.036679763,0.095531523,-0.000627093
26,519.974,1786884122726.467,18910544.402,0.000000000,0.994593859,-0.035479840,0.096364647,-0.015429731
27,539.979,1786884122746.472,18910564.407,0.000000000,0.994479001,-0.035887070,0.096115656,-0.022031290
28,560.008,1786884122766.501,18910584.436,0.000000000,0.994791269,-0.035810962,0.093159057,-0.020719154
29,579.979,1786884122786.472,18910604.407,0.000000000,0.995032012,-0.035385478,0.091500498,-0.016937479
30,599.974,1786884122806.467,18910624.402,0.000000000,0.995301604,-0.038208161,0.088285781,-0.010977189
31,619.979,1786884122826.472,18910644.407,0.000000000,0.995373189,-0.039738704,0.087074459,-0.008430469
32,639.972,1786884122846.465,18910664.400,0.000000000,0.995211184,-0.040593073,0.088852674,-0.003483229
33,659.971,1786884122866.464,18910684.399,0.000000000,0.995031536,-0.040467396,0.090896025,-0.003536234
34,679.975,1786884122886.468,18910704.403,0.000000000,0.995274425,-0.041542977,0.087392122,-0.008097700
35,699.973,1786884122906.466,18910724.401,0.000000000,0.995514631,-0.043156002,0.082658350,-0.015991656
36,719.973,1786884122926.467,18910744.401,0.000000000,0.995407462,-0.043050986,0.081233673,-0.026678266
37,739.973,1786884122946.466,18910764.401,0.000000000,0.995471954,-0.034743764,0.076310255,-0.044779841
38,759.976,1786884122966.469,18910784.405,0.000000000,0.995583892,-0.032275673,0.072122276,-0.050688658
39,780.017,1786884122986.510,18910804.445,0.000000000,0.995630443,-0.034846999,0.068174630,-0.053459946
40,799.980,1786884123006.473,18910824.408,0.000000000,0.995680273,-0.037870821,0.067078546,-0.051836863
41,819.975,1786884123026.468,18910844.403,0.000000000,0.996306300,-0.039934702,0.057769813,-0.049412433
42,839.989,1786884123046.482,18910864.417,0.000000000,0.996804118,-0.040745884,0.050630610,-0.046452612
43,859.979,1786884123066.472,18910884.407,0.000000000,0.997014701,-0.043108411,0.047125202,-0.043388434
44,879.971,1786884123086.464,18910904.399,0.000000000,0.996997178,-0.044649430,0.045033593,-0.044440802
45,899.973,1786884123106.467,18910924.401,0.000000000,0.996938884,-0.044155780,0.041367728,-0.049516216
46,919.970,1786884123126.463,18910944.398,0.000000000,0.996943712,-0.042566113,0.043285385,-0.049170312
47,939.976,1786884123146.469,18910964.404,0.000000000,0.997007608,-0.041222472,0.044849232,-0.047593366
48,959.974,1786884123166.467,18910984.402,0.000000000,0.996990144,-0.039907161,0.045794960,-0.048175499
49,979.977,1786884123186.470,18911004.405,0.000000000,0.996914029,-0.039726593,0.046623927,-0.049095564
50,999.975,1786884123206.468,18911024.403,0.000000000,0.996720731,-0.038791955,0.048360493,-0.052002005
51,1019.987,1786884123226.480,18911044.415,0.000000000,0.996469200,-0.036367252,0.049930956,-0.056863710
52,1039.985,1786884123246.478,18911064.413,0.000000000,0.996190965,-0.034517918,0.049316637,-0.063087255
53,1059.980,1786884123266.473,18911084.408,0.000000000,0.996014774,-0.034288216,0.046815462,-0.067729257
54,1080.013,1786884123286.506,18911104.441,0.000000000,0.996065557,-0.034214735,0.041419122,-0.070478261
55,1099.982,1786884123306.475,18911124.410,0.000000000,0.996185899,-0.034075260,0.038684692,-0.070399359
56,1119.974,1786884123326.467,18911144.402,0.000000000,0.996496439,-0.032780480,0.037409052,-0.067237563
57,1139.983,1786884123346.476,18911164.411,0.000000000,0.996826291,-0.032971434,0.039433021,-0.060788289
58,1159.976,1786884123366.469,18911184.404,0.000000000,0.997324526,-0.033475976,0.041228641,-0.050232563
59,1179.975,1786884123386.469,18911204.403,0.000000000,0.997670829,-0.033156052,0.041798260,-0.042503580
60,1199.980,1786884123406.473,18911224.408,0.000000000,0.997798622,-0.032877009,0.043640368,-0.037583753
61,1220.005,1786884123426.498,18911244.433,0.000000000,0.997819126,-0.029812170,0.044882953,-0.038128465
62,1239.982,1786884123446.475,18911264.411,0.000000000,0.997806132,-0.027263150,0.044900376,-0.040293973
63,1260.012,1786884123466.505,18911284.440,0.000000000,0.997883856,-0.024559740,0.044163819,-0.040917028
64,1279.982,1786884123486.475,18911304.410,0.000000000,0.997904420,-0.023188286,0.044055652,-0.041329518
65,1299.994,1786884123506.487,18911324.422,0.000000000,0.997860134,-0.022881880,0.043051921,-0.043567080
66,1319.978,1786884123526.471,18911344.406,0.000000000,0.997861087,-0.024510784,0.042994950,-0.042707320
67,1340.008,1786884123546.501,18911364.436,0.000000000,0.997988045,-0.029921098,0.044117063,-0.034326788
68,1359.980,1786884123566.473,18911384.408,0.000000000,0.998075306,-0.035045933,0.044792593,-0.024719417
69,1379.975,1786884123586.468,18911404.403,0.000000000,0.997991383,-0.038672615,0.046947997,-0.017706607
70,1399.974,1786884123606.468,18911424.402,0.000000000,0.997904897,-0.040182035,0.048859291,-0.013562182
71,1419.975,1786884123626.468,18911444.403,0.000000000,0.997856677,-0.038369767,0.052374311,-0.008166580
72,1439.971,1786884123646.465,18911464.400,0.000000000,0.997768283,-0.036778189,0.055447988,-0.005594874
73,1459.974,1786884123666.468,18911484.402,0.000000000,0.997735381,-0.035377458,0.056756090,-0.007165871
74,1479.972,1786884123686.466,18911504.400,0.000000000,0.997833908,-0.032669023,0.055252921,-0.014397346
75,1499.981,1786884123706.474,18911524.409,0.000000000,0.997891068,-0.032115351,0.053513184,-0.017842816
76,1519.978,1786884123726.470,18911544.406,0.000000000,0.997875810,-0.032189909,0.050921835,-0.024792263
77,1539.981,1786884123746.474,18911564.409,0.000000000,0.997820079,-0.032747783,0.049398098,-0.029025802
78,1559.978,1786884123766.471,18911584.406,0.000000000,0.997681439,-0.033894230,0.047607809,-0.034877297
79,1579.979,1786884123786.472,18911604.407,0.000000000,0.997683227,-0.036594484,0.046496306,-0.033572804
80,1599.977,1786884123806.470,18911624.405,0.000000000,0.997797489,-0.040016953,0.044959933,-0.027883057
81,1619.982,1786884123826.475,18911644.410,0.000000000,0.997815132,-0.042118371,0.044632159,-0.024473285
82,1639.975,1786884123846.469,18911664.403,0.000000000,0.997692823,-0.047748223,0.043692067,-0.020495996
83,1659.972,1786884123866.466,18911684.400,0.000000000,0.997742772,-0.048182186,0.042205598,-0.020163374
84,1679.988,1786884123886.480,18911704.416,0.000000000,0.997887850,-0.044267070,0.044089004,-0.017788621
85,1699.983,1786884123906.476,18911724.411,0.000000000,0.997919321,-0.042336468,0.046093915,-0.015492200
86,1719.979,1786884123926.473,18911744.407,0.000000000,0.997871816,-0.041887265,0.047496110,-0.015537165
87,1739.976,1786884123946.469,18911764.404,0.000000000,0.997826636,-0.040874884,0.047321498,-0.020783463
88,1759.977,1786884123966.470,18911784.405,0.000000000,0.997766197,-0.040802538,0.046944283,-0.024371076
89,1779.972,1786884123986.465,18911804.400,0.000000000,0.997557342,-0.039125394,0.048157763,-0.032083981
90,1799.981,1786884124006.474,18911824.409,0.000000000,0.997398674,-0.038466316,0.049449433,-0.035650324
91,1819.974,1786884124026.467,18911844.402,0.000000000,0.997020841,-0.036653567,0.051889472,-0.043743074
92,1839.989,1786884124046.483,18911864.417,0.000000000,0.996850014,-0.036046900,0.052257534,-0.047537737
93,1859.979,1786884124066.472,18911884.407,0.000000000,0.996881664,-0.035325244,0.051515132,-0.048221517
94,1879.993,1786884124086.486,18911904.421,0.000000000,0.996947706,-0.034799792,0.051528044,-0.047213197
95,1900.006,1786884124106.499,18911924.434,0.000000000,0.997101426,-0.033609699,0.051992141,-0.044225823
96,1919.994,1786884124126.487,18911944.422,0.000000000,0.997224092,-0.032549202,0.052390333,-0.041712455
97,1939.979,1786884124146.473,18911964.408,0.000000000,0.997342050,-0.031176103,0.052592535,-0.039635316
98,1960.006,1786884124166.499,18911984.434,0.000000000,0.997466683,-0.029015347,0.052738409,-0.037907548
99,1979.986,1786884124186.479,18912004.414,0.000000000,0.997511446,-0.028059555,0.052829687,-0.037317835
100,1999.988,1786884124206.481,18912024.416,0.000000000,0.997560263,-0.026656892,0.053313933,-0.036338869
101,2019.985,1786884124226.478,18912044.413,0.000000000,0.997572660,-0.025765445,0.053800836,-0.035922237
102,2039.977,1786884124246.470,18912064.405,0.000000000,0.997573853,-0.024664767,0.054593969,-0.035462301
103,2059.975,1786884124266.468,18912084.403,0.000000000,0.997570872,-0.024191866,0.054985043,-0.035266407
104,2080.011,1786884124286.504,18912104.439,0.000000000,0.997556329,-0.023546616,0.055561047,-0.035211895
105,2100.004,1786884124306.497,18912124.432,0.000000000,0.997547388,-0.023279712,0.055797499,-0.035269786
