index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
0,0.000,1786884122206.493,18910024.428,0.000000000,-3.662384272,-0.129785299,0.073321536,1.471091032,-0.164956018,-0.000629962,-3.596858263,-0.108399518,0.020587061,1.471679926,-0.164979711,-0.000747820,0.512358606,6.782208443,-13.509943962,2.578848124,-0.353451997,-0.533360481,-0.544052243,0.171138287,-0.129925549,-0.273292154,1.973833799,-2.256403446,-0.810494363,-0.702900946,-0.040171985,-0.280690074,-0.207681164
1,19.975,1786884122226.468,18910044.403,0.000000000,-12.575449944,29.672756195,-19.019996643,-7.963402271,1.425502062,0.305957258,43.636863708,-7.981828690,0.126728699,22.721303940,3.324484587,0.254342049,16.753496170,-0.501399338,-13.657464027,4.268737793,-0.150527403,-0.911636770,-1.161482215,1.745052338,-0.083753578,-0.045024987,-7.532127380,-0.232544154,0.490942985,-3.215726137,-0.618072927,-0.528154254,-0.385282904
2,39.982,1786884122246.475,18910064.410,0.000000000,-18.294992447,25.197259903,-12.947029114,-6.981507778,-0.178171352,0.194673583,34.730739594,-11.025734901,3.244505405,12.961982727,1.020953894,0.159753978,15.615776062,-2.509291172,-15.120864868,4.126045704,-0.076081738,-0.425700277,-0.576655984,0.564601064,-0.285282820,-0.078181855,-7.401923656,0.063256659,0.414371908,-3.154899836,-0.305907935,-0.937540531,-0.090660006
3,59.981,1786884122266.474,18910084.409,0.000000000,-37.007194519,20.416797638,-9.356120110,-8.922892570,-2.551079750,0.140532687,57.329162598,-45.463115692,33.605915070,5.279134750,-0.976031959,-1.141111732,15.068278313,4.300894260,-28.178411484,6.464036465,-0.573440909,-1.057021022,-1.618413568,-0.156885087,-0.614902496,-0.035051513,-16.722127914,-2.641351700,-1.989415765,-12.508197784,-0.688255548,-3.779247046,-0.107365891
4,79.974,1786884122286.467,18910104.402,0.000000000,-14.932540894,15.197762489,23.521368027,-11.420122147,-0.196667656,-1.541364908,41.753437042,-16.590751648,-9.221736908,12.537416458,7.661031246,-0.244752854,6.331740379,13.822068214,-24.277330399,4.183046341,-0.524226725,0.536766350,-3.194130182,-0.103765510,-0.205225885,-0.566101432,-19.222736359,-5.016224861,-4.038618088,-18.838743210,-0.720326662,-4.765209198,-0.076329529
5,99.976,1786884122306.469,18910124.404,0.000000000,27.774116516,-17.039222717,14.837327957,1.339848280,0.995298386,-0.020526405,-9.605699539,20.047897339,-19.469480515,4.176602840,-0.184300929,1.129721284,0.470683753,18.068260193,-16.738443375,-0.449815243,-0.582761765,0.449517936,-3.274525404,-0.782576919,-0.870947838,-0.170713648,-18.878084183,-4.416088581,-3.861780167,-16.268203735,-0.348275065,-5.000000000,-0.967763364
6,119.973,1786884122326.467,18910144.402,0.000000000,40.171699524,-19.204597473,5.209869862,9.552530289,1.797601938,0.223942623,-44.385066986,22.506359100,-11.530884743,-10.065586090,-3.127983093,0.354042381,-4.894511700,11.245299339,-3.081513882,-4.867904663,-0.048915967,-0.161820158,-1.826938987,-0.710196495,-0.977171719,-0.112250187,-12.252625465,-2.012530327,-0.150592059,-7.738842010,0.046925049,-5.000000000,-0.830288172
7,139.977,1786884122346.470,18910164.405,0.000000000,37.588241577,-14.010959625,7.896014214,6.699332237,16.743150711,-2.084693193,-20.709846497,8.519143105,-7.692560673,-23.035999298,-0.273034662,0.376180202,-12.022735596,-1.407142401,13.693618774,-7.660512447,0.866046607,-0.194257513,-1.072347403,0.156304255,-1.070971489,0.017557573,-2.010010719,0.193180457,4.458649158,0.695821285,0.445910186,-5.000000000,-0.542958856
8,159.973,1786884122366.466,18910184.401,0.000000000,10.174192429,-3.033001900,1.843900442,10.312969208,3.387921095,-0.249461874,-33.386077881,3.806443453,-1.198240876,-14.775618553,-0.829123199,0.143153548,-11.670933723,-10.606577873,14.353474617,-8.482837677,2.067425728,0.237156585,-0.144997835,0.641388774,-0.283911586,0.201280117,8.912627220,3.012096405,4.601529598,5.567183018,-0.090789661,-0.492958248,0.965327561
9,179.976,1786884122386.469,18910204.404,0.000000000,-42.251186371,-17.374710083,-13.708402634,60.599681854,-16.332504272,-0.960024476,-24.283075333,-22.148513794,2.791718721,-36.412712097,-1.690932631,-1.637422562,-3.372719288,-26.366880417,28.127698898,-8.435523987,4.196701050,3.042246342,1.666893482,0.799730599,0.049032584,0.991053879,11.053143501,5.477709293,2.763315678,8.618904114,-0.411573559,1.403462172,0.716928959
10,199.974,1786884122406.468,18910224.402,0.000000000,-64.407318115,8.586078644,-7.203109741,-9.402392387,-1.374327779,0.344822437,15.226240158,-23.786115646,20.801631927,-4.330929279,0.557082534,-0.653794885,17.573747635,-29.194328308,42.257987976,-4.192550659,4.820722580,5.321880341,3.722047329,0.201008916,1.084346414,1.500016093,6.933197021,4.479948521,4.317136765,7.775221825,-0.092691898,3.639146090,1.415096879
11,219.978,1786884122426.471,18910244.406,0.000000000,-44.021633148,45.500328064,-10.336506844,-71.846115112,8.561189651,0.187741950,-5.066989422,26.786487579,-6.970173359,-1.042268991,19.370161057,1.897169948,13.379983902,-21.507686615,12.478076935,-0.716829002,4.344176292,3.811022997,1.833058953,2.086161613,1.091048837,1.955139995,4.276896477,-0.540833354,5.973713875,2.599581003,0.554872215,3.487462997,1.311006665
12,239.972,1786884122446.466,18910264.400,0.000000000,19.435800552,6.972787857,-7.502774715,-37.235149384,3.123216867,0.509681523,-12.133718491,40.928199768,-26.590547562,-0.262577444,-6.999054909,1.130411148,6.440958977,-6.499981403,-13.038214684,0.152173832,-0.077903621,1.673883438,-3.781280756,0.397721618,0.003489312,1.286638379,1.890461683,-2.048557281,1.377761364,-3.378936052,0.407673389,0.735486150,1.386244535
13,259.979,1786884122466.472,18910284.407,0.000000000,35.149879456,-18.938634872,14.894147873,-46.311920166,8.477075577,-1.306136012,-13.529921532,39.822807312,-15.877163887,-15.275018692,42.941425323,-7.156614780,7.676356792,13.017202377,-19.282640457,3.322628736,-3.006649494,-1.084400415,-4.739517689,1.446872473,-1.058396459,0.720547676,1.175110579,-1.789490938,-1.322124839,-3.460919619,-0.670980155,-0.896761537,1.090785265
14,279.979,1786884122486.472,18910304.407,0.000000000,68.992858887,-30.231273651,28.601993561,39.917812347,6.239831448,-0.906790733,-28.019123077,8.626626968,-7.435720444,-16.208721161,50.000000000,-13.793152809,-6.309708595,11.885750771,-29.566606522,0.993614078,-0.497008651,-1.246489763,-6.222657204,0.270630568,-1.830081344,-0.227356642,2.042667389,1.141557336,0.282046586,-1.490053415,-0.752977848,-0.928456783,0.067360140
15,299.972,1786884122506.465,18910324.400,0.000000000,88.000000000,-17.669826508,38.719902039,-21.807504654,50.000000000,11.304663658,-38.574359894,27.407623291,1.926328182,-25.968664169,50.000000000,-18.903419495,-8.951041222,7.760812759,-35.657279968,-0.576289892,1.636500716,-0.389443696,-7.299781322,-0.365241915,-1.782177210,-0.408668339,5.597309589,0.905809283,1.639419556,-2.244627953,-0.461575806,-0.462706417,-0.023525447
16,319.973,1786884122526.466,18910344.401,0.000000000,88.000000000,-6.562490463,27.668659210,-76.201614380,50.000000000,11.746413231,-38.056865692,52.943325043,-28.646682739,-15.229060173,50.000000000,-8.652441978,-13.133614540,22.521810532,-43.245677948,-0.546203852,2.064092398,-0.714588463,-10.194956779,0.049743265,-2.608940840,-0.081306048,4.595150948,-1.265813589,0.152724549,-5.631172657,0.132980257,-0.991248310,0.226310864
17,339.970,1786884122546.463,18910364.398,0.000000000,88.000000000,1.137990952,28.694980621,-85.282348633,49.894577026,5.226045132,-30.943552017,55.400959015,-32.296161652,-2.965450048,40.077239990,-6.077593803,-11.575312614,33.055324554,-39.786716461,-0.486924320,2.148105621,-0.493572176,-10.449048042,-0.320207417,-3.450127840,0.244614080,2.809093475,-3.293795824,-1.970711827,-5.510009289,0.253531009,-1.713926554,-0.252447546
