index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_ax,base_ay,base_az
0,0.000,1786884190706.506,18978524.441,0.000000000,4.717290401,2.077583790,-11.415629387
1,20.002,1786884190726.508,18978544.443,0.000000000,7.042994499,-0.054800544,-27.771442413
2,39.996,1786884190746.502,18978564.437,0.000000000,4.780232906,-3.054473639,-10.500496864
3,59.995,1786884190766.500,18978584.436,0.000000000,5.783613682,-0.586246789,-10.667217255
4,79.999,1786884190786.504,18978604.439,0.000000000,4.126607418,4.637531281,-12.601557732
5,100.015,1786884190806.521,18978624.456,0.000000000,-3.735012054,5.856525898,-9.135022163
6,120.007,1786884190826.513,18978644.448,0.000000000,-3.740033865,8.041462898,-10.991694450
7,140.017,1786884190846.522,18978664.458,0.000000000,-18.977861404,-0.619994044,1.954814076
8,160.018,1786884190866.524,18978684.459,0.000000000,-3.599322557,-7.539668083,-8.813592911
9,180.017,1786884190886.522,18978704.458,0.000000000,-5.116001129,-7.352980137,-7.424038887
10,200.008,1786884190906.514,18978724.449,0.000000000,3.236507177,7.242120743,-32.496749878
11,220.003,1786884190926.509,18978744.444,0.000000000,-16.980672836,-12.136242867,-9.432325363
12,240.006,1786884190946.512,18978764.447,0.000000000,-11.932130814,-7.916941643,-0.621974111
13,260.006,1786884190966.511,18978784.447,0.000000000,23.095140457,12.455181122,7.653713226
14,280.011,1786884190986.517,18978804.452,0.000000000,-7.835566044,-3.988268137,25.236970901
15,299.999,1786884191006.505,18978824.440,0.000000000,6.218295574,-3.259356737,23.342342377
16,319.992,1786884191026.498,18978844.433,0.000000000,18.576400757,5.345622063,13.177795410
17,339.992,1786884191046.498,18978864.433,0.000000000,5.945776939,2.417356253,20.939249039
18,359.992,1786884191066.498,18978884.433,0.000000000,3.461552143,1.451147556,19.069433212
19,379.997,1786884191086.503,18978904.438,0.000000000,5.507719517,1.649118185,9.658169746
20,399.993,1786884191106.499,18978924.434,0.000000000,-1.531108618,2.728616953,5.091847420
21,419.993,1786884191126.499,18978944.434,0.000000000,-11.641168594,-3.504068375,4.000046253
22,439.990,1786884191146.496,18978964.431,0.000000000,-0.361148447,-5.066217899,-2.929247141
23,459.997,1786884191166.503,18978984.438,0.000000000,12.310469627,3.097366333,-0.630169809
24,479.992,1786884191186.498,18979004.433,0.000000000,5.826845169,-1.696058750,1.243759990
25,499.991,1786884191206.498,18979024.432,0.000000000,4.779645443,-0.799022079,-0.892655432
26,519.991,1786884191226.497,18979044.432,0.000000000,1.476385713,-0.099311925,-1.397920728
27,539.992,1786884191246.498,18979064.433,0.000000000,-0.228134975,-5.977049351,1.505973697
28,559.993,1786884191266.499,18979084.434,0.000000000,4.652090073,1.568324089,-7.149529457
29,579.990,1786884191286.496,18979104.431,0.000000000,1.865854144,0.175664738,-2.907376528
30,599.995,1786884191306.501,18979124.436,0.000000000,-6.521006107,-0.733162463,7.907024384
31,619.991,1786884191326.497,18979144.432,0.000000000,-7.459288120,-1.106764197,5.532170773
32,640.002,1786884191346.508,18979164.443,0.000000000,-6.501815319,-1.192882061,4.898733139
33,659.994,1786884191366.500,18979184.435,0.000000000,-5.464951992,3.278350115,2.556574583
34,679.995,1786884191386.500,18979204.436,0.000000000,2.522196770,6.210702419,-5.179841042
35,699.997,1786884191406.503,18979224.438,0.000000000,-0.466655791,1.711134672,-2.844967842
36,719.994,1786884191426.500,18979244.434,0.000000000,6.821475506,-1.102689981,-6.790489197
37,740.000,1786884191446.506,18979264.441,0.000000000,9.780441284,-1.958286166,-4.773920059
38,760.001,1786884191466.507,18979284.442,0.000000000,3.135867834,-0.904597640,2.358427525
39,779.995,1786884191486.501,18979304.436,0.000000000,-2.122738361,1.431382179,1.233219028
40,799.993,1786884191506.499,18979324.434,0.000000000,-0.189128667,1.545156598,-1.695813298
41,819.995,1786884191526.501,18979344.436,0.000000000,0.753333747,-3.131267071,-5.195954323
42,839.992,1786884191546.498,18979364.433,0.000000000,3.153581619,1.030777097,-9.863792419
43,860.007,1786884191566.513,18979384.448,0.000000000,-7.555849075,-6.048171997,5.079392910
44,880.006,1786884191586.512,18979404.447,0.000000000,-4.857687473,-1.859135509,4.234867573
45,899.995,1786884191606.501,18979424.436,0.000000000,-5.789672852,-1.884325624,3.324383020
46,919.997,1786884191626.502,18979444.437,0.000000000,-4.063024998,0.345971853,1.396406412
47,939.994,1786884191646.500,18979464.435,0.000000000,0.068864755,1.869910479,-1.546875715
48,959.996,1786884191666.502,18979484.437,0.000000000,1.056694150,1.716524243,-2.809192419
49,979.992,1786884191686.498,18979504.433,0.000000000,1.150333524,-0.651499629,-4.139939308
50,999.994,1786884191706.500,18979524.435,0.000000000,1.661640048,0.539353073,0.561774731
51,1019.992,1786884191726.498,18979544.433,0.000000000,2.332867146,0.166434288,3.078187466
52,1039.993,1786884191746.499,18979564.434,0.000000000,-4.331909657,-0.643055797,5.325361252
53,1059.992,1786884191766.498,18979584.433,0.000000000,-1.285376549,0.215744019,1.858191133
54,1080.007,1786884191786.512,18979604.447,0.000000000,-2.861880541,-0.624427855,2.430422544
55,1100.000,1786884191806.505,18979624.440,0.000000000,-1.215636969,-0.655727565,1.096954942
56,1120.003,1786884191826.509,18979644.444,0.000000000,-0.195981532,-0.297050118,-0.221485034
57,1139.997,1786884191846.503,18979664.438,0.000000000,-0.574593723,-0.124979593,-0.422475725
58,1159.992,1786884191866.498,18979684.433,0.000000000,-1.151197553,0.098042168,-0.808623910
59,1179.993,1786884191886.499,18979704.434,0.000000000,-0.577902436,0.212397605,-1.640955567
60,1199.995,1786884191906.500,18979724.436,0.000000000,-0.057491031,0.187751517,-2.012918711
61,1219.992,1786884191926.498,18979744.433,0.000000000,-0.320734560,0.215759546,-1.761625886
62,1239.991,1786884191946.497,18979764.432,0.000000000,-0.456891268,0.099915750,-0.982622206
63,1259.996,1786884191966.502,18979784.437,0.000000000,0.119386852,0.362479627,-1.051745296
64,1279.991,1786884191986.497,18979804.432,0.000000000,-0.207685247,0.031128265,-0.150331646
65,1299.994,1786884192006.500,18979824.435,0.000000000,0.833335936,0.238474935,-1.404929519
66,1319.991,1786884192026.497,18979844.432,0.000000000,0.315910280,-0.099292032,-0.279844344
67,1339.992,1786884192046.498,18979864.433,0.000000000,4.365468025,1.412232280,-5.016582489
68,1359.991,1786884192066.496,18979884.431,0.000000000,-0.046331119,-0.215884089,-0.917698026
69,1379.992,1786884192086.498,18979904.433,0.000000000,-2.900934696,-1.504467010,0.015845161
70,1399.991,1786884192106.497,18979924.432,0.000000000,-0.420802802,3.174479723,-5.261415958
71,1419.991,1786884192126.496,18979944.431,0.000000000,2.872814894,2.937228203,-10.849208832
72,1439.995,1786884192146.500,18979964.436,0.000000000,-3.729077578,-4.398084641,0.813034773
73,1459.991,1786884192166.497,18979984.432,0.000000000,-2.725323677,-4.465603828,3.916900158
74,1479.994,1786884192186.500,18980004.435,0.000000000,-0.436813474,-0.145740315,0.923190534
75,1499.990,1786884192206.496,18980024.431,0.000000000,0.210422084,1.121185064,3.801075935
76,1519.994,1786884192226.500,18980044.435,0.000000000,-1.755482435,0.655962288,4.333574772
77,1539.992,1786884192246.498,18980064.433,0.000000000,-1.143614769,2.695333004,4.885792732
78,1560.000,1786884192266.506,18980084.441,0.000000000,-0.473827720,2.453594208,4.785065651
79,1579.992,1786884192286.498,18980104.433,0.000000000,0.901325643,1.572844386,5.785579205
80,1599.995,1786884192306.500,18980124.436,0.000000000,0.492836446,-1.333119869,6.082334042
81,1619.992,1786884192326.498,18980144.433,0.000000000,1.860132694,-0.983340621,2.108705044
82,1639.991,1786884192346.498,18980164.432,0.000000000,-0.274081916,-1.672968149,1.561983585
83,1659.994,1786884192366.500,18980184.435,0.000000000,0.553390682,-1.021998525,-2.093859196
84,1679.991,1786884192386.497,18980204.432,0.000000000,-0.278181016,-0.174968645,-2.999594212
85,1700.004,1786884192406.510,18980224.445,0.000000000,-0.882563293,0.027615387,-3.073540926
86,1720.006,1786884192426.512,18980244.447,0.000000000,-0.720163226,0.328649819,-2.628627539
87,1740.000,1786884192446.506,18980264.441,0.000000000,-0.484293431,0.348567724,-2.104231834
88,1759.993,1786884192466.499,18980284.434,0.000000000,-0.420927286,0.203041792,-1.360390067
89,1779.995,1786884192486.500,18980304.436,0.000000000,-0.224828050,0.013818828,-1.200447083
90,1800.003,1786884192506.509,18980324.444,0.000000000,-0.344120979,-0.294490695,-0.343003780
91,1820.000,1786884192526.506,18980344.441,0.000000000,-0.122671358,-0.870806873,-0.797755480
92,1839.994,1786884192546.500,18980364.435,0.000000000,-0.909818947,-0.772923827,-0.431901217
93,1859.992,1786884192566.498,18980384.432,0.000000000,-0.257406294,-0.572171092,-2.353641987
94,1879.993,1786884192586.499,18980404.434,0.000000000,-2.716640234,1.753754258,-2.053672552
95,1899.992,1786884192606.498,18980424.433,0.000000000,-1.391035438,3.453525782,-2.752333879
96,1919.993,1786884192626.499,18980444.434,0.000000000,2.178547621,0.228787512,-3.260558844
97,1939.992,1786884192646.498,18980464.433,0.000000000,-0.416816890,0.044886537,1.589738369
98,1959.995,1786884192666.501,18980484.436,0.000000000,-0.197974429,-0.349587888,3.792693138
99,1979.992,1786884192686.498,18980504.433,0.000000000,0.741301417,-0.121537179,5.033406258
100,2000.000,1786884192706.506,18980524.441,0.000000000,2.577770710,0.145817980,3.627062798
101,2019.992,1786884192726.498,18980544.432,0.000000000,2.122087955,0.733928204,2.595826149
102,2039.999,1786884192746.505,18980564.440,0.000000000,0.957928419,-1.760533333,2.058476925
103,2059.997,1786884192766.503,18980584.438,0.000000000,0.360404849,1.503475308,-1.773732305
104,2080.006,1786884192786.512,18980604.447,0.000000000,-0.040687218,-0.081439435,-4.131890774
105,2100.027,1786884192806.533,18980624.468,0.000000000,-0.384783864,-4.297560215,-1.839175820
106,2120.027,1786884192826.533,18980644.468,0.000000000,2.812410116,-0.510557532,-0.172207534
107,2139.997,1786884192846.503,18980664.438,0.000000000,-2.611045599,0.284792244,-1.500442624
108,2160.037,1786884192866.542,18980684.477,0.000000000,-2.541501045,4.420132637,-0.614384294
109,2180.001,1786884192886.507,18980704.442,0.000000000,0.202924833,1.872741103,0.887232423
110,2200.027,1786884192906.533,18980724.468,0.000000000,-0.765184164,0.721686482,2.580242872
111,2219.998,1786884192926.504,18980744.438,0.000000000,-0.943549931,1.443151474,4.172496319
112,2240.026,1786884192946.532,18980764.467,0.000000000,-0.156977728,0.954640865,4.242591858
113,2259.996,1786884192966.502,18980784.437,0.000000000,-0.059530430,-0.401351005,4.377052784
114,2279.992,1786884192986.498,18980804.433,0.000000000,0.621847630,-0.806703687,2.664448738
115,2299.994,1786884193006.500,18980824.435,0.000000000,0.645124376,-1.582005858,1.600258827
116,2319.991,1786884193026.497,18980844.432,0.000000000,0.818573296,-0.783444464,-0.806891978
117,2339.994,1786884193046.500,18980864.435,0.000000000,-1.686051726,-0.735197723,-0.159433603
118,2359.991,1786884193066.497,18980884.432,0.000000000,-0.337721050,-0.234787926,-1.995585442
119,2379.996,1786884193086.501,18980904.437,0.000000000,-0.904455304,0.032853808,-1.491748929
120,2399.990,1786884193106.496,18980924.431,0.000000000,-0.151134983,0.035001460,-1.836359382
121,2419.990,1786884193126.496,18980944.431,0.000000000,-0.201417103,0.193935260,-1.224991322
122,2439.993,1786884193146.499,18980964.434,0.000000000,0.165074736,0.208805293,-0.559834182
123,2459.990,1786884193166.496,18980984.431,0.000000000,0.257377058,0.108084865,-0.174646541
124,2479.993,1786884193186.499,18981004.434,0.000000000,0.159333110,-0.199649766,0.210538089
125,2499.990,1786884193206.496,18981024.431,0.000000000,0.264872819,-0.511908770,0.418926954
