index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,left_hand_dq_0,left_hand_dq_1,left_hand_dq_2,left_hand_dq_3,left_hand_dq_4,left_hand_dq_5,left_hand_dq_6
0,0.000,1786884190706.506,18978524.441,0.000000000,0.000464994,-0.151683569,-0.011128440,0.005363985,0.006317862,0.005388409,0.006293823
1,20.002,1786884190726.508,18978544.443,0.000000000,0.000861557,-0.262602389,0.121444240,-0.138849586,-0.129537702,-0.119430527,-0.126670063
2,39.996,1786884190746.502,18978564.437,0.000000000,0.001140157,-0.348811597,0.572252512,-0.575633764,-0.570520639,-0.540487349,-0.565300643
3,59.995,1786884190766.500,18978584.436,0.000000000,-0.068610638,0.069722638,0.919163048,-0.764221847,-0.746844649,-0.763084412,-0.746681571
4,79.999,1786884190786.504,18978604.439,0.000000000,-0.004150068,-0.075864278,1.153910995,-1.025708079,-1.018631339,-1.041753292,-1.021010399
5,100.015,1786884190806.521,18978624.456,0.000000000,-0.000158223,-0.139634088,1.244822979,-1.127152562,-1.125092983,-1.151906252,-1.128758311
6,120.007,1786884190826.513,18978644.448,0.000000000,0.001108491,-0.254761726,1.385998487,-1.274291277,-1.291045427,-1.297688603,-1.294515014
7,140.017,1786884190846.522,18978664.458,0.000000000,0.001022854,-0.337920159,1.462486029,-1.357411146,-1.384969473,-1.361206770,-1.385542512
8,160.018,1786884190866.524,18978684.459,0.000000000,0.000844032,-0.433706641,1.516769886,-1.439791560,-1.461877942,-1.409208775,-1.457349896
9,180.017,1786884190886.522,18978704.458,0.000000000,0.000854418,-0.527855814,1.568518639,-1.533334970,-1.541567445,-1.486241460,-1.534637690
10,200.008,1786884190906.514,18978724.449,0.000000000,0.000964588,-0.571549177,1.585467815,-1.594848037,-1.576975942,-1.555899739,-1.571182370
11,220.003,1786884190926.509,18978744.444,0.000000000,0.001006420,-0.622950077,1.609343767,-1.754727244,-1.642976999,-1.729006529,-1.638868213
12,240.006,1786884190946.512,18978764.447,0.000000000,0.000989757,-0.615447998,1.620497942,-1.818042278,-1.668633223,-1.804684758,-1.666400790
13,260.006,1786884190966.511,18978784.447,0.000000000,0.001043692,-0.430541486,1.660517097,-1.852458358,-1.695042968,-1.838076830,-1.694240808
14,280.011,1786884190986.517,18978804.452,0.000000000,0.001380469,-0.263481438,1.690776706,-1.818976760,-1.701126218,-1.817752123,-1.702117443
15,299.999,1786884191006.505,18978824.440,0.000000000,0.001453018,-0.088946469,1.721056223,-1.758403182,-1.703312039,-1.776539087,-1.706648231
16,319.992,1786884191026.498,18978844.433,0.000000000,0.001352044,-0.029020183,1.733415008,-1.736893177,-1.703949809,-1.751302958,-1.706893325
17,339.992,1786884191046.498,18978864.433,0.000000000,0.001470296,-0.004397708,1.756220937,-1.695617199,-1.702262044,-1.704905391,-1.704629064
