index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_qw,base_qx,base_qy,base_qz
0,0.000,1786876812233.054,11600050.989,0.000000000,0.999857068,-0.005235069,0.016074928,-0.000037046
1,19.989,1786876812253.043,11600070.978,0.000000000,0.999414623,-0.010407927,0.032584932,0.000574564
2,39.988,1786876812273.042,11600090.977,0.000000000,0.998691142,-0.024174938,0.044713330,0.005687247
3,59.989,1786876812293.043,11600110.978,0.000000000,0.997896612,-0.033671562,0.054157030,0.011642628
4,79.986,1786876812313.040,11600130.975,0.000000000,0.996831894,-0.041899122,0.064286873,0.020923680
5,99.987,1786876812333.041,11600150.976,0.000000000,0.995592237,-0.058147624,0.069543920,0.024053911
6,119.986,1786876812353.041,11600170.976,0.000000000,0.995404601,-0.072564013,0.061171066,0.012735842
7,139.988,1786876812373.042,11600190.977,0.000000000,0.995776355,-0.080194950,0.044592682,-0.003114228
8,159.987,1786876812393.041,11600210.976,0.000000000,0.996394634,-0.077063158,0.034865733,-0.006589646
9,179.986,1786876812413.041,11600230.976,0.000000000,0.997979403,-0.056308709,0.029426714,-0.000672815
10,199.989,1786876812433.043,11600250.978,0.000000000,0.998835862,-0.038066413,0.029435389,-0.003376827
11,219.987,1786876812453.042,11600270.976,0.000000000,0.998098254,-0.042691849,0.042808276,0.012028941
12,239.986,1786876812473.041,11600290.975,0.000000000,0.995350718,-0.054296684,0.073571235,0.030266907
13,259.988,1786876812493.043,11600310.978,0.000000000,0.993095577,-0.061686985,0.093864128,0.033843268
14,279.987,1786876812513.041,11600330.976,0.000000000,0.989521861,-0.085621379,0.107806779,0.043511022
15,299.987,1786876812533.041,11600350.976,0.000000000,0.984024227,-0.109628893,0.126672953,0.060264550
16,319.987,1786876812553.041,11600370.976,0.000000000,0.979263365,-0.119578339,0.144323379,0.076909371
17,339.986,1786876812573.041,11600390.975,0.000000000,0.978509128,-0.112236835,0.150962383,0.084457971
18,360.000,1786876812593.054,11600410.989,0.000000000,0.984169245,-0.090476453,0.134124875,0.072356597
19,379.988,1786876812613.042,11600430.977,0.000000000,0.990600526,-0.066392213,0.114671499,0.033957049
20,399.990,1786876812633.044,11600450.979,0.000000000,0.993636668,-0.049717251,0.101046570,-0.001994636
21,419.990,1786876812653.044,11600470.979,0.000000000,0.993957937,-0.046231978,0.097270839,-0.021181412
22,439.989,1786876812673.043,11600490.978,0.000000000,0.994049847,-0.046558261,0.093783416,-0.030032311
23,459.992,1786876812693.046,11600510.981,0.000000000,0.994483352,-0.046058945,0.088398233,-0.032667998
24,479.987,1786876812713.041,11600530.976,0.000000000,0.995156229,-0.047651730,0.079489760,-0.032783125
25,499.991,1786876812733.045,11600550.980,0.000000000,0.995534003,-0.052833851,0.072061799,-0.030459492
26,519.987,1786876812753.042,11600570.977,0.000000000,0.995687544,-0.055414744,0.067742668,-0.030764105
27,539.988,1786876812773.042,11600590.977,0.000000000,0.995512486,-0.054813605,0.071281038,-0.029485213
28,559.988,1786876812793.042,11600610.977,0.000000000,0.995085418,-0.057782985,0.076287933,-0.025423089
29,579.987,1786876812813.041,11600630.976,0.000000000,0.994831741,-0.064462431,0.075313419,-0.021961145
30,599.993,1786876812833.047,11600650.982,0.000000000,0.994369984,-0.071255460,0.075220175,-0.022200925
31,619.992,1786876812853.046,11600670.981,0.000000000,0.993879378,-0.074174568,0.076198354,-0.029928721
32,639.990,1786876812873.044,11600690.979,0.000000000,0.993674517,-0.070328511,0.074167892,-0.046518173
33,659.988,1786876812893.042,11600710.977,0.000000000,0.993699551,-0.058617473,0.068898797,-0.066167444
34,679.989,1786876812913.043,11600730.978,0.000000000,0.993962705,-0.053875774,0.059911594,-0.074472301
35,699.988,1786876812933.042,11600750.977,0.000000000,0.993920505,-0.056319017,0.056794539,-0.075660802
36,719.988,1786876812953.042,11600770.977,0.000000000,0.994037271,-0.058740631,0.050732009,-0.076588102
37,739.995,1786876812973.049,11600790.984,0.000000000,0.994450927,-0.060834423,0.042482659,-0.074576892
38,759.989,1786876812993.043,11600810.978,0.000000000,0.994925976,-0.064102270,0.036243390,-0.068554036
39,779.988,1786876813013.042,11600830.977,0.000000000,0.995165050,-0.064783968,0.030436134,-0.067254387
40,799.989,1786876813033.043,11600850.978,0.000000000,0.995423377,-0.061652936,0.029895332,-0.066614099
41,819.991,1786876813053.045,11600870.980,0.000000000,0.995635331,-0.060872328,0.034732208,-0.061632056
42,839.990,1786876813073.044,11600890.979,0.000000000,0.995801926,-0.062721819,0.034454316,-0.057073530
43,859.990,1786876813093.044,11600910.979,0.000000000,0.995781839,-0.064843692,0.034168646,-0.055193640
44,879.989,1786876813113.043,11600930.978,0.000000000,0.995644748,-0.064829193,0.036262952,-0.056335900
45,899.989,1786876813133.043,11600950.978,0.000000000,0.995694280,-0.060548339,0.036616307,-0.059883676
46,919.988,1786876813153.043,11600970.978,0.000000000,0.996107578,-0.055418842,0.034318775,-0.059335548
47,939.987,1786876813173.041,11600990.976,0.000000000,0.996297538,-0.053295344,0.033292122,-0.058672179
48,959.990,1786876813193.044,11601010.979,0.000000000,0.996272564,-0.050235134,0.031702958,-0.062548265
49,979.987,1786876813213.041,11601030.976,0.000000000,0.996188223,-0.048309319,0.027511742,-0.067218520
50,999.987,1786876813233.042,11601050.977,0.000000000,0.996175945,-0.047608219,0.022824122,-0.069613554
51,1019.992,1786876813253.046,11601070.981,0.000000000,0.996286094,-0.047468107,0.020348934,-0.068896279
52,1039.988,1786876813273.042,11601090.977,0.000000000,0.996506512,-0.047406737,0.020274455,-0.065699048
53,1059.989,1786876813293.044,11601110.979,0.000000000,0.996708274,-0.047039483,0.022073312,-0.062230408
54,1079.987,1786876813313.041,11601130.976,0.000000000,0.996854305,-0.046680268,0.023933783,-0.059410423
55,1099.987,1786876813333.041,11601150.976,0.000000000,0.996969759,-0.046309229,0.025223259,-0.057188574
56,1119.988,1786876813353.042,11601170.977,0.000000000,0.997038722,-0.045690708,0.026679480,-0.055805970
57,1139.988,1786876813373.042,11601190.977,0.000000000,0.997074366,-0.044769887,0.028057728,-0.055236660
58,1159.989,1786876813393.044,11601210.979,0.000000000,0.997095108,-0.043706659,0.028888918,-0.055285744
59,1179.987,1786876813413.042,11601230.977,0.000000000,0.997119308,-0.041918814,0.029558985,-0.055875830
60,1199.988,1786876813433.042,11601250.977,0.000000000,0.997100055,-0.040244162,0.030284869,-0.057050515
61,1219.989,1786876813453.043,11601270.978,0.000000000,0.997014284,-0.038972005,0.031286400,-0.058863062
62,1239.988,1786876813473.042,11601290.977,0.000000000,0.996870399,-0.038101785,0.032263290,-0.061292600
63,1259.989,1786876813493.043,11601310.978,0.000000000,0.996668696,-0.037646875,0.032839831,-0.064465322
64,1279.987,1786876813513.041,11601330.976,0.000000000,0.996458173,-0.037563853,0.033418611,-0.067403845
65,1299.993,1786876813533.047,11601350.982,0.000000000,0.996527493,-0.038249973,0.035789546,-0.064722359
66,1319.988,1786876813553.043,11601370.978,0.000000000,0.996952534,-0.040636662,0.038186833,-0.054553758
67,1339.990,1786876813573.045,11601390.980,0.000000000,0.997273505,-0.046659369,0.039938513,-0.040907379
68,1360.000,1786876813593.054,11601410.989,0.000000000,0.997303009,-0.054456569,0.038514301,-0.030623661
69,1379.994,1786876813613.048,11601430.983,0.000000000,0.997607350,-0.053106979,0.036670540,-0.024788009
70,1399.991,1786876813633.045,11601450.980,0.000000000,0.997804999,-0.049155112,0.038528569,-0.022012765
71,1419.988,1786876813653.043,11601470.977,0.000000000,0.997875631,-0.047134686,0.041554831,-0.017197261
72,1439.987,1786876813673.041,11601490.976,0.000000000,0.997798681,-0.047089223,0.043826580,-0.016113605
73,1459.989,1786876813693.043,11601510.978,0.000000000,0.997727215,-0.045787595,0.044399295,-0.021739446
74,1479.987,1786876813713.041,11601530.976,0.000000000,0.997593760,-0.045092408,0.043227017,-0.030079795
75,1499.986,1786876813733.041,11601550.976,0.000000000,0.997298419,-0.045309238,0.042247351,-0.039472099
76,1519.990,1786876813753.044,11601570.979,0.000000000,0.996972799,-0.045512650,0.041049313,-0.047841545
77,1539.988,1786876813773.042,11601590.977,0.000000000,0.996763408,-0.045014273,0.039800912,-0.053406525
78,1559.987,1786876813793.042,11601610.977,0.000000000,0.996738791,-0.042913448,0.039124057,-0.056031000
