index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,left_hand_q_0,left_hand_q_1,left_hand_q_2,left_hand_q_3,left_hand_q_4,left_hand_q_5,left_hand_q_6
0,0.000,1786876906281.490,11694099.424,0.000000000,-0.006796283,0.144674301,0.074449062,-0.033657860,-0.039519183,-0.034216382,-0.039418094
1,19.992,1786876906301.481,11694119.416,0.000000000,-0.006776602,0.139827222,0.076017603,-0.035631333,-0.041376837,-0.035948012,-0.041240271
2,39.991,1786876906321.481,11694139.416,0.000000000,-0.006753655,0.133059099,0.086249053,-0.046172172,-0.051749919,-0.045875799,-0.051522423
3,59.991,1786876906341.480,11694159.415,0.000000000,-0.007272095,0.130910441,0.105521649,-0.063413560,-0.068840668,-0.063147254,-0.068617694
4,80.002,1786876906361.491,11694179.426,0.000000000,-0.007334636,0.128471866,0.129829496,-0.085173175,-0.090752460,-0.085240871,-0.090579174
5,99.990,1786876906381.479,11694199.414,0.000000000,-0.007316924,0.124145254,0.157151937,-0.110036537,-0.116135910,-0.110477485,-0.116018459
6,119.990,1786876906401.480,11694219.415,0.000000000,-0.007294215,0.118120387,0.186593935,-0.137102693,-0.144033596,-0.137720272,-0.143943042
7,139.991,1786876906421.481,11694239.416,0.000000000,-0.007278385,0.112470582,0.209643453,-0.158619732,-0.166211009,-0.159019440,-0.166088641
8,159.990,1786876906441.480,11694259.415,0.000000000,-0.007257616,0.103507131,0.241242081,-0.188899457,-0.197097331,-0.188612163,-0.196872815
9,179.990,1786876906461.480,11694279.415,0.000000000,-0.007236852,0.093473524,0.273524940,-0.220905498,-0.229174882,-0.219829038,-0.228832081
10,199.991,1786876906481.480,11694299.415,0.000000000,-0.007215979,0.083677948,0.306363106,-0.254332721,-0.262137622,-0.252437592,-0.261674732
11,219.990,1786876906501.480,11694319.415,0.000000000,-0.007191622,0.076237403,0.339841366,-0.288172215,-0.295608699,-0.285630316,-0.295057684
12,239.990,1786876906521.479,11694339.414,0.000000000,-0.007160956,0.072935432,0.374046803,-0.322079718,-0.329348743,-0.319356114,-0.328781545
13,259.990,1786876906541.480,11694359.415,0.000000000,-0.007125800,0.072479442,0.408837676,-0.356380373,-0.363300651,-0.353658915,-0.362734556
14,279.990,1786876906561.479,11694379.414,0.000000000,-0.007090731,0.072376758,0.443953067,-0.391137242,-0.397432685,-0.388739884,-0.396902680
15,299.991,1786876906581.481,11694399.416,0.000000000,-0.007059148,0.072258614,0.479199529,-0.426124960,-0.431701690,-0.424195021,-0.431224972
16,319.990,1786876906601.479,11694419.415,0.000000000,-0.007031265,0.072107337,0.514496744,-0.460768878,-0.466034710,-0.459154904,-0.465592563
17,339.992,1786876906621.481,11694439.416,0.000000000,-0.007007036,0.071939923,0.549846709,-0.494479388,-0.500347257,-0.493007749,-0.499924481
18,359.991,1786876906641.480,11694459.415,0.000000000,-0.006985147,0.071753271,0.585202694,-0.527533352,-0.534668624,-0.526167572,-0.534266829
19,379.991,1786876906661.480,11694479.415,0.000000000,-0.006965253,0.071499847,0.620490015,-0.560527682,-0.569064379,-0.559521854,-0.568721473
20,399.991,1786876906681.480,11694499.415,0.000000000,-0.006950991,0.071301222,0.646895945,-0.585476279,-0.594920397,-0.584943831,-0.594653845
21,419.998,1786876906701.488,11694519.423,0.000000000,-0.006931101,0.071092874,0.682045341,-0.619078934,-0.629455864,-0.619276106,-0.629309535
22,440.001,1786876906721.490,11694539.425,0.000000000,-0.006908928,0.070900917,0.717169106,-0.652888119,-0.664032817,-0.653667212,-0.663988769
23,459.994,1786876906741.483,11694559.418,0.000000000,-0.006883577,0.070697136,0.752287686,-0.686745524,-0.698649526,-0.687870622,-0.698668063
24,479.993,1786876906761.483,11694579.418,0.000000000,-0.006857580,0.070491672,0.787393212,-0.720656931,-0.733316720,-0.721938312,-0.733364403
25,499.993,1786876906781.483,11694599.418,0.000000000,-0.006832526,0.070282958,0.822462380,-0.754790962,-0.768021286,-0.756029308,-0.768080533
26,519.991,1786876906801.480,11694619.415,0.000000000,-0.006806452,0.070064642,0.857476413,-0.789216220,-0.802748621,-0.790323913,-0.802821159
27,539.990,1786876906821.479,11694639.414,0.000000000,-0.006775973,0.069866277,0.892422438,-0.823932588,-0.837465048,-0.824873924,-0.837540507
28,559.991,1786876906841.480,11694659.415,0.000000000,-0.006744036,0.069675542,0.927293241,-0.858902037,-0.872147918,-0.859655976,-0.872203290
29,579.990,1786876906861.479,11694679.414,0.000000000,-0.006713141,0.069485739,0.962102175,-0.893997073,-0.906795442,-0.894570410,-0.906810939
30,599.993,1786876906881.483,11694699.418,0.000000000,-0.006683492,0.069300957,0.996869624,-0.929010391,-0.941391170,-0.929509640,-0.941372514
31,619.992,1786876906901.481,11694719.416,0.000000000,-0.006653142,0.069120698,1.031621218,-0.963797987,-0.975930572,-0.964286506,-0.975885510
32,639.991,1786876906921.481,11694739.416,0.000000000,-0.006629915,0.068985812,1.057686329,-0.989723384,-1.001812816,-0.990214109,-1.001746893
33,660.003,1786876906941.492,11694759.427,0.000000000,-0.006599994,0.068803504,1.092440367,-1.024125218,-1.036307693,-1.024627686,-1.036211371
34,679.995,1786876906961.484,11694779.419,0.000000000,-0.006572325,0.068616845,1.127186298,-1.058428168,-1.070794106,-1.058938503,-1.070670485
35,699.990,1786876906981.480,11694799.415,0.000000000,-0.006546275,0.068425208,1.161928296,-1.092698932,-1.105291247,-1.093225002,-1.105148911
36,720.003,1786876907001.492,11694819.427,0.000000000,-0.006521194,0.068229757,1.196671963,-1.126974583,-1.139812589,-1.127537727,-1.139661431
37,740.028,1786876907021.518,11694839.453,0.000000000,-0.006496491,0.068031594,1.231417060,-1.161295056,-1.174361229,-1.161895752,-1.174211621
38,759.997,1786876907041.487,11694859.422,0.000000000,-0.006472006,0.067831956,1.266160965,-1.195654631,-1.208932757,-1.196307778,-1.208792925
39,779.996,1786876907061.486,11694879.420,0.000000000,-0.006447514,0.067629911,1.300905108,-1.230063915,-1.243529439,-1.230801225,-1.243406534
40,800.015,1786876907081.504,11694899.439,0.000000000,-0.006422438,0.067425601,1.335645318,-1.264544606,-1.278149247,-1.265390635,-1.278047085
41,820.026,1786876907101.515,11694919.450,0.000000000,-0.006397047,0.067220204,1.370376587,-1.299104214,-1.312785387,-1.300057292,-1.312704086
42,840.024,1786876907121.513,11694939.448,0.000000000,-0.006371455,0.067011915,1.405096292,-1.333728194,-1.347430468,-1.334784985,-1.347369432
43,860.026,1786876907141.515,11694959.450,0.000000000,-0.006345539,0.066785023,1.439798117,-1.367955923,-1.382077336,-1.369067192,-1.382036448
44,880.011,1786876907161.500,11694979.436,0.000000000,-0.006319004,0.066526972,1.474475026,-1.400296688,-1.416719913,-1.401404500,-1.416695595
45,899.997,1786876907181.487,11694999.421,0.000000000,-0.006298905,0.066317208,1.500466347,-1.422580123,-1.442698121,-1.423656821,-1.442682743
46,920.017,1786876907201.507,11695019.441,0.000000000,-0.006272053,0.066031724,1.534969211,-1.449035764,-1.477329373,-1.450041652,-1.477323890
47,940.014,1786876907221.503,11695039.438,0.000000000,-0.006245059,0.065770067,1.568079591,-1.471392512,-1.511955500,-1.472297311,-1.511959434
48,960.027,1786876907241.517,11695059.452,0.000000000,-0.006217907,0.065548249,1.598439097,-1.489542723,-1.546163559,-1.490324020,-1.546176195
49,980.011,1786876907261.500,11695079.435,0.000000000,-0.006190626,0.065343194,1.625190496,-1.503623486,-1.578485966,-1.504268765,-1.578505158
50,1000.026,1786876907281.515,11695099.450,0.000000000,-0.006163418,0.065141901,1.647891164,-1.513940573,-1.607738018,-1.514444232,-1.607761621
51,1020.026,1786876907301.516,11695119.451,0.000000000,-0.006136599,0.064942747,1.666424870,-1.520916462,-1.633204341,-1.521285295,-1.633231282
52,1040.072,1786876907321.561,11695139.496,0.000000000,-0.006109919,0.064744547,1.680922389,-1.525053144,-1.654554129,-1.525307894,-1.654583812
53,1060.006,1786876907341.496,11695159.431,0.000000000,-0.006082993,0.064546160,1.691690683,-1.526894450,-1.671758771,-1.527054310,-1.671788812
54,1080.030,1786876907361.520,11695179.455,0.000000000,-0.006056011,0.064347312,1.699145317,-1.527280688,-1.685006380,-1.527410150,-1.685034394
55,1100.025,1786876907381.514,11695199.449,0.000000000,-0.006029104,0.064148851,1.703764558,-1.527427077,-1.694640398,-1.527553558,-1.694664240
56,1120.027,1786876907401.516,11695219.451,0.000000000,-0.006002402,0.063951083,1.706048727,-1.527553797,-1.701103568,-1.527679563,-1.701122165
57,1139.996,1786876907421.485,11695239.420,0.000000000,-0.005982556,0.063803032,1.706568122,-1.527647257,-1.704165220,-1.527772903,-1.704179764
58,1160.027,1786876907441.516,11695259.451,0.000000000,-0.005956332,0.063606083,1.706767559,-1.527771235,-1.706270576,-1.527896643,-1.706280351
59,1179.998,1786876907461.488,11695279.423,0.000000000,-0.005930346,0.063409872,1.706903696,-1.527894616,-1.706779003,-1.528020024,-1.706786633
60,1199.995,1786876907481.485,11695299.420,0.000000000,-0.005904553,0.063214496,1.707034349,-1.528017282,-1.706939697,-1.528142810,-1.706947088
61,1220.025,1786876907501.514,11695319.449,0.000000000,-0.005878903,0.063020170,1.707164288,-1.528139234,-1.707072377,-1.528264880,-1.707079768
62,1239.997,1786876907521.487,11695339.422,0.000000000,-0.005853402,0.062826902,1.707293987,-1.528260589,-1.707202554,-1.528386354,-1.707209945
63,1259.999,1786876907541.489,11695359.424,0.000000000,-0.005827948,0.062633745,1.707423210,-1.528382063,-1.707332134,-1.528507948,-1.707339525
64,1280.027,1786876907561.516,11695379.451,0.000000000,-0.005802457,0.062440541,1.707552075,-1.528503776,-1.707461357,-1.528629661,-1.707468629
65,1299.998,1786876907581.488,11695399.423,0.000000000,-0.005776925,0.062247563,1.707680464,-1.528625369,-1.707589984,-1.528751135,-1.707597375
66,1320.010,1786876907601.499,11695419.434,0.000000000,-0.005751343,0.062055085,1.707808375,-1.528746963,-1.707718372,-1.528872371,-1.707725763
67,1339.993,1786876907621.483,11695439.418,0.000000000,-0.005725777,0.061863344,1.707936049,-1.528867960,-1.707846284,-1.528993130,-1.707853675
68,1359.992,1786876907641.481,11695459.416,0.000000000,-0.005700270,0.061672371,1.708063364,-1.528988719,-1.707973957,-1.529113531,-1.707981229
69,1379.991,1786876907661.480,11695479.415,0.000000000,-0.005674848,0.061482016,1.708190322,-1.529109240,-1.708101273,-1.529233575,-1.708108544
70,1399.991,1786876907681.481,11695499.415,0.000000000,-0.005655838,0.061339553,1.708285332,-1.529199362,-1.708196402,-1.529323459,-1.708203793
71,1419.992,1786876907701.482,11695519.417,0.000000000,-0.005630538,0.061149899,1.708411574,-1.529319525,-1.708323002,-1.529443145,-1.708330274
72,1440.025,1786876907721.514,11695539.449,0.000000000,-0.005605299,0.060960736,1.708537459,-1.529439330,-1.708449244,-1.529562593,-1.708456516
73,1459.996,1786876907741.486,11695559.421,0.000000000,-0.005580151,0.060772143,1.708662868,-1.529558778,-1.708575010,-1.529681563,-1.708582282
74,1479.996,1786876907761.486,11695579.420,0.000000000,-0.005555106,0.060584340,1.708787918,-1.529677629,-1.708700418,-1.529800057,-1.708707690
75,1499.994,1786876907781.484,11695599.419,0.000000000,-0.005530192,0.060397651,1.708912730,-1.529795766,-1.708825469,-1.529917836,-1.708832741
76,1520.020,1786876907801.510,11695619.445,0.000000000,-0.005505393,0.060211856,1.709037185,-1.529913425,-1.708950281,-1.530035019,-1.708957434
77,1539.992,1786876907821.481,11695639.416,0.000000000,-0.005480633,0.060026515,1.709161282,-1.530030847,-1.709074736,-1.530152202,-1.709081888
