index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26,act_27,act_28
0,0.000,1786876952029.487,11739847.422,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,20.015,1786876952049.502,11739867.437,0.000000000,-1.025071859,0.431857705,0.585451424,0.758496225,-0.256101787,-0.445313334,-1.241140008,-0.103553072,-0.662806034,0.073805772,1.537277699,0.482930571,-1.246873975,0.363235414,0.371062458,-0.047663555,0.287010431,-0.048053268,0.049495768,-0.147328675,0.237756342,-0.141248316,-0.489069104,0.407062709,-0.165324390,0.278512210,0.157313257,0.099742308,-0.319406569
2,40.013,1786876952069.500,11739887.436,0.000000000,-1.288801312,0.877806485,0.795796275,0.579925239,-0.681713343,-0.450830281,-1.546891212,0.423139691,-1.006647587,0.366860032,1.459652543,0.729939520,-2.067231178,-0.053655934,0.226517975,-0.030593470,0.255345225,-0.070018202,-0.099284917,-0.317722410,0.089919940,-0.384221911,-1.242754102,0.422521681,-0.260614485,0.355788201,-0.090169899,0.288521320,-0.346339285
3,60.018,1786876952089.505,11739907.440,0.000000000,-1.564289331,1.345512629,0.617183089,0.196859986,-0.609772444,0.110341839,-1.021091938,0.664266944,-1.356191039,0.122093730,1.391359806,0.950717509,-2.627644539,-0.505802095,0.021881938,-0.244072109,-0.122958198,-0.240321428,-0.257192701,-0.397410572,-0.213243529,-0.599663615,-2.275201321,0.316369087,-0.375237226,0.331797183,-0.196861789,0.346130967,-0.201996267
4,79.991,1786876952109.478,11739927.413,0.000000000,-0.864415169,0.729832947,0.094595641,0.258829683,0.057910874,1.138344288,0.273946702,-0.272479445,-1.506719589,-0.090052523,1.293806553,0.829597831,-2.731007099,-0.433691174,-0.192690372,-0.335917711,-0.425919056,0.032304481,-0.017964374,-0.431888878,-0.543651581,-0.862220824,-3.300496340,0.184158057,-0.576077878,0.260734111,-0.226417303,0.189084098,0.044324357
5,99.991,1786876952129.478,11739947.413,0.000000000,0.174215302,-0.068694122,0.034956641,0.453700632,0.223994777,1.342749953,0.225365907,-0.468764484,-0.978061855,0.051816985,0.926156044,0.344708711,-2.294605970,-0.036281105,-0.312570900,-0.424048215,-0.321107954,0.068657279,0.127314463,-0.513580501,-0.333654046,-1.172767878,-3.311322451,-0.019540392,-0.607082009,-0.091798767,-0.471207380,0.047158215,0.106690437
6,119.989,1786876952149.477,11739967.411,0.000000000,0.635087609,0.035707474,-0.320938021,0.718237638,-0.045972027,0.663434625,-0.083796762,-0.449208170,0.248776466,0.011560678,0.482854724,-0.259762824,-1.024672866,0.720384896,-0.173970193,-0.365754038,-0.048204761,0.090300813,0.169099197,-0.498904854,0.414242327,-1.372776151,-2.383190155,-0.064153723,-0.554591000,-0.447968811,-0.520208955,0.041613687,-0.013136197
7,140.014,1786876952169.502,11739987.437,0.000000000,0.579641700,0.500922740,-0.634680152,0.749860048,-0.446693271,-0.314337432,-0.347234607,-0.410034388,1.231394053,-0.064204000,0.063869596,-0.642183185,0.316417247,1.424942255,0.052903086,-0.137879521,0.025304491,0.107784718,0.206040353,-0.386355907,1.010837436,-1.452960730,-1.148067117,0.090853818,-0.616669774,-0.669164300,-0.521751285,0.396059960,-0.097658932
8,159.989,1786876952189.476,11740007.411,0.000000000,0.305217117,0.518335104,-0.772768855,0.630620241,-0.709525466,-1.069136143,-0.680710793,-0.414008558,1.850660920,0.374134481,-0.529227734,-0.740904510,1.038946867,2.124014854,0.240574330,0.115007840,0.068013377,0.028509732,0.165358886,-0.154707149,1.081775069,-1.338614464,-0.170708254,0.231560916,-0.773849726,-0.846439719,-0.774635673,0.922287762,-0.322177470
9,179.988,1786876952209.475,11740027.410,0.000000000,-1.102487206,0.627806544,-0.391796499,0.054204389,-1.101898789,-1.872134566,-0.796493888,-0.360858828,2.891382933,1.938881516,-1.016910434,-0.621560276,0.820582926,0.324567705,0.439798057,0.402508855,0.217397094,-0.043299515,0.005966943,0.286845386,0.968436360,-1.005433798,0.189237535,0.269309193,-0.789806426,-1.040449023,-1.248075366,1.549954295,-0.859019399
