index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,dq_16,dq_17,dq_18,dq_19,dq_20,dq_21,dq_22,dq_23,dq_24,dq_25,dq_26,dq_27,dq_28
0,0.000,1786876952029.487,11739847.422,0.000000000,-1.183480859,0.144737214,-0.032029424,0.156589866,-0.029681597,0.000465778,-1.162939906,0.132300615,-0.062538385,0.074267171,-0.012536661,0.000271115,-0.161378533,0.506621659,-1.773618102,0.596099138,-0.248598903,-0.266704440,0.027183602,0.011730424,0.043549996,-0.095786504,0.730787039,-0.250105321,-0.007892289,-0.120510638,-0.001262302,-0.006038002,0.001563086
1,20.015,1786876952049.502,11739867.437,0.000000000,-2.535519600,-0.331005573,-4.033418179,1.292064309,2.062269926,-0.413093507,-2.760530949,0.106479786,-1.535545468,5.125105381,1.398863554,0.206099346,-0.248828098,1.432375073,-3.270768166,1.387411952,-0.461266726,-0.849305153,-0.690277636,1.727024794,0.353968501,-0.038679805,1.304219127,-0.661379278,0.169492126,-0.482089311,-0.604381740,0.598311424,-0.344014436
2,40.013,1786876952069.500,11739887.436,0.000000000,-2.172922134,-0.283211648,-6.716798782,2.290043116,-0.577806354,-0.369925827,-0.505250990,0.124879323,-1.185015559,4.678435326,0.661005378,-0.417208523,0.256868869,1.761471391,-2.955962658,1.966347337,-0.213239476,-1.631252527,-1.815679669,2.103248596,0.493634999,0.062268566,1.216056705,-0.643751860,-0.009431448,-1.007764339,-1.178136349,1.499516487,-0.359269589
3,60.018,1786876952089.505,11739907.440,0.000000000,-2.266041279,0.401415139,-4.316987991,1.016759157,-3.023024082,-1.167127013,1.202650309,-0.424206257,0.863744497,3.003378868,-0.623290002,-1.276391625,0.613635004,0.988418877,-3.709345341,2.791619539,-0.152013317,-1.543775201,-2.842843294,1.034978867,0.241140470,0.191492885,1.439640880,-0.459636211,-0.433152437,-2.726921320,-1.599831700,2.530589819,0.062028170
4,79.991,1786876952109.478,11739927.413,0.000000000,-2.716655970,3.500467300,2.362270594,-1.104810715,-2.236974239,0.636696160,2.310921907,-0.570469379,-0.468709946,2.202589273,-1.603457093,0.082537659,-0.268873334,2.107508659,-4.285186291,3.945166588,-0.673495173,-1.333115220,-3.431838512,0.115882933,0.064798713,0.018606218,1.490344644,-0.888027608,-1.245521903,-6.501137733,-2.373501062,3.580025911,0.796694219
5,99.991,1786876952129.478,11739947.413,0.000000000,-0.693923116,3.198632240,2.393346310,-1.432630658,0.177165315,0.609845102,2.586817026,-0.166611314,-0.156454355,1.529130340,-1.456525445,0.861062765,0.652884305,3.131007910,-3.409507513,3.971970320,-1.244225025,-1.369165182,-3.413621187,-0.863135159,0.010572395,-0.007300802,0.182080448,-1.716604829,-1.231721401,-8.042812347,-2.080243587,2.621930122,0.415117800
6,119.989,1786876952149.477,11739967.411,0.000000000,2.022355318,2.122605324,1.155077457,-1.340615153,4.634970665,0.522013962,3.454378366,-0.891419053,-0.621413052,-0.355308682,-0.189090937,0.890325248,0.439254463,3.231495380,-1.011843204,3.413195133,-1.351084709,-1.000381589,-3.400184631,-1.077539206,-0.185366318,-0.002726588,-2.532088518,-2.477307081,0.301642478,-6.137373924,-1.419963479,-1.123602748,-0.479816765
7,140.014,1786876952169.502,11739987.437,0.000000000,3.019246101,0.612251878,0.063421786,-0.833429992,7.738186359,0.447411358,3.798479080,-2.130367041,-1.352426529,-2.345060825,0.941073656,0.912965655,-0.911112607,2.100656033,0.821512520,2.485892534,-0.731971323,-0.638250411,-3.253320456,-0.139983073,-0.443323553,0.151474416,-4.748188496,-2.471575260,2.372542143,-3.193506956,-1.339078546,-3.798056841,-1.105672598
8,159.989,1786876952189.476,11740007.411,0.000000000,1.719402790,-0.738998175,-1.640223026,1.424199820,10.257081985,0.014658103,3.338275433,-2.545493603,-1.822055221,-4.424522877,1.977803707,0.495028287,-1.954037189,0.978077054,1.122417927,1.575492740,-0.103186049,-0.241367683,-2.798994064,0.426237464,-0.768387794,0.337142408,-5.452970505,-1.620091081,3.015868425,-1.085595489,-1.701436281,-4.912436008,-1.152217150
9,179.988,1786876952209.475,11740027.410,0.000000000,-3.093126297,-3.035782337,-2.100106716,9.130441666,-12.350671768,-2.284857750,1.875422955,-3.653759003,-2.089026690,-5.954492092,2.617186546,-0.381424278,-2.685989618,-1.924815178,1.437982917,-0.656986535,1.217381120,0.624213934,-1.984939218,0.719870925,-1.287515044,0.502119780,-5.079443932,0.372622490,2.271152020,0.144138366,-1.489373922,-4.855103016,-1.353023052
10,199.988,1786876952229.476,11740047.411,0.000000000,-4.218825340,-3.207335472,0.177055418,10.645763397,-8.518102646,-2.166384697,0.329363555,-3.359796047,-0.258157879,-3.967027903,4.005605221,-0.090584591,-1.039276004,-4.457135677,3.484091997,-2.868267775,2.345384121,1.869063973,-1.705116987,2.019803524,-1.210667253,0.875395358,-4.451389313,1.504839420,1.603482723,0.087429501,-1.140445590,-3.582491875,-1.389497042
