index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28
0,0.000,1786876998804.473,11786622.408,0.000000000,-0.307599366,0.005358247,-0.004073779,0.657385945,-0.358662069,0.000045000,-0.308076411,0.005191017,-0.003233166,0.655900538,-0.358298004,0.000045608,-0.015505482,-0.208262131,0.415185422,0.042338625,0.212295964,0.025770636,0.638188362,-0.011646910,0.008513433,0.012358153,0.087848671,-0.056176554,0.055029958,0.643437147,0.003472173,0.016181925,0.011783718
1,19.992,1786876998824.465,11786642.400,0.000000000,-0.352817208,0.001145549,-0.062687933,0.675122917,-0.330468923,-0.005882979,-0.358997107,0.007324534,-0.024717895,0.735260367,-0.338300675,0.003305700,-0.018969363,-0.180514798,0.341558903,0.074721962,0.201268762,0.011163381,0.628567934,0.011598120,0.012448650,0.010297497,0.118930772,-0.070549846,0.056091517,0.635299087,-0.005457745,0.024674503,0.007408176
2,39.990,1786876998844.463,11786662.398,0.000000000,-0.398744971,0.002253565,-0.181559935,0.703605354,-0.330187798,-0.009173480,-0.384803206,0.013056387,-0.049654629,0.837373614,-0.316978395,-0.000223292,-0.012731118,-0.142952934,0.271113873,0.116221286,0.193674892,-0.014588504,0.597541332,0.050209884,0.018692825,0.010437917,0.146110088,-0.083284043,0.052600466,0.619184136,-0.027372373,0.049873691,-0.000088804
3,59.990,1786876998864.463,11786682.398,0.000000000,-0.445800453,0.022535628,-0.257654727,0.707153618,-0.374170959,-0.023216017,-0.380566359,0.011927291,-0.045894671,0.916711628,-0.324870706,-0.012572550,0.004203045,-0.116722398,0.195109263,0.171757266,0.190021873,-0.043866683,0.547553837,0.073098898,0.021137834,0.011454211,0.171887264,-0.090934984,0.040809896,0.573499203,-0.059794389,0.094090134,-0.002604842
4,79.990,1786876998884.463,11786702.398,0.000000000,-0.479349941,0.065887727,-0.248501912,0.681881130,-0.400434613,-0.017967561,-0.352580458,0.012665559,-0.038779583,0.960650921,-0.349918574,-0.013939052,0.012300189,-0.091539860,0.142081872,0.221247524,0.183578178,-0.064753935,0.503459454,0.077348813,0.021089321,0.012996392,0.187703028,-0.099071681,0.024902910,0.504888117,-0.091246866,0.134165272,0.000950412
5,99.991,1786876998904.464,11786722.399,0.000000000,-0.501046300,0.133778632,-0.189599499,0.639637470,-0.421079457,-0.005120942,-0.291808158,0.011059664,-0.037667651,1.000294328,-0.383505374,-0.004832732,0.019960294,-0.041925609,0.084929846,0.293836564,0.167054832,-0.095857181,0.442988306,0.070162632,0.020930756,0.014696885,0.193501219,-0.120917879,0.000781511,0.372515559,-0.135534987,0.182907790,0.007643265
6,119.992,1786876998924.465,11786742.400,0.000000000,-0.476882249,0.180135980,-0.147345439,0.601340115,-0.433246702,-0.000672586,-0.219025716,-0.001578692,-0.039403815,1.013919234,-0.393876135,0.008646564,0.032208800,0.015173191,0.056086969,0.363352627,0.144809619,-0.126824588,0.379578680,0.051114935,0.021287696,0.014968797,0.162742779,-0.157644138,-0.006292044,0.236316338,-0.167708516,0.193380162,0.004401125
7,139.991,1786876998944.464,11786762.399,0.000000000,-0.421756148,0.201402545,-0.127582967,0.570217848,-0.421233684,-0.002761029,-0.140183687,-0.035307933,-0.057739802,0.994534016,-0.380583793,0.024217431,0.029994274,0.064545460,0.065402135,0.417118341,0.125159517,-0.151378781,0.312829673,0.030135678,0.020142244,0.015611558,0.085611217,-0.201737881,0.020316338,0.133776903,-0.187882215,0.157189623,-0.010725317
8,159.995,1786876998964.468,11786782.403,0.000000000,-0.383638233,0.187753379,-0.123151213,0.572964430,-0.325323254,-0.012745393,-0.065926686,-0.094419777,-0.093387686,0.946920931,-0.344335467,0.040052086,0.001714530,0.077386275,0.103116356,0.443859100,0.121918760,-0.167552203,0.246492296,0.020328080,0.012678162,0.018973917,-0.020963291,-0.233157411,0.076420784,0.079813749,-0.209134713,0.087983578,-0.032348327
9,179.995,1786876998984.467,11786802.402,0.000000000,-0.410399288,0.111812226,-0.091073908,0.747716606,-0.353292882,-0.049099468,0.001532691,-0.195487410,-0.092198983,0.876990438,-0.328000814,0.049290951,-0.018359691,-0.026314979,0.198825404,0.408430874,0.161731809,-0.161359161,0.202376947,0.022618189,-0.002440970,0.030488461,-0.139742166,-0.205316648,0.136394933,0.088861324,-0.240060315,0.004322754,-0.054081872
