index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,right_hand_dq_0,right_hand_dq_1,right_hand_dq_2,right_hand_dq_3,right_hand_dq_4,right_hand_dq_5,right_hand_dq_6
0,0.000,1786876998804.473,11786622.408,0.000000000,-0.000128030,0.005385563,0.005454062,-0.005812274,-0.006218347,-0.005847730,-0.006221997
1,19.992,1786876998824.465,11786642.400,0.000000000,-0.000346506,0.004627973,-0.361557841,0.374874085,0.367929667,0.354160577,0.364837676
2,39.990,1786876998844.463,11786662.398,0.000000000,-0.000598070,0.003761815,-0.736149848,0.749072313,0.744155228,0.719448924,0.739724100
3,59.990,1786876998864.463,11786682.398,0.000000000,-0.000758627,0.003316383,-1.010030150,1.048265457,1.021909237,1.021284819,1.017805338
4,79.990,1786876998884.463,11786702.398,0.000000000,-0.000759747,0.002493829,-1.166150808,1.237126350,1.182276845,1.214852571,1.178721070
5,99.991,1786876998904.464,11786722.399,0.000000000,-0.000549440,0.000593737,-1.326383829,1.419469476,1.343044996,1.406232715,1.340503454
6,119.992,1786876998924.465,11786742.400,0.000000000,-0.000205260,-0.003407166,-1.453173399,1.488016725,1.448669791,1.474005580,1.445647359
7,139.991,1786876998944.464,11786762.399,0.000000000,0.000057699,-0.007126416,-1.556834102,1.459993243,1.511054277,1.433623195,1.506268501
8,159.995,1786876998964.468,11786782.403,0.000000000,0.000080268,-0.010379466,-1.639096618,1.377550960,1.544706583,1.348525763,1.540296316
9,179.995,1786876998984.467,11786802.402,0.000000000,-0.000092874,-0.031012947,-1.706891775,1.283816814,1.562299013,1.282196641,1.563483953
10,199.995,1786876999004.468,11786822.403,0.000000000,-0.000136218,-0.011695675,-1.747751117,1.311401010,1.590697765,1.343183875,1.597625613
11,219.996,1786876999024.469,11786842.403,0.000000000,-0.000259703,-0.005896733,-1.768211722,1.423791528,1.625871062,1.459187150,1.633892536
12,239.992,1786876999044.465,11786862.400,0.000000000,-0.000276790,-0.002110091,-1.771516919,1.567897439,1.662134290,1.587307096,1.667688251
13,259.993,1786876999064.466,11786882.401,0.000000000,-0.000256109,0.001021523,-1.763465405,1.719119072,1.696815610,1.724028587,1.699567795
14,279.992,1786876999084.465,11786902.400,0.000000000,-0.000222496,0.002080681,-1.753142238,1.850332141,1.725104332,1.860146880,1.727768064
15,299.992,1786876999104.465,11786922.400,0.000000000,-0.000197848,0.002666622,-1.742551923,1.964733481,1.748006225,1.977677941,1.750617504
16,319.992,1786876999124.465,11786942.400,0.000000000,-0.000196131,0.003520887,-1.735035539,2.020284891,1.760323286,2.034343719,1.762845159
17,339.993,1786876999144.466,11786962.401,0.000000000,-0.000216077,0.004372652,-1.728037238,2.041822433,1.769034266,2.055751801,1.771399140
18,359.993,1786876999164.466,11786982.401,0.000000000,-0.000235858,0.004773904,-1.725327253,2.010539770,1.770443678,2.024533510,1.772711158
19,379.992,1786876999184.465,11787002.400,0.000000000,-0.000227060,0.004638934,-1.725211501,1.971328497,1.769994020,1.969679356,1.770222187
20,399.994,1786876999204.467,11787022.402,0.000000000,-0.000140978,0.004031457,-1.726014018,1.942354798,1.768692374,1.932187796,1.767491937
21,419.993,1786876999224.465,11787042.400,0.000000000,0.000005205,0.003571430,-1.725530505,1.937426090,1.768195271,1.922337294,1.765419006
22,439.990,1786876999244.462,11787062.398,0.000000000,0.000055306,0.002777360,-1.724925518,1.939241052,1.766783953,1.921145558,1.762805223
23,459.993,1786876999264.466,11787082.401,0.000000000,-0.000009350,-0.000124317,-1.730636716,1.888788939,1.756510615,1.888345361,1.754664421
24,479.991,1786876999284.463,11787102.398,0.000000000,-0.000101082,-0.000751862,-1.738999963,1.819596410,1.745017052,1.831936836,1.745528102
25,499.991,1786876999304.464,11787122.399,0.000000000,-0.000116648,0.000270479,-1.745038390,1.769407272,1.738938808,1.782436371,1.740186572
26,519.990,1786876999324.463,11787142.398,0.000000000,-0.000131881,0.001530038,-1.747374535,1.750010133,1.738474607,1.754993558,1.739252090
27,539.989,1786876999344.462,11787162.397,0.000000000,-0.000175801,0.002162706,-1.747432470,1.745931625,1.739829063,1.747536063,1.740783930
28,559.989,1786876999364.462,11787182.397,0.000000000,-0.000165383,0.002362098,-1.745890617,1.749520302,1.740320683,1.754189014,1.741896391
29,579.990,1786876999384.462,11787202.397,0.000000000,-0.000114975,0.002432427,-1.741937637,1.761633754,1.739715099,1.771565199,1.742098927
30,599.992,1786876999404.465,11787222.400,0.000000000,-0.000034906,0.002683355,-1.736649632,1.780776143,1.738538027,1.790834546,1.740998387
31,619.993,1786876999424.465,11787242.400,0.000000000,0.000029451,0.002761545,-1.731708169,1.798037887,1.737129807,1.804697037,1.739026785
32,639.994,1786876999444.467,11787262.402,0.000000000,0.000075493,0.002460675,-1.728181601,1.806236863,1.734869361,1.807686687,1.736119270
33,659.993,1786876999464.466,11787282.401,0.000000000,0.000094058,0.002390110,-1.726094604,1.808256030,1.732913852,1.803868532,1.733468175
34,679.991,1786876999484.464,11787302.399,0.000000000,0.000110613,0.002424574,-1.725381374,1.805579066,1.732040167,1.798117280,1.731778264
35,699.994,1786876999504.467,11787322.402,0.000000000,0.000084999,0.002536873,-1.725330830,1.801356316,1.731946111,1.793992162,1.731013417
36,719.992,1786876999524.465,11787342.400,0.000000000,0.000047949,0.002485347,-1.725317001,1.796218634,1.731570363,1.789163232,1.730251670
37,739.991,1786876999544.464,11787362.399,0.000000000,0.000014507,0.002468497,-1.724871874,1.789956093,1.730357289,1.782433271,1.728904128
38,759.991,1786876999564.464,11787382.399,0.000000000,0.000006809,0.002332420,-1.723526716,1.780339718,1.728117228,1.773877621,1.726201534
39,779.991,1786876999584.464,11787402.399,0.000000000,-0.000051780,0.001940635,-1.724810243,1.765226364,1.727511168,1.760863066,1.725897074
