index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
0,0.000,1786877230627.484,12018445.419,0.000000000,-3.619457483,-0.119956248,0.067819804,1.468687415,-0.155912310,-0.000611454,-3.611259460,-0.111069910,0.017931392,1.465322375,-0.156118691,-0.000686174,0.481640995,6.218325615,-13.570999146,2.576499462,-0.244538113,-0.505042970,-0.537942410,0.173581988,-0.134278059,-0.265879899,2.004560709,-2.148788929,-0.758302450,-0.675863385,-0.058413677,-0.270209134,-0.201003537
1,19.993,1786877230647.478,12018465.413,0.000000000,-10.512443542,30.533113480,-19.184453964,-10.729680061,1.431245565,0.299990624,43.871082306,-7.220231533,-0.201892942,19.703935623,3.295043230,0.260687977,15.947648048,-0.330519348,-14.724102974,4.460915565,-0.286304891,-1.112489700,-1.183814883,1.931731224,-0.035551440,-0.081352986,-6.865877628,-0.382913500,0.540275693,-3.189301252,-0.854145229,-0.479391158,-0.619719565
2,39.991,1786877230667.476,12018485.411,0.000000000,-22.334531784,21.205961227,-11.668750763,-1.731198549,-1.362422943,0.158069342,43.214923859,-27.523010254,16.304460526,8.761938095,-0.033621252,-0.669058919,19.583812714,-2.467160463,-21.503273010,5.509748936,-0.022138579,-1.249111533,-1.264059067,0.512862980,-0.300275177,-0.090493478,-12.044948578,-0.328047723,-0.376013815,-7.253614426,-0.461922467,-1.990865111,-0.116256945
3,59.992,1786877230687.476,12018505.411,0.000000000,-28.340044022,4.930531025,0.947339535,-6.854673386,-1.586188316,-0.431682646,47.623107910,-25.773490906,19.006778717,7.433197498,-0.357893348,-0.781551123,12.289622307,6.676974773,-25.226667404,5.544962406,-1.355728745,-0.879396439,-1.151800871,-0.115269460,-0.349659950,-0.095971920,-15.911832809,-2.864370346,-1.936838150,-12.205422401,-0.354067802,-3.792028189,-0.141053215
4,79.993,1786877230707.477,12018525.412,0.000000000,1.377000332,-10.003075600,15.602807999,-4.109253407,-0.350462735,-0.064391769,16.200784683,-1.501767516,-4.420452595,3.941822529,0.920670569,0.280341953,0.845777869,15.783005714,-20.630012512,3.063367605,-0.792926133,0.287704170,-1.656595945,-0.382938474,-0.316238284,-0.026564434,-17.864660263,-4.357057095,-3.678220272,-15.854701042,-0.578460395,-5.000000000,-0.595744729
5,99.993,1786877230727.477,12018545.412,0.000000000,40.806640625,-18.181468964,9.773020744,6.273377895,2.251268864,0.146389663,-33.182304382,20.892696381,-16.589397430,-5.976740360,-2.145087242,0.837249637,-2.909445524,17.693088531,-9.945376396,-2.128947973,-0.411947727,0.276361316,-2.211550951,-0.629697442,-0.496650726,-0.024258209,-15.235762596,-2.837525845,-2.447748661,-12.304952621,-0.401569933,-5.000000000,-0.941240191
6,119.989,1786877230747.473,12018565.408,0.000000000,40.558952332,-8.724387169,3.744731188,14.159875870,4.049798965,0.166685089,-51.181121826,16.019886017,-11.265928268,-11.626050949,-1.947144747,0.382496148,-11.195432663,8.216167450,2.685201406,-6.394839287,0.557309449,-0.126129106,-2.023150206,-0.376010060,-0.752167404,-0.027084021,-4.738161087,-0.101085901,1.765236974,-4.047711372,0.062591150,-5.000000000,-0.454035521
7,139.988,1786877230767.473,12018585.408,0.000000000,20.042675018,-3.532456398,1.861338019,9.480987549,-0.101054356,0.131886080,-38.460880280,7.843011379,-4.963930130,-13.798130035,-0.995631397,0.142909229,-14.386050224,-6.768497944,12.890284538,-8.921912193,2.325093031,0.754420340,-1.336454868,0.205694959,-0.552694678,0.187204152,7.556777477,1.782266259,3.464505434,2.770550728,0.062478863,-0.366146713,0.689370453
8,159.988,1786877230787.472,12018605.407,0.000000000,-33.663429260,-0.926230431,2.855886221,-0.979113281,-1.257626653,-0.144256815,-8.878616333,-10.388619423,12.490324020,-11.944098473,-0.178492293,-0.572399616,3.091326237,-28.077821732,33.853534698,-9.477059364,4.800884724,4.088652134,0.858457625,0.343248695,0.147576258,1.072837114,10.725710869,3.768015623,3.305441380,7.997542858,0.038378626,3.060845375,1.140916705
9,179.988,1786877230807.473,12018625.408,0.000000000,-57.139308929,12.563305855,-11.574263573,-11.782936096,-0.838073492,0.357228965,13.691650391,-9.763459206,9.303946495,4.159553051,0.384430528,-0.332453519,12.337044716,-30.271261215,38.723087311,-4.781092167,3.850852728,4.534647465,3.028454304,0.408747137,0.925156593,1.286284208,10.321351051,2.289677858,4.786660671,8.455954552,-0.067182943,3.844877481,1.825563073
